"CurSim","simName","missingprop_autocor","missingness","type","param","value","missingnessVersion","SE"
1544,"544","propMissAct_0.06_autoCorr_0.14","MAR","Data Deletion","ar1",0.0612778745888553,"A",0.0540805895057066
1544,"544","propMissAct_0.1_autoCorr_0.21","MAR","Data Deletion","ar1",0.0184035855419095,"B",0.0556200251835193
1544,"544","propMissAct_0.17_autoCorr_0.11","MAR","Data Deletion","ar1",0.0596463025996791,"C",0.05765134864526
1544,"544","propMissAct_0.2_autoCorr_0.13","MAR","Data Deletion","ar1",0.0657185084926464,"D",0.059095869667127
1544,"544","propMissAct_0.25_autoCorr_0.02","MAR","Data Deletion","ar1",0.0183823005151049,"E",0.0612368553554902
1544,"544","propMissAct_0.33_autoCorr_0.05","MAR","Data Deletion","ar1",0.0376102791128166,"F",0.0647752506999813
1544,"544","propMissAct_0.34_autoCorr_0.13","MAR","Data Deletion","ar1",0.0930411912617974,"G",0.0647131043335385
1544,"544","propMissAct_0.37_autoCorr_0.02","MAR","Data Deletion","ar1",0.0753076409110837,"H",0.0659426216334464
1544,"544","propMissAct_0.46_autoCorr_0.03","MAR","Data Deletion","ar1",-0.0184140343315378,"I",0.0715738553756215
1544,"544","propMissAct_0.5_autoCorr_0.07","MAR","Data Deletion","ar1",0.00703818010703308,"J",0.0757913097931441
1544,"544","propMissAct_0.58_autoCorr_0.08","MAR","Data Deletion","ar1",-0.00807403548280303,"K",0.0816052773003418
1544,"544","propMissAct_0.64_autoCorr_0.06","MAR","Data Deletion","ar1",0.0977517086731678,"L",0.0880508934640677
1544,"544","propMissAct_0.62_autoCorr_0.16","MAR","Data Deletion","ar1",0.117131506016057,"M",0.0858628233882386
1544,"544","propMissAct_0.75_autoCorr_0.11","MAR","Data Deletion","ar1",-0.170508466987288,"N",0.106357028026185
1544,"544","propMissAct_0.74_autoCorr_0.1","MAR","Data Deletion","ar1",-0.167136735968776,"O",0.106858901634759
1544,"544","propMissAct_0.06_autoCorr_0.14","MAR","Data Deletion","intercept",0.0996197479729061,"A",0.0559606971355914
1544,"544","propMissAct_0.1_autoCorr_0.21","MAR","Data Deletion","intercept",0.109143497017516,"B",0.0557063663150889
1544,"544","propMissAct_0.17_autoCorr_0.11","MAR","Data Deletion","intercept",0.0963331205401359,"C",0.0598106024129371
1544,"544","propMissAct_0.2_autoCorr_0.13","MAR","Data Deletion","intercept",0.11708870296233,"D",0.0594044985229001
