"","X","SimNumber","r","alpha","N0","id","autoCorr","propMiss","actAutoCorr","actPropMiss","estim_r","estim_alpha","se_r","se_alpha","lower_r","lower_alpha","upper_r","upper_alpha"
"1",1,1,0.35270129008626,0.00529518827353604,19,1,0,0.05,0.26,0.1,"0.269683218701708",0.00447213259993027,0.0750274378561863,0.00127176253817726,0.121675730253605,0.00197267939765259,0.415784524304448,0.00695800641381361
"2",1.5,1,0.35270129008626,0.00529518827353604,19,2,0,0.1,0.21,0.15,"0.27326922779575",0.00450183880646537,0.0749416019101228,0.0012608535999975,0.125439178124486,0.00202390145763148,0.41921000136723,0.00696643755481503
"3",1.6,1,0.35270129008626,0.00529518827353604,19,3,0,0.15,0.03,0.12,"0.313328749226227",0.00531939732527728,0.0762364144651397,0.00131719107999446,0.162933944183473,0.0027306139668805,0.46178185094909,0.00789401957543017
"4",1.7,1,0.35270129008626,0.00529518827353604,19,4,0,0.2,0.13,0.13,"0.324694730176855",0.00545721815106601,0.0766732810764611,0.00131015666035682,0.173363744598075,0.00288069874742775,0.473926789783169,0.00801657597299265
"5",1.8,1,0.35270129008626,0.00529518827353604,19,5,0,0.25,0.11,0.25,"0.274065022980564",0.00443957226193869,0.0722439560341784,0.00119399841570985,0.13165920659892,0.00209500195739615,0.414854122315344,0.00677544890691031
"6",1.9,1,0.35270129008626,0.00529518827353604,19,6,0,0.3,0.12,0.3,"0.331876729691603",0.00573645861346732,0.079416802369614,0.00138893396693096,0.175170505248252,0.00300567143544018,0.486486771738182,0.00845033177363273
"7",1.1,1,0.35270129008626,0.00529518827353604,19,7,0,0.35,0.05,0.48,"0.414753069640912",0.00753013679866632,0.0847493787617419,0.00155866184817473,0.247334862104056,0.00446166354633344,0.579563921390262,0.0105718312388785
"8",1.11,1,0.35270129008626,0.00529518827353604,19,8,0,0.4,0.01,0.47,"0.403843314991654",0.00668353885786444,0.0698957636477936,0.00115796407283748,0.266165912857139,0.00441190996731837,0.540153822211731,0.00895106465797995
"9",1.12,1,0.35270129008626,0.00529518827353604,19,9,0,0.45,0.01,0.45,"0.279604061019615",0.00473561321514927,0.0789199837932363,0.0013774269144403,0.123755997527777,0.00202519247358949,0.433129837050732,0.00742483832516117
"10",1.13,1,0.35270129008626,0.00529518827353604,19,10,0,0.5,0.15,0.58,"0.439307929196645",0.00792793063425667,0.0760333438361377,0.00138969978790689,0.289302154611098,0.00519699984217116,0.587355219320945,0.010644665446697
"11",1.14,1,0.35270129008626,0.00529518827353604,19,11,0,0.55,0.01,0.53,"0.438959510337956",0.00727147455563012,0.0673830335671026,0.00111763490941861,0.306110441741515,0.00507705044189234,0.570254926164999,0.00945823425433836
"12",1.15,1,0.35270129008626,0.00529518827353604,19,12,0,0.6,0.08,0.53,"0.336520194219675",0.00575894944602122,0.0810302301248321,0.00138551841485249,0.177035371394857,0.00304185820657164,0.494676296535473,0.0084731410363714
"13",1.16,1,0.35270129008626,0.00529518827353604,19,13,0,0.65,0.24,0.62,"0.30112398124844",0.00536267669126444,0.0739864551588579,0.00133372913352549,0.155111068695059,0.00274107425856881,0.445144114319936,0.00796941281275936
"14",1.17,1,0.35270129008626,0.00529518827353604,19,14,0,0.7,0.02,0.65,"0.46703078898635",0.00781570177321821,0.0739584055137298,0.00123178479486204,0.321577016971247,0.00540261307120641,0.611494847573883,0.0102312333882574
"15",1.18,1,0.35270129008626,0.00529518827353604,19,15,0,0.75,0.13,0.75,"0.48317712897466",0.00857924709098334,0.0695245309570689,0.0012219133333843,0.346482206773262,0.0061870580651188,0.619012799137259,0.0109768449096993
"16",2,2,0.567149080775463,0.00124966957885772,26,16,0,0.05,0.13,0.08,"0.60143224450765",0.0013017939867859,0.0446479744253712,9.92004238075039e-05,0.513210737793386,0.00110590424844452,0.688234716396073,0.00149477815546086
