"","X","SimNumber","r","alpha","N0","id","autoCorr","propMiss","actAutoCorr","actPropMiss","estim_r","estim_alpha","se_r","se_alpha","lower_r","lower_alpha","upper_r","upper_alpha"
"1","501.2",501,0.189801032715993,0.00815105531015433,22,37501,0.7,0.05,0.5,0.03,"0.204079884506586",0.00826457985913586,0.0881677707290676,0.00352269507534037,0.0300869311831743,0.00137273506042213,0.37571618416835,0.0151822691049033
"2","501.2.1",501,0.189801032715993,0.00815105531015433,22,37502,0.7,0.1,0.76,0.17,"0.26580768449456",0.0115321989914914,0.103498732831823,0.00456685196643128,0.0608737634228239,0.00255516031422097,0.466641387920814,0.0204598152644521
"3","501.2.2",501,0.189801032715993,0.00815105531015433,22,37503,0.7,0.15,0.81,0.23,"0.215261368924208",0.00894312025459955,0.085460100198847,0.00358167490189285,0.0468685757590959,0.00195547953199571,0.381883074782496,0.0159962740601573
"4","501.2.3",501,0.189801032715993,0.00815105531015433,22,37504,0.7,0.2,0.78,0.43,"0.236714466101826",0.0107935157218398,0.101528046377306,0.00468600899877144,0.0359081815980089,0.0016008461967994,0.433943912476713,0.0199724665315778
"5","501.2.4",501,0.189801032715993,0.00815105531015433,22,37505,0.7,0.25,0.74,0.4,"0.199839082236548",0.00809013436373684,0.0847405968319888,0.0032621504218717,0.0325696289067146,0.00170785492335229,0.364775619785171,0.0144965804109207
"6","501.2.5",501,0.189801032715993,0.00815105531015433,22,37506,0.7,0.3,0.44,0.1,"0.192846081792323",0.00751764735755753,0.084509493762433,0.00333778398890744,0.0261382500014874,0.000993140029474185,0.357431622679221,0.0140780681290131
"7","501.2.6",501,0.189801032715993,0.00815105531015433,22,37507,0.7,0.35,0.77,0.28,"0.175579321594844",0.00706672090567157,0.0809867182313875,0.00304959868877632,0.0153207669952971,0.00108649159907014,0.332814519169305,0.0130420520657385
"8","501.2.7",501,0.189801032715993,0.00815105531015433,22,37508,0.7,0.4,0.57,0.4,"0.350572376409384",0.0157060359637285,0.093966170003789,0.00420886644552132,0.164740151715835,0.00745320739663728,0.533123704956584,0.0239538685622395
"9","501.2.8",501,0.189801032715993,0.00815105531015433,22,37509,0.7,0.45,0.75,0.52,"0.280105780039748",0.0126402354517461,0.103371200059045,0.00453726063688057,0.0758760445433699,0.00374392034741018,0.481113922351372,0.021531113544884
"10","501.2.9",501,0.189801032715993,0.00815105531015433,22,37510,0.7,0.5,0.82,0.48,"0.344378614279235",0.0135016683751126,0.0987053687248386,0.00378160909485617,0.150047017132449,0.0061099733208764,0.536970070575811,0.0209337934445305
"11","501.2.10",501,0.189801032715993,0.00815105531015433,22,37511,0.7,0.55,0.48,0.47,"0.328062327613767",0.0145324954245571,0.107804056717876,0.00464651545171342,0.114531844868708,0.00539106460356992,0.537167559005027,0.0236074379521332
"12","501.2.11",501,0.189801032715993,0.00815105531015433,22,37512,0.7,0.6,0.65,0.65,"0.530366101143395",0.0206690562676588,0.0515439006133466,0.0018310852332677,0.428928090364696,0.0171181110831167,0.630975392324222,0.0242952523449027
"13","501.2.12",501,0.189801032715993,0.00815105531015433,22,37513,0.7,0.65,0.67,0.42,"0.27352543705645",0.0106356590094839,0.0923010222707525,0.00353429476857781,0.0912333580291363,0.00370917064821184,0.453059174220442,0.0175638363666132
"14","501.2.13",501,0.189801032715993,0.00815105531015433,22,37514,0.7,0.7,0.45,0.78,"0.599265346908829",0.0195708140307246,0.0882791551414665,0.00298930301697878,0.424978756365114,0.0137065757172443,0.771040051517114,0.0254248582362973
"15","501.2.14",501,0.189801032715993,0.00815105531015433,22,37515,0.7,0.75,0.55,0.48,"0.218809060172329",0.00949309461535566,0.0823452389371824,0.00330319756277369,0.0559807918861368,0.00302577109750565,0.378793035436725,0.0159752036555996
"16","502.2",502,0.103537859529358,0.00757361032441259,27,37516,0.7,0.05,0.46,0.07,"population extinction",NA,NA,NA,NA,NA,NA,NA
"17","502.2.1",502,0.103537859529358,0.00757361032441259,27,37517,0.7,0.1,0.73,0.07,"population extinction",NA,NA,NA,NA,NA,NA,NA
"18","502.2.2",502,0.103537859529358,0.00757361032441259,27,37518,0.7,0.15,0.65,0.05,"population extinction",NA,NA,NA,NA,NA,NA,NA
"19","502.2.3",502,0.103537859529358,0.00757361032441259,27,37519,0.7,0.2,0.81,0.1,"population extinction",NA,NA,NA,NA,NA,NA,NA
"20","502.2.4",502,0.103537859529358,0.00757361032441259,27,37520,0.7,0.25,0.42,0.13,"population extinction",NA,NA,NA,NA,NA,NA,NA
"21","502.2.5",502,0.103537859529358,0.00757361032441259,27,37521,0.7,0.3,0.77,0.18,"population extinction",NA,NA,NA,NA,NA,NA,NA
"22","502.2.6",502,0.103537859529358,0.00757361032441259,27,37522,0.7,0.35,0.65,0.53,"population extinction",NA,NA,NA,NA,NA,NA,NA
"23","502.2.7",502,0.103537859529358,0.00757361032441259,27,37523,0.7,0.4,0.69,0.72,"population extinction",NA,NA,NA,NA,NA,NA,NA
"24","502.2.8",502,0.103537859529358,0.00757361032441259,27,37524,0.7,0.45,0.72,0.5,"population extinction",NA,NA,NA,NA,NA,NA,NA
"25","502.2.9",502,0.103537859529358,0.00757361032441259,27,37525,0.7,0.5,0.7,0.35,"population extinction",NA,NA,NA,NA,NA,NA,NA
"26","502.2.10",502,0.103537859529358,0.00757361032441259,27,37526,0.7,0.55,0.69,0.62,"population extinction",NA,NA,NA,NA,NA,NA,NA
"27","502.2.11",502,0.103537859529358,0.00757361032441259,27,37527,0.7,0.6,0.5,0.8,"population extinction",NA,NA,NA,NA,NA,NA,NA
