"","missingprop_autocor","parameter","mean","sd","2.5%","50%","97.5%","missingness","type","run_no"
"1","propMissAct_0.2","b_Intercept",0.817775060441152,0.199629155603642,0.42337903187485,0.818953713166819,1.21086669247291,"MNAR","brms",1
"2","propMissAct_0.2","b_light",-0.954813812547033,0.0557264691947033,-1.06264251085571,-0.954748503079193,-0.844476620930023,"MNAR","brms",1
"3","propMissAct_0.2","b_discharge",0.100017378970147,0.0485591319853829,0.0040746248590714,0.099340801183026,0.197699440545902,"MNAR","brms",1
"4","propMissAct_0.2","phi",0.738665033030016,0.0434890122588343,0.650861022191693,0.740141464563089,0.822061569666711,"MNAR","brms",1
"5","propMissAct_0.2","sigma",0.874479237465078,0.0403857496671913,0.799525533205403,0.873081095337075,0.956273793774026,"MNAR","brms",1
"6","propMissAct_0.2","Intercept",0.871642691768392,0.199530689464893,0.478254277819273,0.872878245069472,1.2659962938012,"MNAR","brms",1
"7","propMissAct_0.21","b_Intercept",0.82545726019969,0.206810413485589,0.405401856493539,0.829568008386741,1.22580528567514,"MNAR","brms",1
"8","propMissAct_0.21","b_light",-0.938464429334021,0.0560688766496126,-1.0479738555221,-0.93877542334703,-0.829110906098589,"MNAR","brms",1
"9","propMissAct_0.21","b_discharge",0.0879316422545005,0.0472081618308505,-0.00467461908754933,0.0879109532133521,0.18009405099039,"MNAR","brms",1
"10","propMissAct_0.21","phi",0.738875131243867,0.0449813638924934,0.646911695710911,0.739526461228883,0.823934157805917,"MNAR","brms",1
"11","propMissAct_0.21","sigma",0.865175398731922,0.0408346367220883,0.790060652750305,0.863412246339186,0.951715851641333,"MNAR","brms",1
"12","propMissAct_0.21","Intercept",0.879069047715242,0.206738393695135,0.460190625942093,0.883028663462451,1.28020033130237,"MNAR","brms",1
"13","propMissAct_0.22","b_Intercept",0.826109952589568,0.195854925579816,0.430562616298397,0.829040637034065,1.20724639193351,"MNAR","brms",1
"14","propMissAct_0.22","b_light",-0.912006465170758,0.0575056860333356,-1.02454766217076,-0.912527508673985,-0.797991895131048,"MNAR","brms",1
"15","propMissAct_0.22","b_discharge",0.0888072921609636,0.0479371170082643,-0.00432518064435428,0.0884083048297425,0.182478359801587,"MNAR","brms",1
"16","propMissAct_0.22","phi",0.734717096997046,0.0453879368048484,0.644045334061014,0.735806628597748,0.821130321860324,"MNAR","brms",1
"17","propMissAct_0.22","sigma",0.86370962315418,0.0408619269103643,0.788507337407202,0.862121585604966,0.947112785529212,"MNAR","brms",1
"18","propMissAct_0.22","Intercept",0.877994712648225,0.195804881056278,0.48446312336553,0.880691915678788,1.26024307070889,"MNAR","brms",1
"19","propMissAct_0.23","b_Intercept",0.826115954683443,0.196634752718955,0.438174406844967,0.825622889521672,1.199213647233,"MNAR","brms",1
"20","propMissAct_0.23","b_light",-0.911751700410671,0.0594082370462191,-1.02829557853503,-0.910711899784354,-0.793091452327475,"MNAR","brms",1
"21","propMissAct_0.23","b_discharge",0.0896544826417375,0.0483130481096351,-0.0072583866915131,0.0898244638992444,0.182848324247081,"MNAR","brms",1
"22","propMissAct_0.23","phi",0.734099399653742,0.0455968911470805,0.641528519904419,0.734370539771529,0.82149229416208,"MNAR","brms",1
"23","propMissAct_0.23","sigma",0.865625604905416,0.0412833521676957,0.788097387068968,0.863591971931704,0.951273535113744,"MNAR","brms",1
"24","propMissAct_0.23","Intercept",0.877930189686017,0.196532301384564,0.49124742780422,0.876606291570406,1.25527250448243,"MNAR","brms",1
"25","propMissAct_0.23","b_Intercept",0.824118679937421,0.192206371556394,0.450663768909841,0.827443185028055,1.20259132749483,"MNAR","brms",1
"26","propMissAct_0.23","b_light",-0.909088435315095,0.0597278126134454,-1.02495409659872,-0.909621657654492,-0.793799167568958,"MNAR","brms",1
"27","propMissAct_0.23","b_discharge",0.0877795249223065,0.0480989714622801,-0.00766413670575374,0.0874663244433716,0.183247310866852,"MNAR","brms",1
"28","propMissAct_0.23","phi",0.732345699926297,0.0457377908632796,0.641196708941239,0.73348564161775,0.819322419576836,"MNAR","brms",1
