"CurSim","missingprop_autocor","parameters","param_value","param_se","missingness","type","run_no"
9,"y","ar1",0.775360233909814,0.0424284971833748,"MAR","dropNA_simple",9
9,"y","intercept",1.99392053210494,0.272632690250681,"MAR","dropNA_simple",9
9,"y","xreg1",0.00627513977839715,0.000706505259503746,"MAR","dropNA_simple",9
9,"y","xreg2",-0.131362749021548,0.0248946735402076,"MAR","dropNA_simple",9
9,"y","sigma",0.363467705569419,NA,"MAR","dropNA_simple",9
9,"propMissAct_0.08_autoCorr_0.74","ar1",0.797052886925055,0.0413437845524649,"MAR","dropNA_simple",9
9,"propMissAct_0.08_autoCorr_0.74","intercept",1.9463961829196,0.2839403515264,"MAR","dropNA_simple",9
9,"propMissAct_0.08_autoCorr_0.74","xreg1",0.00559659684429135,0.000732151685137611,"MAR","dropNA_simple",9
9,"propMissAct_0.08_autoCorr_0.74","xreg2",-0.115325862004637,0.024048726490234,"MAR","dropNA_simple",9
9,"propMissAct_0.08_autoCorr_0.74","sigma",0.36933560716556,NA,"MAR","dropNA_simple",9
9,"propMissAct_0.1_autoCorr_0.69","ar1",0.761400513898411,0.0457635601447247,"MAR","dropNA_simple",9
9,"propMissAct_0.1_autoCorr_0.69","intercept",2.0050342511741,0.284346143504662,"MAR","dropNA_simple",9
9,"propMissAct_0.1_autoCorr_0.69","xreg1",0.00620391037370938,0.000742754897168031,"MAR","dropNA_simple",9
9,"propMissAct_0.1_autoCorr_0.69","xreg2",-0.132851904500585,0.0256385897467773,"MAR","dropNA_simple",9
9,"propMissAct_0.1_autoCorr_0.69","sigma",0.387012735422874,NA,"MAR","dropNA_simple",9
9,"propMissAct_0.14_autoCorr_0.81","ar1",0.723894925799822,0.0554138735607257,"MAR","dropNA_simple",9
9,"propMissAct_0.14_autoCorr_0.81","intercept",2.0242166490062,0.275734345193895,"MAR","dropNA_simple",9
9,"propMissAct_0.14_autoCorr_0.81","xreg1",0.00693585113354422,0.000856665886677488,"MAR","dropNA_simple",9
9,"propMissAct_0.14_autoCorr_0.81","xreg2",-0.135969688363482,0.0259585613191521,"MAR","dropNA_simple",9
9,"propMissAct_0.14_autoCorr_0.81","sigma",0.39294368763799,NA,"MAR","dropNA_simple",9
9,"propMissAct_0.17_autoCorr_0.76","ar1",0.791004220400192,0.0441853602349382,"MAR","dropNA_simple",9
9,"propMissAct_0.17_autoCorr_0.76","intercept",1.80091658395739,0.280517894148022,"MAR","dropNA_simple",9
9,"propMissAct_0.17_autoCorr_0.76","xreg1",0.00605915760143504,0.000725730087755999,"MAR","dropNA_simple",9
