Patch,Vial Color,Date,Time (military),Total Volume,Volume Sampled,Number,Notes
B1A,Amber,9/24/16,14:40,4.75ml,.15ml,15,
B2A,Amber,9/24/16,,4.75ml,.15ml,22,
B3A,Amber,9/24/16,,4.75ml,.15ml,23,
B4A,Amber,9/24/16,,4.75ml,.15ml,14,
B5A,Amber,9/24/16,,4.75ml,.15ml,13,
B6A,Amber,9/24/16,,4.75ml,.15ml,17,
B7A,Amber,9/24/16,,4.75ml,.15ml,8,
B8A,Amber,9/24/16,,4.75ml,.15ml,13,
B9A,Amber,9/24/16,,4.75ml,.15ml,9,
B10A,Amber,9/24/16,,4.75ml,.15ml,8,
B1A,Amber,9/27/16,10:40,4.75ml,.15ml,20,
B2A,Amber,9/27/16,,4.75ml,.15ml,28,
B3A,Amber,9/27/16,,4.75ml,.15ml,24,
B4A,Amber,9/27/16,,4.75ml,.15ml,21,
B5A,Amber,9/27/16,,4.75ml,.15ml,22,
B6A,Amber,9/27/16,,4.75ml,.15ml,32,
B7A,Amber,9/27/16,,4.75ml,.15ml,15,
B8A,Amber,9/27/16,,4.75ml,.15ml,39,
B9A,Amber,9/27/16,,4.75ml,.15ml,18,
B10A,Amber,9/27/16,,4.75ml,.15ml,20,
B1A,Amber,9/29/16,11:40,4.75ml,.15ml,24,
B2A,Amber,9/29/16,,4.75ml,.15ml,29,
B3A,Amber,9/29/16,,4.75ml,.15ml,35,
B4A,Amber,9/29/16,,4.75ml,.15ml,32,
B5A,Amber,9/29/16,,4.75ml,.15ml,34,
B6A,Amber,9/29/16,,4.75ml,.15ml,36,
B7A,Amber,9/29/16,,4.75ml,.15ml,22,
B8A,Amber,9/29/16,,4.75ml,.15ml,33,
B9A,Amber,9/29/16,,4.75ml,.15ml,12,
B10A,Amber,9/29/16,,4.75ml,.15ml,25,
B1A,Amber,10/1/16,,4.75ml,.15ml,43,
B2A,Amber,10/1/16,,4.75ml,.15ml,42,
B3A,Amber,10/1/16,,4.75ml,.15ml,49,
B4A,Amber,10/1/16,,4.75ml,.15ml,31,
B5A,Amber,10/1/16,,4.75ml,.15ml,38,
B6A,Amber,10/1/16,,4.75ml,.15ml,52,
B7A,Amber,10/1/16,,4.75ml,.15ml,19,
B8A,Amber,10/1/16,,4.75ml,.15ml,45,
B9A,Amber,10/1/16,,4.75ml,.15ml,27,
B10A,Amber,10/1/16,,4.75ml,.15ml,37,
B1A,Amber,10/4/16,12:00,4.75ml,.15ml,40,
B2A,Amber,10/4/16,,4.75ml,.15ml,38,
B3A,Amber,10/4/16,,4.75ml,.15ml,30,
B4A,Amber,10/4/16,,4.75ml,.15ml,39,
B5A,Amber,10/4/16,,4.75ml,.15ml,29,
B6A,Amber,10/4/16,,4.75ml,.15ml,51,
B7A,Amber,10/4/16,,4.75ml,.15ml,18,
B8A,Amber,10/4/16,,4.75ml,.15ml,41,
B9A,Amber,10/4/16,,4.75ml,.15ml,19,
B10A,Amber,10/4/16,,4.75ml,.15ml,22,
B1A,Amber,10/6/16,10:40,4.75ml,.15ml,57,
B2A,Amber,10/6/16,,4.75ml,.15ml,38,
B3A,Amber,10/6/16,,4.75ml,.15ml,42,
B4A,Amber,10/6/16,,4.75ml,.15ml,43,
B5A,Amber,10/6/16,,4.75ml,.15ml,38,
B6A,Amber,10/6/16,,4.75ml,.15ml,55,
B7A,Amber,10/6/16,,4.75ml,.15ml,37,
B8A,Amber,10/6/16,,4.75ml,.15ml,39,
B9A,Amber,10/6/16,,4.75ml,.15ml,21,
B10A,Amber,10/6/16,,4.75ml,.15ml,31,
B1A,Amber,10/8/16,15:05,4.75ml,.15ml,65,
B2A,Amber,10/8/16,,4.75ml,.15ml,42,
B3A,Amber,10/8/16,,4.75ml,.15ml,45,
B4A,Amber,10/8/16,,4.75ml,.15ml,51,
B5A,Amber,10/8/16,,4.75ml,.15ml,38,
B6A,Amber,10/8/16,,4.75ml,.15ml,68,
B7A,Amber,10/8/16,,4.75ml,.15ml,44,
B8A,Amber,10/8/16,,4.75ml,.15ml,55,
B9A,Amber,10/8/16,,4.75ml,.15ml,41,
B10A,Amber,10/8/16,,4.75ml,.15ml,57,
B1A,Amber,10/11/16,10:45,4.75ml,.15ml,71,
B2A,Amber,10/11/16,,4.75ml,.15ml,46,
B3A,Amber,10/11/16,,4.75ml,.15ml,49,
B4A,Amber,10/11/16,,4.75ml,.15ml,68,
B5A,Amber,10/11/16,,4.75ml,.15ml,27,
B6A,Amber,10/11/16,,4.75ml,.15ml,91,
B7A,Amber,10/11/16,,4.75ml,.15ml,52,
B8A,Amber,10/11/16,,4.75ml,.15ml,59,
B9A,Amber,10/11/16,,4.75ml,.15ml,29,
B10A,Amber,10/11/16,,4.75ml,.15ml,63,
B1A,Amber,10/13/16,10:20,4.75ml,.15ml,68,
B2A,Amber,10/13/16,,4.75ml,.15ml,59,
B3A,Amber,10/13/16,,4.75ml,.15ml,36,
B4A,Amber,10/13/16,,4.75ml,.15ml,78,
B5A,Amber,10/13/16,,4.75ml,.15ml,28,
B6A,Amber,10/13/16,,4.75ml,.15ml,75,
B7A,Amber,10/13/16,,4.75ml,.15ml,43,
B8A,Amber,10/13/16,,4.75ml,.15ml,59,
B9A,Amber,10/13/16,,4.75ml,.15ml,32,
B10A,Amber,10/13/16,,4.75ml,.15ml,64,
B1A,Amber,10/15/16,10:30,4.75ml,.15ml,98,
B2A,Amber,10/15/16,,4.75ml,.15ml,74,
B3A,Amber,10/15/16,,4.75ml,.15ml,59,
B4A,Amber,10/15/16,,4.75ml,.15ml,80,
B5A,Amber,10/15/16,,4.75ml,.15ml,61,
B6A,Amber,10/15/16,,4.75ml,.15ml,103,
B7A,Amber,10/15/16,,4.75ml,.15ml,68,
B8A,Amber,10/15/16,,4.75ml,.15ml,64,
B9A,Amber,10/15/16,,4.75ml,.15ml,52,
B10A,Amber,10/15/16,,4.75ml,.15ml,79,
B1A,Amber,10/18/16,11:00,4.75ml,.15ml,88,
B2A,Amber,10/18/16,,4.75ml,.15ml,57,
B3A,Amber,10/18/16,,4.75ml,.15ml,54,
B4A,Amber,10/18/16,,4.75ml,.15ml,107,
B5A,Amber,10/18/16,,4.75ml,.15ml,43,
B6A,Amber,10/18/16,,4.75ml,.15ml,119,
B7A,Amber,10/18/16,,4.75ml,.15ml,61,
B8A,Amber,10/18/16,,4.75ml,.15ml,72,
B9A,Amber,10/18/16,,4.75ml,.15ml,42,
B10A,Amber,10/18/16,,4.75ml,.15ml,76,
B1A,Amber,10/20/16,10:00,4.75ml,.15ml,92,
B2A,Amber,10/20/16,,4.75ml,.15ml,84,
B3A,Amber,10/20/16,,4.75ml,.15ml,43,
B4A,Amber,10/20/16,,4.75ml,.15ml,75,
B5A,Amber,10/20/16,,4.75ml,.15ml,49,
B6A,Amber,10/20/16,,4.75ml,.15ml,115,
B7A,Amber,10/20/16,,4.75ml,.15ml,72,
B8A,Amber,10/20/16,,4.75ml,.15ml,81,
B9A,Amber,10/20/16,,4.75ml,.15ml,62,
B10A,Amber,10/20/16,,4.75ml,.15ml,86,
B1A,Amber,10/22/16,13:20,4.75ml,.15ml,114,
B2A,Amber,10/22/16,,4.75ml,.15ml,84,
B3A,Amber,10/22/16,,4.75ml,.15ml,63,
B4A,Amber,10/22/16,,4.75ml,.15ml,87,
B5A,Amber,10/22/16,,4.75ml,.15ml,52,
B6A,Amber,10/22/16,,4.75ml,.15ml,117,
B7A,Amber,10/22/16,,4.75ml,.15ml,75,
B8A,Amber,10/22/16,,4.75ml,.15ml,72,
B9A,Amber,10/22/16,,4.75ml,.15ml,59,
B10A,Amber,10/22/16,,4.75ml,.15ml,73,
B1A,Amber,10/25/16,10:25,4.75ml,.15ml,81,
B2A,Amber,10/25/16,,4.75ml,.15ml,75,
B3A,Amber,10/25/16,,4.75ml,.15ml,69,
B4A,Amber,10/25/16,,4.75ml,.15ml,107,
B5A,Amber,10/25/16,,4.75ml,.15ml,52,
B6A,Amber,10/25/16,,4.75ml,.15ml,119,
B7A,Amber,10/25/16,,4.75ml,.15ml,90,
B8A,Amber,10/25/16,,4.75ml,.15ml,74,
B9A,Amber,10/25/16,,4.75ml,.15ml,68,
B10A,Amber,10/25/16,,4.75ml,.15ml,85,
B1A,Amber,10/27/16,10:45,4.75ml,.15ml,105,
B2A,Amber,10/27/16,,4.75ml,.15ml,90,
B3A,Amber,10/27/16,,4.75ml,.15ml,68,
B4A,Amber,10/27/16,,4.75ml,.15ml,111,
B5A,Amber,10/27/16,,4.75ml,.15ml,60,
B6A,Amber,10/27/16,,4.75ml,.15ml,107,
B7A,Amber,10/27/16,,4.75ml,.15ml,69,
B8A,Amber,10/27/16,,4.75ml,.15ml,72,
