Year,Broods
1960,165
1961,266
1962,198
1963,187
1964,302
1965,265
1966,220
1967,157
1968,183
1969,208
1970,159
1971,246
1972,190
1973,189
1974,169
1975,156
1976,106
1977,237
1978,185
1979,171
1980,222
1981,313
1982,203
1983,336
1984,220
1985,185
1986,220
1987,245
1988,307
1989,243
1990,249
1991,152
1992,219
1993,321
1994,332
1995,375
1996,416
1997,354
1998,350
1999,276
2000,270
2001,415
2002,400
2003,436
2004,325
2005,491
2006,432
2007,481
2008,467
2009,328
2010,381
2011,316
2012,413
2013,263
2014,318
2015,333
2016,278
2017,298
2018,273
