"CurSim","missingprop_autocor","missingness","type","param","value","missingnessVersion","SE"
10,"y","MAR","Data Deletion","ar1",0.713861387683767,"A",0.0388696210296307
10,"propMissAct_0.04_autoCorr_0.9","MAR","Data Deletion","ar1",0.704767336332557,"B",0.0406148541611379
10,"propMissAct_0.05_autoCorr_0.92","MAR","Data Deletion","ar1",0.738446795558772,"C",0.0384715208473265
10,"propMissAct_0.08_autoCorr_0.83","MAR","Data Deletion","ar1",0.737254146279656,"D",0.0391202980143789
10,"propMissAct_0.24_autoCorr_0.86","MAR","Data Deletion","ar1",0.615830349300465,"E",0.0531860554858287
10,"propMissAct_0.2_autoCorr_0.88","MAR","Data Deletion","ar1",0.744535314519519,"F",0.0398511904188803
10,"propMissAct_0.19_autoCorr_0.88","MAR","Data Deletion","ar1",0.729697238805022,"G",0.0418199093946664
10,"propMissAct_0.22_autoCorr_0.92","MAR","Data Deletion","ar1",0.680683931513386,"H",0.0456740791721264
10,"propMissAct_0.46_autoCorr_0.9","MAR","Data Deletion","ar1",0.811868551429332,"I",0.0462864164990801
10,"propMissAct_0.38_autoCorr_0.9","MAR","Data Deletion","ar1",0.731760347214445,"J",0.0464668770442671
10,"propMissAct_0.54_autoCorr_0.84","MAR","Data Deletion","ar1",0.703749760963992,"K",0.0590127034195276
10,"propMissAct_0.53_autoCorr_0.89","MAR","Data Deletion","ar1",0.614424713981817,"L",0.063523564969228
10,"propMissAct_0.67_autoCorr_0.87","MAR","Data Deletion","ar1",0.804443056609892,"M",0.0590519986932494
10,"propMissAct_0.45_autoCorr_0.93","MAR","Data Deletion","ar1",0.772896047057252,"N",0.0508097047137319
10,"propMissAct_0.56_autoCorr_0.9","MAR","Data Deletion","ar1",0.840725842957468,"O",0.0435402882132195
10,"propMissAct_0.67_autoCorr_0.92","MAR","Data Deletion","ar1",0.824858899504294,"P",0.0529338548390925
10,"y","MAR","Data Deletion","intercept",1.99425316905762,"A",0.390468961175523
10,"propMissAct_0.04_autoCorr_0.9","MAR","Data Deletion","intercept",1.96406706180935,"B",0.393907277376298
10,"propMissAct_0.05_autoCorr_0.92","MAR","Data Deletion","intercept",2.1266778682284,"C",0.403456726150264
10,"propMissAct_0.08_autoCorr_0.83","MAR","Data Deletion","intercept",2.25725734814822,"D",0.383808768083199
10,"propMissAct_0.24_autoCorr_0.86","MAR","Data Deletion","intercept",1.22681377293203,"E",0.386791430728322
10,"propMissAct_0.2_autoCorr_0.88","MAR","Data Deletion","intercept",1.29279152895448,"F",0.420219491039555
10,"propMissAct_0.19_autoCorr_0.88","MAR","Data Deletion","intercept",2.03572189106047,"G",0.455918806109778
10,"propMissAct_0.22_autoCorr_0.92","MAR","Data Deletion","intercept",1.61420412016362,"H",0.368590202646127
10,"propMissAct_0.46_autoCorr_0.9","MAR","Data Deletion","intercept",4.59316512099188,"I",0.82713443609107
10,"propMissAct_0.38_autoCorr_0.9","MAR","Data Deletion","intercept",2.29883017259123,"J",0.550302964777288
10,"propMissAct_0.54_autoCorr_0.84","MAR","Data Deletion","intercept",2.653412783103,"K",0.585798083980452
10,"propMissAct_0.53_autoCorr_0.89","MAR","Data Deletion","intercept",2.14013248595347,"L",0.580173541733887
10,"propMissAct_0.67_autoCorr_0.87","MAR","Data Deletion","intercept",3.68644441456581,"M",0.85113254089837
10,"propMissAct_0.45_autoCorr_0.93","MAR","Data Deletion","intercept",2.48279013978685,"N",0.57512602741852
10,"propMissAct_0.56_autoCorr_0.9","MAR","Data Deletion","intercept",5.43847965625373,"O",0.877087256624979
10,"propMissAct_0.67_autoCorr_0.92","MAR","Data Deletion","intercept",4.85696455098415,"P",1.08057553010401
10,"y","MAR","Data Deletion","light",0.0157448269348997,"A",0.00140224190019806
10,"propMissAct_0.04_autoCorr_0.9","MAR","Data Deletion","light",0.0160264732311693,"B",0.00144922477642523
10,"propMissAct_0.05_autoCorr_0.92","MAR","Data Deletion","light",0.0147789126837908,"C",0.00144216981650922
10,"propMissAct_0.08_autoCorr_0.83","MAR","Data Deletion","light",0.0149565414108451,"D",0.00133219952429923
10,"propMissAct_0.24_autoCorr_0.86","MAR","Data Deletion","light",0.0179618452288015,"E",0.00151294572937666
10,"propMissAct_0.2_autoCorr_0.88","MAR","Data Deletion","light",0.0166798019836385,"F",0.00147374919335422
10,"propMissAct_0.19_autoCorr_0.88","MAR","Data Deletion","light",0.015337806798848,"G",0.00162917411098722
10,"propMissAct_0.22_autoCorr_0.92","MAR","Data Deletion","light",0.0174762594194637,"H",0.0013285375306253
10,"propMissAct_0.46_autoCorr_0.9","MAR","Data Deletion","light",0.0161995870917993,"I",0.00171635719159453
10,"propMissAct_0.38_autoCorr_0.9","MAR","Data Deletion","light",0.0149547723453926,"J",0.00173389386468248
10,"propMissAct_0.54_autoCorr_0.84","MAR","Data Deletion","light",0.0135427998619859,"K",0.00232145782320185
10,"propMissAct_0.53_autoCorr_0.89","MAR","Data Deletion","light",0.0172307603473503,"L",0.00198943050956749
10,"propMissAct_0.67_autoCorr_0.87","MAR","Data Deletion","light",0.0124988911271239,"M",0.00268149304862635
10,"propMissAct_0.45_autoCorr_0.93","MAR","Data Deletion","light",0.0148066719845164,"N",0.00217166162311241
10,"propMissAct_0.56_autoCorr_0.9","MAR","Data Deletion","light",0.013053056240955,"O",0.00175993687818661
10,"propMissAct_0.67_autoCorr_0.92","MAR","Data Deletion","light",0.014666709895595,"P",0.00220051571193787
10,"y","MAR","Data Deletion","discharge",-1.65637122675135,"A",0.520105534242331
10,"propMissAct_0.04_autoCorr_0.9","MAR","Data Deletion","discharge",-1.56396846465377,"B",0.526949490019523
10,"propMissAct_0.05_autoCorr_0.92","MAR","Data Deletion","discharge",-1.60455654474625,"C",0.509676563203651
10,"propMissAct_0.08_autoCorr_0.83","MAR","Data Deletion","discharge",-2.35375368795812,"D",0.529486654784468
10,"propMissAct_0.24_autoCorr_0.86","MAR","Data Deletion","discharge",-0.93438542844501,"E",0.569545783732123
10,"propMissAct_0.2_autoCorr_0.88","MAR","Data Deletion","discharge",-0.427444885176712,"F",0.5715623243793
10,"propMissAct_0.19_autoCorr_0.88","MAR","Data Deletion","discharge",-1.56566135833617,"G",0.553755756929807
10,"propMissAct_0.22_autoCorr_0.92","MAR","Data Deletion","discharge",-2.17808588009374,"H",0.519390322660074
10,"propMissAct_0.46_autoCorr_0.9","MAR","Data Deletion","discharge",-10.3645317775911,"I",1.88620114899069
10,"propMissAct_0.38_autoCorr_0.9","MAR","Data Deletion","discharge",-1.82255205245126,"J",0.820973817005147
10,"propMissAct_0.54_autoCorr_0.84","MAR","Data Deletion","discharge",-2.41827536382333,"K",0.625706229919791
10,"propMissAct_0.53_autoCorr_0.89","MAR","Data Deletion","discharge",-2.52919741310632,"L",0.839205125548432
10,"propMissAct_0.67_autoCorr_0.87","MAR","Data Deletion","discharge",-3.89867991202861,"M",1.19719025968591
10,"propMissAct_0.45_autoCorr_0.93","MAR","Data Deletion","discharge",-1.6025784461967,"N",0.668022006229572
10,"propMissAct_0.56_autoCorr_0.9","MAR","Data Deletion","discharge",-12.5395611625292,"O",2.15755080861361
10,"propMissAct_0.67_autoCorr_0.92","MAR","Data Deletion","discharge",-9.12966111982907,"P",2.15449231448246
10,"y","MAR","Data Deletion","sigma",1.41706375371516,"A",NA
10,"propMissAct_0.04_autoCorr_0.9","MAR","Data Deletion","sigma",1.43290565240853,"B",NA
10,"propMissAct_0.05_autoCorr_0.92","MAR","Data Deletion","sigma",1.35832500713008,"C",NA
10,"propMissAct_0.08_autoCorr_0.83","MAR","Data Deletion","sigma",1.19429620145002,"D",NA
10,"propMissAct_0.24_autoCorr_0.86","MAR","Data Deletion","sigma",1.30327096488106,"E",NA
10,"propMissAct_0.2_autoCorr_0.88","MAR","Data Deletion","sigma",1.2558977340098,"F",NA
