"CurSim","missingprop_autocor","parameters","param_value","param_se","missingness","type","run_no"
4,"propMissAct_0.08_autoCorr_0.33","ar1",0.393120816274991,0.0386341630371625,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33","intercept",4.88825346697779,0.564591033554582,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33","xreg1",1.68580957820248,0.153670253514098,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33","xreg2",-1.52749678601097,0.159132276910165,"MAR","dropNA_simple",4
4,"propMissAct_0.08_autoCorr_0.33","sigma",0.573845323643119,NA,"MAR","dropNA_simple",4
4,"propMissAct_0.15_autoCorr_0.29","ar1",0.401314321504107,0.040823361017405,"MAR","dropNA_simple",4
4,"propMissAct_0.15_autoCorr_0.29","intercept",4.68563814076457,0.556370180077006,"MAR","dropNA_simple",4
4,"propMissAct_0.15_autoCorr_0.29","xreg1",1.69977628875297,0.158350729011264,"MAR","dropNA_simple",4
4,"propMissAct_0.15_autoCorr_0.29","xreg2",-1.46645298032662,0.156159610834082,"MAR","dropNA_simple",4
4,"propMissAct_0.15_autoCorr_0.29","sigma",0.518313708804215,NA,"MAR","dropNA_simple",4
4,"propMissAct_0.21_autoCorr_0.28","ar1",0.355271194398673,0.0424822948287875,"MAR","dropNA_simple",4
4,"propMissAct_0.21_autoCorr_0.28","intercept",4.92285299949291,0.600177737624564,"MAR","dropNA_simple",4
4,"propMissAct_0.21_autoCorr_0.28","xreg1",1.68755408597527,0.166426775913982,"MAR","dropNA_simple",4
4,"propMissAct_0.21_autoCorr_0.28","xreg2",-1.53849423037405,0.169267469139535,"MAR","dropNA_simple",4
4,"propMissAct_0.21_autoCorr_0.28","sigma",0.619959901726216,NA,"MAR","dropNA_simple",4
4,"propMissAct_0.24_autoCorr_0.3","ar1",0.356688914878181,0.0429436520660417,"MAR","dropNA_simple",4
4,"propMissAct_0.24_autoCorr_0.3","intercept",5.03834255345752,0.597999252595595,"MAR","dropNA_simple",4
4,"propMissAct_0.24_autoCorr_0.3","xreg1",1.72851705043518,0.166301839111989,"MAR","dropNA_simple",4
4,"propMissAct_0.24_autoCorr_0.3","xreg2",-1.57784342419617,0.16890950374584,"MAR","dropNA_simple",4
4,"propMissAct_0.24_autoCorr_0.3","sigma",0.592260447029752,NA,"MAR","dropNA_simple",4
4,"propMissAct_0.25_autoCorr_0.31","ar1",0.416536592161667,0.0423624045239828,"MAR","dropNA_simple",4
4,"propMissAct_0.25_autoCorr_0.31","intercept",4.38593322450782,0.579003172680828,"MAR","dropNA_simple",4
4,"propMissAct_0.25_autoCorr_0.31","xreg1",1.75328274956677,0.15870353860861,"MAR","dropNA_simple",4
4,"propMissAct_0.25_autoCorr_0.31","xreg2",-1.38455707022063,0.162224787137158,"MAR","dropNA_simple",4
4,"propMissAct_0.25_autoCorr_0.31","sigma",0.489611718097954,NA,"MAR","dropNA_simple",4
4,"propMissAct_0.31_autoCorr_0.3","ar1",0.356799577375875,0.046006171741723,"MAR","dropNA_simple",4
4,"propMissAct_0.31_autoCorr_0.3","intercept",4.88002144435852,0.609122207521606,"MAR","dropNA_simple",4
4,"propMissAct_0.31_autoCorr_0.3","xreg1",1.72232133305088,0.171340957786742,"MAR","dropNA_simple",4
