missingprop_autocor,parameter,mean,sd,2.5%,50%,97.5%,missingness,type,run_no
y,b_Intercept,1.9386349337051754,0.2848293112670707,1.3758187714389127,1.9402891602526795,2.492524692455777,MAR,brms,1
y,b_light,0.00635530452712858,6.987059746644273e-4,0.005014170402354105,0.006335227095728118,0.007765877339656021,MAR,brms,1
y,b_Q,-0.13147752327296142,0.02488056738441608,-0.1781088912385973,-0.13170912690993186,-0.08189658956778231,MAR,brms,1
y,phi,0.7789046400277652,0.04389017788812558,0.6908971820089347,0.7803544367087976,0.8608518945467011,MAR,brms,1
y,sigma,0.6065426484020183,0.023506200179356496,0.5631070880658702,0.605333538098903,0.6546352585380919,MAR,brms,1
propMissAct_0.07_autoCorr_0.08,b_Intercept,1.94255061995052,0.28372527248807955,1.3750992100979855,1.9472070344659704,2.49183899752441,MAR,brms,1
propMissAct_0.07_autoCorr_0.08,b_light,0.006602805089698806,7.720974794780768e-4,0.00511314163254074,0.0065861752836217004,0.008163250371352716,MAR,brms,1
propMissAct_0.07_autoCorr_0.08,b_Q,-0.13651682408307733,0.02536216051239159,-0.18519985567895172,-0.13672572697739357,-0.08468763049992958,MAR,brms,1
propMissAct_0.07_autoCorr_0.08,phi,0.7630223671111084,0.047267596716318604,0.6649214895070718,0.7645811337274897,0.8503145194220378,MAR,brms,1
propMissAct_0.07_autoCorr_0.08,sigma,0.6142734859372802,0.025025631501978698,0.5678433687789923,0.6135404214145436,0.6645383700811389,MAR,brms,1
propMissAct_0.11_autoCorr_0.08,b_Intercept,1.8180593440037602,0.28308311591774915,1.2370968076452054,1.82279243950125,2.363732922327513,MAR,brms,1
propMissAct_0.11_autoCorr_0.08,b_light,0.006880365326061499,7.657222513693834e-4,0.005446806017863668,0.006853994624865914,0.008443850803570388,MAR,brms,1
propMissAct_0.11_autoCorr_0.08,b_Q,-0.126871274941419,0.02567768665213071,-0.175481844358359,-0.1274949687888733,-0.07500583880021149,MAR,brms,1
propMissAct_0.11_autoCorr_0.08,phi,0.7725362576902189,0.04715899591346972,0.675990985773888,0.7743925505742404,0.8612850767562834,MAR,brms,1
