missingprop_autocor,Estimate,Est.Error,Q2.5,Q97.5,date,GPP,missingness,type,run_no
y,0.973636805633621,0.6390683045552811,-0.28282441010918025,2.271744246775968,2016-11-30T00:00:00Z,0.0210691950931066,MAR,brms,10
y,0.9559078494460285,0.7837861082964277,-0.5813727077494618,2.4772991990219544,2016-12-01T00:00:00Z,0.378646182477892,MAR,brms,10
y,1.0591010191835155,0.8596835629770476,-0.6001835321532931,2.7610242877594025,2016-12-02T00:00:00Z,0.704274591016821,MAR,brms,10
y,1.1914319158885367,0.9222907911838024,-0.6011394976704999,3.0044998140573247,2016-12-03T00:00:00Z,0.465486802605711,MAR,brms,10
y,1.2800229980712492,0.9412478472483489,-0.5502860830065209,3.1298111017991825,2016-12-04T00:00:00Z,0.399462914168786,MAR,brms,10
y,1.472190578822158,0.963705293019312,-0.4353350554185272,3.323351701381695,2016-12-05T00:00:00Z,0.707736309903312,MAR,brms,10
y,1.442085030223484,0.980254088779405,-0.49121845594192926,3.3583988558086824,2016-12-06T00:00:00Z,0.676981656015052,MAR,brms,10
y,1.4403554282259272,0.9718986629127537,-0.43865951869976555,3.3832539642007315,2016-12-07T00:00:00Z,0.651421657701972,MAR,brms,10
y,1.2761909338801913,0.9917213381701001,-0.6946416601092708,3.246225783433729,2016-12-08T00:00:00Z,0.452620201394598,MAR,brms,10
y,1.303844191839828,0.9958840590198214,-0.6466674282170637,3.2748705359447934,2016-12-09T00:00:00Z,0.713630219522972,MAR,brms,10
y,1.3654143884481489,0.9798075607362975,-0.5359226148108673,3.3160472943985075,2016-12-10T00:00:00Z,0.685235312064148,MAR,brms,10
y,1.3528729410584581,0.9923530088210067,-0.5633318366060339,3.2778395604460053,2016-12-11T00:00:00Z,0.399202048988361,MAR,brms,10
y,1.3419823714942964,0.9947587453213317,-0.6075976375434172,3.2903140883086,2016-12-12T00:00:00Z,0.450831021651176,MAR,brms,10
y,1.5468786381109347,0.991592164794764,-0.3838885729058531,3.5440463222034317,2016-12-13T00:00:00Z,0.653991463731387,MAR,brms,10
y,1.4778003032694575,0.9923231263214299,-0.4293137648920083,3.4548068026435508,2016-12-14T00:00:00Z,0.589519727153451,MAR,brms,10
y,1.5967128778943962,0.9900599255320366,-0.3358731917474085,3.5705027327674994,2016-12-15T00:00:00Z,0.403866696016504,MAR,brms,10
y,1.3196220228240727,0.9916023918855171,-0.6495302519397204,3.268364853611616,2016-12-16T00:00:00Z,0.269401760261086,MAR,brms,10
y,1.2855619005096397,0.9905525283303791,-0.6926444701312466,3.280721030546856,2016-12-17T00:00:00Z,0.316764261250687,MAR,brms,10
y,1.5038831361327583,0.9744291594481561,-0.44691214556441844,3.4283509494546824,2016-12-18T00:00:00Z,0.503715978970523,MAR,brms,10
y,1.5901440812802743,0.9924838398299424,-0.35528419465871164,3.528632891185017,2016-12-19T00:00:00Z,0.391838911292807,MAR,brms,10
y,1.5492750743747017,0.9826328613296527,-0.3792294903026905,3.4803933038298096,2016-12-20T00:00:00Z,0.364620582783133,MAR,brms,10
y,1.5306655269560316,0.980825069160983,-0.3313392258487219,3.506682137052037,2016-12-21T00:00:00Z,0.584347525364993,MAR,brms,10
y,1.5932181267116041,0.9890009489953757,-0.3626522622273374,3.5460953435046587,2016-12-22T00:00:00Z,0.523494209635502,MAR,brms,10
y,1.5328726693046135,0.9963583546366398,-0.42207740919451503,3.4848048491119457,2016-12-23T00:00:00Z,0.590600885709447,MAR,brms,10
y,1.5589525265355602,1.0094065062789417,-0.37520548610907817,3.5671297962065727,2016-12-24T00:00:00Z,0.352856725125781,MAR,brms,10
y,1.557419960654597,0.994226206726282,-0.405587544954993,3.5116670837370005,2016-12-25T00:00:00Z,0.638796268228445,MAR,brms,10
y,1.3719459798774674,0.9986106401979103,-0.6172224011960998,3.3738691944561676,2016-12-26T00:00:00Z,0.382867072316656,MAR,brms,10
y,0.904304752514788,0.9952348535593207,-1.0461861249832667,2.862368113147057,2016-12-27T00:00:00Z,0.0373816518772108,MAR,brms,10
y,1.1209986131452492,0.9965702370853101,-0.853117717422661,3.107701986903332,2016-12-28T00:00:00Z,0.380477405644794,MAR,brms,10
y,1.2547992860655386,1.0079519050081782,-0.7380634907020659,3.204085805638806,2016-12-29T00:00:00Z,0.0899376035704571,MAR,brms,10
y,1.3249311256786167,1.0128152702454052,-0.6214020575841921,3.3465837292542466,2016-12-30T00:00:00Z,0.459958607719185,MAR,brms,10
y,NA,NA,NA,NA,2016-12-31T00:00:00Z,NA,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,0.9672150485560023,0.6393985406054205,-0.29401893025321557,2.2292908463344707,2016-11-30T00:00:00Z,0.0210691950931066,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,0.9574147801037871,0.786004933281188,-0.5699248167730955,2.5197402261095525,2016-12-01T00:00:00Z,0.378646182477892,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.0778315986750602,0.8798867304171278,-0.6562300212393608,2.8025238986575727,2016-12-02T00:00:00Z,0.704274591016821,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.1878160186265148,0.9088741143725796,-0.6169758657321576,2.947786832787469,2016-12-03T00:00:00Z,0.465486802605711,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.2604883983949755,0.9602584832059838,-0.6823542126772828,3.105371039677476,2016-12-04T00:00:00Z,0.399462914168786,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.49137953562532,0.9782862100271635,-0.4380236442645187,3.4095925739321973,2016-12-05T00:00:00Z,0.707736309903312,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.4468631393321263,0.9911685008858082,-0.5008340409301406,3.4080411536542012,2016-12-06T00:00:00Z,0.676981656015052,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.417748370210545,0.9902640057265282,-0.5202989343349256,3.3464459360081276,2016-12-07T00:00:00Z,0.651421657701972,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.2840511493284745,0.9978747630178033,-0.6727711985020298,3.222296107504022,2016-12-08T00:00:00Z,0.452620201394598,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.3033040146849642,1.0050325436268703,-0.6765811957250875,3.2688980241696504,2016-12-09T00:00:00Z,0.713630219522972,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.3748113923237129,1.010874310939406,-0.5649782367050981,3.352424071919673,2016-12-10T00:00:00Z,0.685235312064148,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.3666385887958312,1.0096712669530354,-0.6111368425997608,3.374811578308336,2016-12-11T00:00:00Z,0.399202048988361,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.3343392712564164,1.0125087462268183,-0.6601438769988501,3.2942472007670975,2016-12-12T00:00:00Z,0.450831021651176,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.5417294566297843,1.0224137342117967,-0.4497762182845785,3.582300923561475,2016-12-13T00:00:00Z,0.653991463731387,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.4807384300862656,1.018607548020824,-0.5211789631175014,3.487985950923151,2016-12-14T00:00:00Z,0.589519727153451,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.5934983079488205,0.993392471783417,-0.44465910475596127,3.557000483087758,2016-12-15T00:00:00Z,0.403866696016504,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.323181456039227,1.0104834375193432,-0.6557049862732744,3.3228197548412135,2016-12-16T00:00:00Z,0.269401760261086,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.2855210921685487,1.0109087736998028,-0.6962828995258781,3.2890638447665723,2016-12-17T00:00:00Z,0.316764261250687,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.5043597853639954,1.0034922266243524,-0.4608366345385593,3.503813790394624,2016-12-18T00:00:00Z,0.503715978970523,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.5679934123839985,1.0073639760150463,-0.39242195234378935,3.5671953280377626,2016-12-19T00:00:00Z,0.391838911292807,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.5260406866072282,1.0084983457394805,-0.4444782750667157,3.5127629604340105,2016-12-20T00:00:00Z,0.364620582783133,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.5084318384745619,1.002716643660843,-0.4716082949058427,3.4756625898069533,2016-12-21T00:00:00Z,0.584347525364993,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.5691857047988567,1.0078123424111474,-0.4646865783502693,3.556169977621748,2016-12-22T00:00:00Z,0.523494209635502,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.4993093066067718,1.0111964865891758,-0.5233190347804201,3.4641504333270756,2016-12-23T00:00:00Z,0.590600885709447,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.5622819405651829,1.0058149512361112,-0.4416458617460602,3.525836066097809,2016-12-24T00:00:00Z,0.352856725125781,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.5614901839733792,1.0184738434431346,-0.40413705679106865,3.6029440047173877,2016-12-25T00:00:00Z,0.638796268228445,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.3859863260779466,1.021170649394817,-0.627298484985081,3.4122268128674382,2016-12-26T00:00:00Z,0.382867072316656,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,0.8905740057811241,1.0156609646240031,-1.1422848914965895,2.893543066880199,2016-12-27T00:00:00Z,0.0373816518772108,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.1264083823917244,1.0074333727092382,-0.8160288580249107,3.115614189033187,2016-12-28T00:00:00Z,0.380477405644794,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.254630537695875,1.0113561840813676,-0.7517322540010607,3.186087127988034,2016-12-29T00:00:00Z,0.0899376035704571,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.338738354231359,1.0048453296284583,-0.6588950566442617,3.3123227273722167,2016-12-30T00:00:00Z,0.459958607719185,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,NA,NA,NA,NA,2016-12-31T00:00:00Z,NA,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.0109898207266363,0.6200994266940538,-0.18251574945795174,2.2625999687179075,2016-11-30T00:00:00Z,0.0210691950931066,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,0.9691800957294532,0.7830937601290429,-0.5955517628603391,2.522367274816766,2016-12-01T00:00:00Z,0.378646182477892,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.1039173810022322,0.8688620751598359,-0.600533733803983,2.8477338750105736,2016-12-02T00:00:00Z,0.704274591016821,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.205041906666696,0.9257749722471853,-0.6066128322760308,3.031150200348581,2016-12-03T00:00:00Z,0.465486802605711,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.2838690812637767,0.9599739579455269,-0.6382991024410495,3.19396901357037,2016-12-04T00:00:00Z,0.399462914168786,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.497729588957089,0.9719697443217536,-0.39981321554442606,3.3887351665749446,2016-12-05T00:00:00Z,0.707736309903312,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.4455022936718254,0.9930067309935233,-0.5115556275423617,3.39294411014946,2016-12-06T00:00:00Z,0.676981656015052,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.4347686672823616,1.00534385939598,-0.53968373870448,3.429479522614951,2016-12-07T00:00:00Z,0.651421657701972,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.2736050296161516,1.0201012843516937,-0.7441573017988359,3.2548985052829775,2016-12-08T00:00:00Z,0.452620201394598,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.3041911537537714,1.0140608770550246,-0.709680910709164,3.2724628119043904,2016-12-09T00:00:00Z,0.713630219522972,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.3937170037400488,1.0077414539500338,-0.6270130641817263,3.354660247725786,2016-12-10T00:00:00Z,0.685235312064148,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.3643918765004972,1.015036752827456,-0.636353313632956,3.3858894750577324,2016-12-11T00:00:00Z,0.399202048988361,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.3251356967221164,1.0007237963956566,-0.6617494911605426,3.3136798365409206,2016-12-12T00:00:00Z,0.450831021651176,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.5446796828108702,1.017726755668701,-0.4711460832665797,3.5513428122706805,2016-12-13T00:00:00Z,0.653991463731387,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.4857004408151984,1.0373336108146065,-0.5533785276581925,3.5528358661816415,2016-12-14T00:00:00Z,0.589519727153451,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.5857286702342432,1.0278809808758438,-0.4734328661442559,3.5998136202098037,2016-12-15T00:00:00Z,0.403866696016504,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.301208354690964,1.0138112731005302,-0.7294331155453456,3.281576784886259,2016-12-16T00:00:00Z,0.269401760261086,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.283787525868333,1.0279374118713112,-0.7178360030800759,3.2706187674765506,2016-12-17T00:00:00Z,0.316764261250687,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.5086872873997443,1.0153697300406446,-0.4939075169983723,3.4896565698783557,2016-12-18T00:00:00Z,0.503715978970523,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.5520067423697352,1.0272555125248104,-0.4660290126733419,3.596942360492063,2016-12-19T00:00:00Z,0.391838911292807,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.5428057840933167,1.022988642797285,-0.4768461760837679,3.582611399695419,2016-12-20T00:00:00Z,0.364620582783133,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.4951942737553021,1.0296182553742397,-0.5371333858521015,3.4931647522076608,2016-12-21T00:00:00Z,0.584347525364993,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.5692329353625474,1.0262516106810706,-0.5015949251083901,3.6012470052497134,2016-12-22T00:00:00Z,0.523494209635502,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.5166781054732266,1.0286151578765266,-0.5097133241350214,3.527822366747327,2016-12-23T00:00:00Z,0.590600885709447,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.563345387410217,1.0260519420623087,-0.43999561501325046,3.576811456021089,2016-12-24T00:00:00Z,0.352856725125781,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.5579608738036226,1.0175013321048316,-0.4304735133196164,3.5028366796820576,2016-12-25T00:00:00Z,0.638796268228445,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.3966678051527694,1.0142093549801643,-0.6437290079976633,3.3741373998598503,2016-12-26T00:00:00Z,0.382867072316656,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,0.9455914696760894,1.0103796724278822,-1.063172375729946,2.984122598809772,2016-12-27T00:00:00Z,0.0373816518772108,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.1446776944895911,1.022570987241136,-0.9063248373447866,3.1216657614675727,2016-12-28T00:00:00Z,0.380477405644794,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.2502224854706265,1.0090314497818165,-0.733237643477645,3.1738848789522525,2016-12-29T00:00:00Z,0.0899376035704571,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,1.3330907120227324,1.028717556086011,-0.6680926904127283,3.3040903489624127,2016-12-30T00:00:00Z,0.459958607719185,MAR,brms,10
propMissAct_0.05_autoCorr_0.72,NA,NA,NA,NA,2016-12-31T00:00:00Z,NA,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,0.8573040420573254,0.6734669366706434,-0.4625198703364487,2.1720442409320317,2016-11-30T00:00:00Z,0.0210691950931066,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,0.8369737538479955,0.7751383401974389,-0.6797665191293691,2.3583619917451166,2016-12-01T00:00:00Z,0.378646182477892,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,0.9753988052539653,0.8175093880576119,-0.6000753986662585,2.609959033596642,2016-12-02T00:00:00Z,0.704274591016821,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.1391877156187364,0.8349929713558583,-0.4554094583544442,2.8007604701235853,2016-12-03T00:00:00Z,0.465486802605711,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.2169759473727724,0.8514551010786944,-0.43753558485306215,2.9025228294970966,2016-12-04T00:00:00Z,0.399462914168786,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.4833069456212353,0.8547884123034581,-0.20784939967444607,3.1728497060922085,2016-12-05T00:00:00Z,0.707736309903312,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.4349727855672114,0.8609859977855817,-0.2383201141643606,3.152045547939731,2016-12-06T00:00:00Z,0.676981656015052,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.4231997185258984,0.8494523419376613,-0.23747990749526351,3.0906492946722275,2016-12-07T00:00:00Z,0.651421657701972,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.2182419062800582,0.8498697155167909,-0.4304244879054506,2.8691258379449804,2016-12-08T00:00:00Z,0.452620201394598,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.2798573652263214,0.8597385346492591,-0.3934990365168265,2.9936462540782407,2016-12-09T00:00:00Z,0.713630219522972,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.3743633610332633,0.8546852424973601,-0.2870540548848549,3.032896982362003,2016-12-10T00:00:00Z,0.685235312064148,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.3235820698902454,0.8608063701191292,-0.38366230311252447,3.0365038597431036,2016-12-11T00:00:00Z,0.399202048988361,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.2993276092855932,0.8612649754065507,-0.38588779510203813,3.025855383816502,2016-12-12T00:00:00Z,0.450831021651176,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.5578440386816477,0.8569700837730083,-0.10969126671926566,3.2753746958443215,2016-12-13T00:00:00Z,0.653991463731387,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.4825163198371984,0.8591949577721366,-0.17582504953253014,3.1961602206748285,2016-12-14T00:00:00Z,0.589519727153451,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.6248745412393122,0.8529673261447266,-0.0675448087236787,3.3114863269563783,2016-12-15T00:00:00Z,0.403866696016504,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.2694886870018307,0.8566967612258335,-0.389100826056297,2.996551127204092,2016-12-16T00:00:00Z,0.269401760261086,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.2296845710326025,0.8646827337929837,-0.42583563822337034,2.944115585705787,2016-12-17T00:00:00Z,0.316764261250687,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.509925306852463,0.8688304633358324,-0.20312979291314232,3.2259047240039815,2016-12-18T00:00:00Z,0.503715978970523,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.594934508201024,0.8687905764480887,-0.10865409882738325,3.3045510598940853,2016-12-19T00:00:00Z,0.391838911292807,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.5482052388512475,0.858040197001349,-0.12096961761571785,3.262650749740308,2016-12-20T00:00:00Z,0.364620582783133,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.511593778470456,0.8571228202782066,-0.1734770606831276,3.2094884865221305,2016-12-21T00:00:00Z,0.584347525364993,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.5877864549616272,0.853877065866432,-0.0939351047309916,3.286384008285095,2016-12-22T00:00:00Z,0.523494209635502,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.517777922373578,0.8509738035809821,-0.17599770503953302,3.1890604557293845,2016-12-23T00:00:00Z,0.590600885709447,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.580327405218853,0.8572915162902216,-0.11792057453889399,3.252658986903325,2016-12-24T00:00:00Z,0.352856725125781,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.573830001761875,0.8620931885482428,-0.11319218610462115,3.2677254086400738,2016-12-25T00:00:00Z,0.638796268228445,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.3525718518831373,0.8591688953330721,-0.3371135844484241,3.0555461326959437,2016-12-26T00:00:00Z,0.382867072316656,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,0.77609424884996,0.859759139560219,-0.8987772593065382,2.467935863322617,2016-12-27T00:00:00Z,0.0373816518772108,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.0364612667830404,0.8640470708149414,-0.6635574370947036,2.778444948873575,2016-12-28T00:00:00Z,0.380477405644794,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.175772307410583,0.8612284511598489,-0.4559393198656371,2.898214420953585,2016-12-29T00:00:00Z,0.0899376035704571,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,1.2687836141256867,0.8508532393063837,-0.3864149397627369,2.9578755929171603,2016-12-30T00:00:00Z,0.459958607719185,MAR,brms,10
propMissAct_0.35_autoCorr_0.94,NA,NA,NA,NA,2016-12-31T00:00:00Z,NA,MAR,brms,10
