missingprop_autocor,Estimate,Est.Error,Q2.5,Q97.5,date,GPP,missingness,type,run_no
y,0.9593958220318632,0.6334633706104418,-0.2829347034651841,2.2092767376686258,2016-11-30T00:00:00Z,0.0210691950931066,MAR,brms,10
y,0.9535908062284651,0.7961382224601588,-0.5993968354019418,2.4992807360976657,2016-12-01T00:00:00Z,0.378646182477892,MAR,brms,10
y,1.090183498719226,0.8756555095617794,-0.6429196171731512,2.78943784535888,2016-12-02T00:00:00Z,0.704274591016821,MAR,brms,10
y,1.2143371912335976,0.9159821154423842,-0.5784864465581983,3.026464446541953,2016-12-03T00:00:00Z,0.465486802605711,MAR,brms,10
y,1.2658922363865792,0.9434678014689015,-0.5643804733247324,3.109922840515585,2016-12-04T00:00:00Z,0.399462914168786,MAR,brms,10
y,1.5018439479069947,0.9755277698557736,-0.41004179001283886,3.405850816442326,2016-12-05T00:00:00Z,0.707736309903312,MAR,brms,10
y,1.4545470702241878,0.9741272681811813,-0.45793677128956933,3.3829240433303704,2016-12-06T00:00:00Z,0.676981656015052,MAR,brms,10
y,1.4523798902607856,0.9949456849223084,-0.522294899650652,3.38112711990898,2016-12-07T00:00:00Z,0.651421657701972,MAR,brms,10
y,1.2880181859431339,0.9944149506265578,-0.6715904409913976,3.1958694499348295,2016-12-08T00:00:00Z,0.452620201394598,MAR,brms,10
y,1.325995737358573,1.006704531690258,-0.6911588337040911,3.259987443866134,2016-12-09T00:00:00Z,0.713630219522972,MAR,brms,10
y,1.38951590707527,1.0009399401725085,-0.5787962950801148,3.356141932525007,2016-12-10T00:00:00Z,0.685235312064148,MAR,brms,10
y,1.3719789511564269,0.9947260002209116,-0.5976676012471601,3.3493543131532872,2016-12-11T00:00:00Z,0.399202048988361,MAR,brms,10
y,1.3554817989539094,0.9990848264424459,-0.6241136270140397,3.3113594023201114,2016-12-12T00:00:00Z,0.450831021651176,MAR,brms,10
y,1.5566314183146501,1.0033795786475248,-0.4146373670401214,3.508540334224153,2016-12-13T00:00:00Z,0.653991463731387,MAR,brms,10
y,1.4841671390975049,1.0063380959317023,-0.4700972170234382,3.44866142948496,2016-12-14T00:00:00Z,0.589519727153451,MAR,brms,10
y,1.6013851174286542,0.9930419086921121,-0.31806785347681343,3.531332397324297,2016-12-15T00:00:00Z,0.403866696016504,MAR,brms,10
y,1.3135993811236064,0.9871872350352224,-0.6197583658735885,3.241884468866987,2016-12-16T00:00:00Z,0.269401760261086,MAR,brms,10
y,1.2774197004998846,0.9842237862259386,-0.6341400786879218,3.2019858163130066,2016-12-17T00:00:00Z,0.316764261250687,MAR,brms,10
y,1.5178530530703518,0.9985461550817011,-0.43984512691707667,3.444782221270974,2016-12-18T00:00:00Z,0.503715978970523,MAR,brms,10
y,1.5792059063271005,1.002002327812273,-0.3786900628479216,3.54516542899431,2016-12-19T00:00:00Z,0.391838911292807,MAR,brms,10
y,1.5481229015609212,0.9877632600430383,-0.3493630856613476,3.4998105245550692,2016-12-20T00:00:00Z,0.364620582783133,MAR,brms,10
y,1.515420229602493,0.9847716184467113,-0.3951338828696724,3.4811549501769594,2016-12-21T00:00:00Z,0.584347525364993,MAR,brms,10
y,1.5862793098668546,0.9910604727199382,-0.3817255519473302,3.5683988518099685,2016-12-22T00:00:00Z,0.523494209635502,MAR,brms,10
y,1.5359138763771814,0.9850238720851806,-0.377731801706716,3.4568194691693885,2016-12-23T00:00:00Z,0.590600885709447,MAR,brms,10
y,1.5740049417013282,0.9944834676493032,-0.3776285944508651,3.5642471935606235,2016-12-24T00:00:00Z,0.352856725125781,MAR,brms,10
y,1.5685961169586873,0.9993626932397001,-0.40560946965054534,3.521772009425037,2016-12-25T00:00:00Z,0.638796268228445,MAR,brms,10
y,1.400095364596879,1.0052856060641056,-0.5740076335458764,3.393459800874499,2016-12-26T00:00:00Z,0.382867072316656,MAR,brms,10
y,0.8949319455446739,1.0030599336146926,-1.0902291928779133,2.863982403978219,2016-12-27T00:00:00Z,0.0373816518772108,MAR,brms,10
y,1.107090746709947,0.9949049077479791,-0.8277191926516992,3.07682376400921,2016-12-28T00:00:00Z,0.380477405644794,MAR,brms,10
y,1.2353275238516728,0.9936319521970514,-0.7403664804772359,3.171669597130508,2016-12-29T00:00:00Z,0.0899376035704571,MAR,brms,10
y,1.3163597112454173,1.0057485814153835,-0.6854419712889936,3.29083687766045,2016-12-30T00:00:00Z,0.459958607719185,MAR,brms,10
y,NA,NA,NA,NA,2016-12-31T00:00:00Z,NA,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,0.979440345497795,0.6368368422024195,-0.25025203177063404,2.2117603741348737,2016-11-30T00:00:00Z,0.0210691950931066,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,0.9619740045587901,0.7815585723806541,-0.5405090311417894,2.5132338064439095,2016-12-01T00:00:00Z,0.378646182477892,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.0791353316094554,0.8596045097390214,-0.5885959658905012,2.789961963305195,2016-12-02T00:00:00Z,0.704274591016821,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.1934423316918004,0.9129196072908368,-0.604070993557096,3.0159453396890155,2016-12-03T00:00:00Z,0.465486802605711,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.2688841846369068,0.9444153737337018,-0.6131974207143028,3.122459152715064,2016-12-04T00:00:00Z,0.399462914168786,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.49631906319361,0.9635193879467645,-0.38680102646211784,3.4141273747639698,2016-12-05T00:00:00Z,0.707736309903312,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.4490775160931917,0.963350659987272,-0.4563804399283889,3.332983032757609,2016-12-06T00:00:00Z,0.676981656015052,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.4501282334522594,0.9918413984572235,-0.4595627760295084,3.4417330130624237,2016-12-07T00:00:00Z,0.651421657701972,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.2765170749374555,0.9928652724875663,-0.6486995558792924,3.2383609919243654,2016-12-08T00:00:00Z,0.452620201394598,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.3363138710095321,0.9897145608891619,-0.6034946953916182,3.281710351004037,2016-12-09T00:00:00Z,0.713630219522972,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.40923411613705,0.9937494372446259,-0.5963226633585114,3.3602384449820804,2016-12-10T00:00:00Z,0.685235312064148,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.393130125055197,0.9936716928973508,-0.5525330325814882,3.325834437487254,2016-12-11T00:00:00Z,0.399202048988361,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.3664603029552205,0.9938303342927713,-0.5894590326918571,3.2850539470955455,2016-12-12T00:00:00Z,0.450831021651176,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.5610438346755489,0.9994207855884395,-0.4485794088297545,3.489634817525857,2016-12-13T00:00:00Z,0.653991463731387,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.4968113219224044,1.00850857055708,-0.49572802727791115,3.459146426195983,2016-12-14T00:00:00Z,0.589519727153451,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.605229874318478,0.9970425371679432,-0.3819868378378453,3.5376125159847924,2016-12-15T00:00:00Z,0.403866696016504,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.3201288039799233,1.0116196822325778,-0.6427609615725689,3.3171659132223232,2016-12-16T00:00:00Z,0.269401760261086,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.3005703631067713,1.008820303151774,-0.663701919997053,3.2613763818622545,2016-12-17T00:00:00Z,0.316764261250687,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.5224963068776407,1.0159149408076498,-0.48855864048383496,3.534101357514993,2016-12-18T00:00:00Z,0.503715978970523,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.5901988007506285,1.0000637030140112,-0.3951181215859311,3.535028889824086,2016-12-19T00:00:00Z,0.391838911292807,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.5567572851888365,1.0147247658328946,-0.4487645995808302,3.560130658048206,2016-12-20T00:00:00Z,0.364620582783133,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.5301764475622908,1.0014553912975628,-0.4406322421901072,3.4999902208702967,2016-12-21T00:00:00Z,0.584347525364993,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.6033822775617779,1.0002915885577055,-0.3332185734534011,3.5880854859890556,2016-12-22T00:00:00Z,0.523494209635502,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.5373742875371446,1.0120704310555761,-0.49747651302980245,3.502826373312,2016-12-23T00:00:00Z,0.590600885709447,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.5625751914422088,0.9961499665265566,-0.4049786951317819,3.507204260892911,2016-12-24T00:00:00Z,0.352856725125781,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.5585049958083987,1.0000816092691645,-0.3829297323801338,3.545793254001796,2016-12-25T00:00:00Z,0.638796268228445,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.3847038406625416,0.997853128310337,-0.5634178508781924,3.359217783253108,2016-12-26T00:00:00Z,0.382867072316656,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,0.9038960446308593,0.9937334147395642,-1.0402257133719464,2.8674180034240364,2016-12-27T00:00:00Z,0.0373816518772108,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.1209718183904245,1.0006555736435438,-0.8877354467210049,3.098658971041993,2016-12-28T00:00:00Z,0.380477405644794,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.2426767292373626,0.9990790600544136,-0.742973487720583,3.1887360857069496,2016-12-29T00:00:00Z,0.0899376035704571,MAR,brms,10
propMissAct_0.02_autoCorr_0.66,1.3250416376364282,1.0084495727601501,-0.6605666166812828,3.308259723897238,2016-12-30T00:00:00Z,0.459958607719185,MAR,brms,10
