"CurSim","missingprop_autocor","parameters","param_value","param_se","missingness","type","run_no"
106,"propMissAct_0.21_autoCorr_0.27","ar1",0.427570097197901,0.0422223602560024,"MAR","dropNA_simple",106
106,"propMissAct_0.21_autoCorr_0.27","intercept",4.80620812421475,0.602020200009028,"MAR","dropNA_simple",106
106,"propMissAct_0.21_autoCorr_0.27","xreg1",1.70765230462097,0.161266414094431,"MAR","dropNA_simple",106
106,"propMissAct_0.21_autoCorr_0.27","xreg2",-1.50607333541942,0.170247828439506,"MAR","dropNA_simple",106
106,"propMissAct_0.21_autoCorr_0.27","sigma",0.478513200042325,NA,"MAR","dropNA_simple",106
106,"propMissAct_0.39_autoCorr_0.21","ar1",0.334936186178483,0.0492805612194271,"MAR","dropNA_simple",106
106,"propMissAct_0.39_autoCorr_0.21","intercept",5.3402157606916,0.64190987873296,"MAR","dropNA_simple",106
106,"propMissAct_0.39_autoCorr_0.21","xreg1",1.77560028569183,0.186123663247523,"MAR","dropNA_simple",106
106,"propMissAct_0.39_autoCorr_0.21","xreg2",-1.66816677861697,0.181762037694484,"MAR","dropNA_simple",106
106,"propMissAct_0.39_autoCorr_0.21","sigma",0.577426785126624,NA,"MAR","dropNA_simple",106
106,"propMissAct_0.61_autoCorr_0.3","ar1",0.320672960545021,0.0620475584597027,"MAR","dropNA_simple",106
106,"propMissAct_0.61_autoCorr_0.3","intercept",4.52711634981491,0.780494849351402,"MAR","dropNA_simple",106
106,"propMissAct_0.61_autoCorr_0.3","xreg1",1.5949548512807,0.247393439679334,"MAR","dropNA_simple",106
106,"propMissAct_0.61_autoCorr_0.3","xreg2",-1.38727822791075,0.220424030954152,"MAR","dropNA_simple",106
106,"propMissAct_0.61_autoCorr_0.3","sigma",0.694752934711928,NA,"MAR","dropNA_simple",106
106,"propMissAct_0.21_autoCorr_0.27","ar1",0.422692757548674,0.0462472616909676,"MAR","dropNA_complete",106
106,"propMissAct_0.21_autoCorr_0.27","intercept",4.76963218087203,0.675849966436668,"MAR","dropNA_complete",106
106,"propMissAct_0.21_autoCorr_0.27","xreg1",1.6786916389669,0.175093565574285,"MAR","dropNA_complete",106
106,"propMissAct_0.21_autoCorr_0.27","xreg2",-1.49620266153046,0.191400164741172,"MAR","dropNA_complete",106
106,"propMissAct_0.21_autoCorr_0.27","sigma",0.483361046772239,NA,"MAR","dropNA_complete",106
106,"propMissAct_0.39_autoCorr_0.21","ar1",0.338576744738363,0.0667123254905518,"MAR","dropNA_complete",106
106,"propMissAct_0.39_autoCorr_0.21","intercept",5.03719064183417,0.724860548722055,"MAR","dropNA_complete",106
106,"propMissAct_0.39_autoCorr_0.21","xreg1",1.73592001465271,0.214116831864089,"MAR","dropNA_complete",106
106,"propMissAct_0.39_autoCorr_0.21","xreg2",-1.56396680921503,0.208971944749059,"MAR","dropNA_complete",106
106,"propMissAct_0.39_autoCorr_0.21","sigma",0.423190172336695,NA,"MAR","dropNA_complete",106
106,"propMissAct_0.61_autoCorr_0.3","ar1",0.296307933481079,0.0795468617422775,"MAR","dropNA_complete",106
106,"propMissAct_0.61_autoCorr_0.3","intercept",4.02684113608732,0.883740450022639,"MAR","dropNA_complete",106
106,"propMissAct_0.61_autoCorr_0.3","xreg1",1.87746025942005,0.295560636741856,"MAR","dropNA_complete",106
106,"propMissAct_0.61_autoCorr_0.3","xreg2",-1.2719168335674,0.247894447591666,"MAR","dropNA_complete",106
106,"propMissAct_0.61_autoCorr_0.3","sigma",0.615625634098143,NA,"MAR","dropNA_complete",106
106,"propMissAct_0.21_autoCorr_0.27","ar1",0.456698049319273,0.0422072537573083,"MAR","Kalman Filter",106
106,"propMissAct_0.21_autoCorr_0.27","intercept",4.93509293166484,0.578188072312191,"MAR","Kalman Filter",106
106,"propMissAct_0.21_autoCorr_0.27","xreg1",1.74788310517344,0.157159566777618,"MAR","Kalman Filter",106
106,"propMissAct_0.21_autoCorr_0.27","xreg2",-1.54509672668891,0.163411714533934,"MAR","Kalman Filter",106
106,"propMissAct_0.21_autoCorr_0.27","sigma",0.462303596625258,NA,"MAR","Kalman Filter",106
106,"propMissAct_0.39_autoCorr_0.21","ar1",0.512457412962667,0.0496833262058683,"MAR","Kalman Filter",106
106,"propMissAct_0.39_autoCorr_0.21","intercept",4.97524125544865,0.692550310378534,"MAR","Kalman Filter",106
106,"propMissAct_0.39_autoCorr_0.21","xreg1",1.67712314017142,0.194742505447046,"MAR","Kalman Filter",106
106,"propMissAct_0.39_autoCorr_0.21","xreg2",-1.55630466180089,0.196293143571227,"MAR","Kalman Filter",106
106,"propMissAct_0.39_autoCorr_0.21","sigma",0.510538204377191,NA,"MAR","Kalman Filter",106
106,"propMissAct_0.61_autoCorr_0.3","ar1",0.38351301744975,0.0758122660105931,"MAR","Kalman Filter",106
106,"propMissAct_0.61_autoCorr_0.3","intercept",4.73636713588097,0.751930040468348,"MAR","Kalman Filter",106
106,"propMissAct_0.61_autoCorr_0.3","xreg1",1.71677344447883,0.22559927983306,"MAR","Kalman Filter",106
106,"propMissAct_0.61_autoCorr_0.3","xreg2",-1.46710241514796,0.211466428085948,"MAR","Kalman Filter",106
106,"propMissAct_0.61_autoCorr_0.3","sigma",0.665278572321137,NA,"MAR","Kalman Filter",106
106,"propMissAct_0.21_autoCorr_0.27","intercept",0.357713725194695,0.0394018301729766,"MAR","Multiple Imputations",106
106,"propMissAct_0.21_autoCorr_0.27","xreg1",5.4451920077581,0.573202450900411,"MAR","Multiple Imputations",106
106,"propMissAct_0.21_autoCorr_0.27","xreg2",1.85390588556285,0.143491333361143,"MAR","Multiple Imputations",106
106,"propMissAct_0.21_autoCorr_0.27","phi",-1.70684479233802,0.159814722859314,"MAR","Multiple Imputations",106
106,"propMissAct_0.21_autoCorr_0.27","sigma",0.504021550526698,NA,"MAR","Multiple Imputations",106
106,"propMissAct_0.39_autoCorr_0.21","intercept",0.321814598421109,0.0533889701290568,"MAR","Multiple Imputations",106
106,"propMissAct_0.39_autoCorr_0.21","xreg1",5.38897948740066,0.702203733143769,"MAR","Multiple Imputations",106
106,"propMissAct_0.39_autoCorr_0.21","xreg2",1.86648204469529,0.231980155917651,"MAR","Multiple Imputations",106
106,"propMissAct_0.39_autoCorr_0.21","phi",-1.697744811098,0.206634891803004,"MAR","Multiple Imputations",106
106,"propMissAct_0.39_autoCorr_0.21","sigma",0.660658232473431,NA,"MAR","Multiple Imputations",106
106,"propMissAct_0.61_autoCorr_0.3","intercept",0.136689526020054,0.0521458275321633,"MAR","Multiple Imputations",106
106,"propMissAct_0.61_autoCorr_0.3","xreg1",5.67446359424533,0.808273681613864,"MAR","Multiple Imputations",106
106,"propMissAct_0.61_autoCorr_0.3","xreg2",1.69085920295102,0.211898389663619,"MAR","Multiple Imputations",106
106,"propMissAct_0.61_autoCorr_0.3","phi",-1.72779550743667,0.214213784077629,"MAR","Multiple Imputations",106
106,"propMissAct_0.61_autoCorr_0.3","sigma",0.769640485628716,NA,"MAR","Multiple Imputations",106
