missingprop_autocor,Estimate,Est.Error,Q2.5,Q97.5,date,GPP,missingness,type,run_no
propMissAct_0.21_autoCorr_0.75,0.003139642360422898,0.6366826930352791,-1.2436806409415144,1.2478611578377476,2013-12-31T00:00:00Z,-0.6527207780258462,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,0.3671455832557706,0.6463898008366201,-0.9164534961992793,1.63065119340423,2014-01-01T00:00:00Z,-0.8727313138081563,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,0.21947701237578887,0.6495035077189246,-1.0608509128104144,1.4835982873574338,2014-01-02T00:00:00Z,-0.997448953547836,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,0.20036581787552485,0.6575034751776943,-1.0934875705243785,1.4964240535210278,2014-01-03T00:00:00Z,-0.9123565532483736,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,0.17996291463532382,0.6591141361496903,-1.12848925327497,1.4934937559960393,2014-01-04T00:00:00Z,-0.3616596898638746,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,-0.3818310268540979,0.6580494538316197,-1.6690351390318532,0.912483421260174,2014-01-05T00:00:00Z,-3.302246029167979,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,-0.7071996465243261,0.6537663081274652,-1.9787466099170006,0.5586859937580023,2014-01-06T00:00:00Z,-0.86609053874533,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,0.12367592240520635,0.6519520157775431,-1.154521402454415,1.4155894751969644,2014-01-07T00:00:00Z,-0.9983829539508916,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,0.5366007078731142,0.6499760316323304,-0.7448986718363347,1.8192098043872076,2014-01-08T00:00:00Z,-0.6019689923534888,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,0.012959050214891583,0.6480150558914679,-1.2624293048237403,1.273224340117678,2014-01-09T00:00:00Z,-1.191266078598353,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,-0.2588939918204904,0.650449327412611,-1.5306496047602889,1.0290455766992415,2014-01-10T00:00:00Z,NA,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,-0.7196514032375417,0.6575851284310391,-2.0077404375756247,0.5448803960038936,2014-01-11T00:00:00Z,-1.1347333379405111,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,-0.515904452523341,0.6588312651044271,-1.8172317234446564,0.7783978843491983,2014-01-12T00:00:00Z,-1.7675445093418511,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,-0.569329171827121,0.6515961923417899,-1.8321571130968586,0.7029736549501364,2014-01-13T00:00:00Z,-1.9119688214503865,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,-0.500728566937408,0.6574054130781468,-1.7941697686124911,0.7988872965968946,2014-01-14T00:00:00Z,-0.9170628234403512,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,-0.4903094220338317,0.6584016267916087,-1.7394978138470854,0.8200162246985473,2014-01-15T00:00:00Z,-1.0014252217898034,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,-0.3462325169612158,0.6505090785648541,-1.6299786564862857,0.9224421243824389,2014-01-16T00:00:00Z,-3.174940954929717,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,-0.4264921777354026,0.6530227938888772,-1.6963286346074569,0.8689593839530753,2014-01-17T00:00:00Z,-1.290529229294103,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,-0.35803126966758103,0.6469911593591265,-1.6463560953356065,0.9249265688010684,2014-01-18T00:00:00Z,-0.7628452653477644,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,-0.4215171499290769,0.6569392962682997,-1.7238557970603177,0.8671673452937048,2014-01-19T00:00:00Z,-1.2016932001648797,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,-0.3786699658572817,0.6580290459030803,-1.674510191452393,0.9196886114212478,2014-01-20T00:00:00Z,-1.2241431279305734,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,0.2822932271919428,0.6477231585182078,-0.9855880640575567,1.5640253303735103,2014-01-21T00:00:00Z,-0.8554972594008597,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,0.7888753683475194,0.6500729806253787,-0.483759771805122,2.056978588066037,2014-01-22T00:00:00Z,-0.341929286950213,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,0.21906555417605134,0.6532604783547441,-1.067903582871799,1.4962257666044696,2014-01-23T00:00:00Z,-2.087499256902139,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,0.06617877592398078,0.6464021377408457,-1.2092420284079297,1.3455045892357902,2014-01-24T00:00:00Z,-1.081975505966163,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,-0.12988491506702507,0.6468354270692098,-1.4118379688800713,1.1005120646158217,2014-01-25T00:00:00Z,-1.654491324424658,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,-0.2980773832849195,0.6509529094274535,-1.5575261791956654,0.9713642645593524,2014-01-26T00:00:00Z,-1.4574538118164022,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,-0.06233522464539141,0.6416845402725219,-1.350393542104973,1.1698874057185957,2014-01-27T00:00:00Z,NA,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,0.12496990718922607,0.6450738227335712,-1.1253251741166068,1.3936037937309718,2014-01-28T00:00:00Z,NA,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,0.25125489635551385,0.6532532029802187,-1.0585162887610469,1.531832469307301,2014-01-29T00:00:00Z,-0.9555811396258306,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,0.018470409989995294,0.6535772887861452,-1.281069159470127,1.2912558844441209,2014-01-30T00:00:00Z,-0.920195703683634,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,0.12729264515935476,0.653078971395349,-1.1718792217197171,1.4252033687447219,2014-01-31T00:00:00Z,-0.6720761118358493,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,-0.1226950605886011,0.6544966578142342,-1.4131277035831444,1.1439713565771121,2014-02-01T00:00:00Z,-1.210548819806026,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,-0.042476955887101056,0.6485803498540414,-1.3167612780943645,1.2385364543618202,2014-02-02T00:00:00Z,-1.0831006234676563,MAR,brms,144
propMissAct_0.21_autoCorr_0.75,0.13757893423199266,0.6467606867309288,-1.133064788418083,1.4032444589424646,2014-02-03T00:00:00Z,NA,MAR,brms,144
