missingprop_autocor,parameter,mean,sd,2.5%,50%,97.5%,missingness,type,run_no
propMissAct_0.23_autoCorr_0.26,b_Intercept,5.915181364362461,0.6074877482041521,4.683360434690237,5.923533699660136,7.077608376665513,MAR,brms,1
propMissAct_0.23_autoCorr_0.26,b_light,1.9120937994672282,0.15710916024155192,1.6005885709032261,1.9150076247394285,2.2148632496600578,MAR,brms,1
propMissAct_0.23_autoCorr_0.26,b_Q,-1.8218328968984945,0.17331127092921123,-2.1533086752150226,-1.82293762403169,-1.4713737284036057,MAR,brms,1
propMissAct_0.23_autoCorr_0.26,phi,0.24117507961288182,0.06927895588283998,0.10269364871846216,0.24256655470454375,0.37466734008381203,MAR,brms,1
propMissAct_0.23_autoCorr_0.26,sigma,0.6386609287879297,0.02633424158528355,0.5897348597658454,0.6379352499207314,0.6926760068918659,MAR,brms,1
propMissAct_0.23_autoCorr_0.26,Intercept,0.41197713206950887,0.046831534720834435,0.3205113400159542,0.4115943865580014,0.5040474985890652,MAR,brms,1
propMissAct_0.44_autoCorr_0.28,b_Intercept,6.060458966430099,0.7083941740840078,4.668389755186827,6.07029903451866,7.4226826227081295,MAR,brms,1
propMissAct_0.44_autoCorr_0.28,b_light,1.8923888667719087,0.15849082790729996,1.577263277813598,1.8938941064987511,2.197309857593823,MAR,brms,1
propMissAct_0.44_autoCorr_0.28,b_Q,-1.858561010904531,0.2011424083398087,-2.244177059978654,-1.8618468105922164,-1.4653948358988018,MAR,brms,1
propMissAct_0.44_autoCorr_0.28,phi,0.2877801917116031,0.07540355878580646,0.1375573585709939,0.2879024395906656,0.4341335954829613,MAR,brms,1
propMissAct_0.44_autoCorr_0.28,sigma,0.5720428539879207,0.027544057521797317,0.5208482348891674,0.5713854851578045,0.6282749198215631,MAR,brms,1
propMissAct_0.44_autoCorr_0.28,Intercept,0.4197831461760463,0.05040317015320361,0.3215921461983612,0.41963981132529604,0.5189683664941731,MAR,brms,1
propMissAct_0.58_autoCorr_0.26,b_Intercept,6.119753079958211,0.7480977925848625,4.5765965519899305,6.137616975939634,7.520824467385935,MAR,brms,1
propMissAct_0.58_autoCorr_0.26,b_light,1.772903723396798,0.21850512895975763,1.3286078292455115,1.782557398427425,2.182554269693896,MAR,brms,1
propMissAct_0.58_autoCorr_0.26,b_Q,-1.873781400464484,0.2167794336299882,-2.2746895334136745,-1.8822831322108655,-1.4245288819216877,MAR,brms,1
propMissAct_0.58_autoCorr_0.26,phi,0.3333106833718192,0.11041640071701259,0.11704242743175583,0.333810622398653,0.5521744451278241,MAR,brms,1
propMissAct_0.58_autoCorr_0.26,sigma,0.5801168733122959,0.03448146766041803,0.5184744505863339,0.5780710863846914,0.6533160675879278,MAR,brms,1
propMissAct_0.58_autoCorr_0.26,Intercept,0.37141551604245077,0.06038264093057361,0.2502326598373683,0.3722752883246214,0.4888881678644328,MAR,brms,1
