"missingprop_autocor","missingness","type","param","value","missingnessVersion","SE"
"y","MNAR","Data Deletion","ar1",0.71386138768328,"A",0.0388696210040568
"propMissAct_0.07","MNAR","Data Deletion","ar1",0.605632693693722,"B",0.045192849689695
"propMissAct_0.1","MNAR","Data Deletion","ar1",0.557971561820847,"C",0.0493796786682365
"propMissAct_0.13","MNAR","Data Deletion","ar1",0.535291019761415,"D",0.0509655917043633
"propMissAct_0.2","MNAR","Data Deletion","ar1",0.698596892087236,"E",0.046496322746117
"propMissAct_0.25","MNAR","Data Deletion","ar1",0.685399878343077,"F",0.0494664049156396
"propMissAct_0.35","MNAR","Data Deletion","ar1",0.658772148020678,"G",0.0560764153994548
"propMissAct_0.41","MNAR","Data Deletion","ar1",0.620220532749732,"H",0.0636378996083729
"propMissAct_0.46","MNAR","Data Deletion","ar1",0.501205437243772,"I",0.0747182359792584
"propMissAct_0.51","MNAR","Data Deletion","ar1",0.534596168392238,"J",0.0813809557202098
"propMissAct_0.57","MNAR","Data Deletion","ar1",0.408675577931837,"K",0.0765627138003502
"propMissAct_0.62","MNAR","Data Deletion","ar1",0.476953128528052,"L",0.0804167211687718
"propMissAct_0.66","MNAR","Data Deletion","ar1",0.434773359950544,"M",0.0913359627315629
"propMissAct_0.68","MNAR","Data Deletion","ar1",0.402422085545733,"N",0.094289854727494
"propMissAct_0.72","MNAR","Data Deletion","ar1",0.45927039820648,"O",0.0944623353008789
"propMissAct_0.76","MNAR","Data Deletion","ar1",0.349674323857608,"P",0.102981851370195
"y","MNAR","Data Deletion","intercept",1.99425316906141,"A",0.390468962683593
"propMissAct_0.07","MNAR","Data Deletion","intercept",1.64345785573035,"B",0.317952548607371
"propMissAct_0.1","MNAR","Data Deletion","intercept",1.71791058118819,"C",0.299326012784657
"propMissAct_0.13","MNAR","Data Deletion","intercept",1.68774795007209,"D",0.294797294847726
"propMissAct_0.2","MNAR","Data Deletion","intercept",3.27221546982635,"E",0.361113076558651
"propMissAct_0.25","MNAR","Data Deletion","intercept",3.27999485574376,"F",0.401195896159298
"propMissAct_0.35","MNAR","Data Deletion","intercept",3.07098918935313,"G",0.439472167149622
"propMissAct_0.41","MNAR","Data Deletion","intercept",2.91805121938649,"H",0.424878796148075
"propMissAct_0.46","MNAR","Data Deletion","intercept",2.57508095222647,"I",0.426729765147712
"propMissAct_0.51","MNAR","Data Deletion","intercept",2.86047110951556,"J",0.421265617489133
"propMissAct_0.57","MNAR","Data Deletion","intercept",1.64063124704573,"K",0.356379842631062
"propMissAct_0.62","MNAR","Data Deletion","intercept",1.96871295179658,"L",0.357271886112675
"propMissAct_0.66","MNAR","Data Deletion","intercept",2.32352011437361,"M",0.350220421949152
"propMissAct_0.68","MNAR","Data Deletion","intercept",2.5063747157091,"N",0.343096710745431
"propMissAct_0.72","MNAR","Data Deletion","intercept",3.1707504014962,"O",0.335146391504873
"propMissAct_0.76","MNAR","Data Deletion","intercept",3.59144187934949,"P",0.335023372991333
"y","MNAR","Data Deletion","light",0.0157448269349052,"A",0.00140224189954765
"propMissAct_0.07","MNAR","Data Deletion","light",0.0161531330362964,"B",0.00120736067775277
"propMissAct_0.1","MNAR","Data Deletion","light",0.0151205814983532,"C",0.00117532068207763
"propMissAct_0.13","MNAR","Data Deletion","light",0.0144319161819586,"D",0.00115455193894965
"propMissAct_0.2","MNAR","Data Deletion","light",0.0128387790024955,"E",0.00107571353202773
"propMissAct_0.25","MNAR","Data Deletion","light",0.0116080505732789,"F",0.00106436048483805
"propMissAct_0.35","MNAR","Data Deletion","light",0.0109833853634999,"G",0.00108634023878365
"propMissAct_0.41","MNAR","Data Deletion","light",0.0101289747027873,"H",0.00104419569363706
"propMissAct_0.46","MNAR","Data Deletion","light",0.00920449787513478,"I",0.00103931197652735
"propMissAct_0.51","MNAR","Data Deletion","light",0.0087442508222682,"J",0.00101380185184931
"propMissAct_0.57","MNAR","Data Deletion","light",0.00857934487674188,"K",0.000904066056906118
"propMissAct_0.62","MNAR","Data Deletion","light",0.00793363364546249,"L",0.000943265939640083
"propMissAct_0.66","MNAR","Data Deletion","light",0.00657942524112311,"M",0.000980441936642222
"propMissAct_0.68","MNAR","Data Deletion","light",0.00561783061261785,"N",0.00101491926546187
"propMissAct_0.72","MNAR","Data Deletion","light",0.00362784133652328,"O",0.0010089920988429
"propMissAct_0.76","MNAR","Data Deletion","light",0.00214908713856063,"P",0.0010021324364991
"y","MNAR","Data Deletion","discharge",-1.65637122675401,"A",0.520105533168075
"propMissAct_0.07","MNAR","Data Deletion","discharge",-1.52523107995944,"B",0.48323954992442
"propMissAct_0.1","MNAR","Data Deletion","discharge",-1.48741208132382,"C",0.466336152213012
"propMissAct_0.13","MNAR","Data Deletion","discharge",-1.20140429865227,"D",0.493358146786614
"propMissAct_0.2","MNAR","Data Deletion","discharge",-5.56181644121688,"E",0.771970740179093
"propMissAct_0.25","MNAR","Data Deletion","discharge",-4.84121141577114,"F",0.950494863414672
"propMissAct_0.35","MNAR","Data Deletion","discharge",-3.65343556495172,"G",1.09880529172003
"propMissAct_0.41","MNAR","Data Deletion","discharge",-2.64499118061521,"H",1.09051328035297
"propMissAct_0.46","MNAR","Data Deletion","discharge",-0.919968477579719,"I",1.12959342550049
"propMissAct_0.51","MNAR","Data Deletion","discharge",-1.60228565047433,"J",1.15514515195567
"propMissAct_0.57","MNAR","Data Deletion","discharge",2.49669822239824,"K",0.949069362640334
"propMissAct_0.62","MNAR","Data Deletion","discharge",1.91427555271027,"L",0.916884152722064
"propMissAct_0.66","MNAR","Data Deletion","discharge",1.72934490001854,"M",0.870004743378394
"propMissAct_0.68","MNAR","Data Deletion","discharge",1.73777611893245,"N",0.833357649987875
"propMissAct_0.72","MNAR","Data Deletion","discharge",0.910848812485023,"O",0.78598535731261
"propMissAct_0.76","MNAR","Data Deletion","discharge",0.676598617038451,"P",0.698614245370718
"y","MNAR","Data Deletion","sigma",1.41706375371517,"A",NA
"propMissAct_0.07","MNAR","Data Deletion","sigma",1.15480234998888,"B",NA
"propMissAct_0.1","MNAR","Data Deletion","sigma",1.05247511372892,"C",NA
"propMissAct_0.13","MNAR","Data Deletion","sigma",0.988791290548206,"D",NA
"propMissAct_0.2","MNAR","Data Deletion","sigma",0.681885863285887,"E",NA
"propMissAct_0.25","MNAR","Data Deletion","sigma",0.633160014772377,"F",NA
"propMissAct_0.35","MNAR","Data Deletion","sigma",0.575120773070132,"G",NA
"propMissAct_0.41","MNAR","Data Deletion","sigma",0.51386400157556,"H",NA
"propMissAct_0.46","MNAR","Data Deletion","sigma",0.50948491153948,"I",NA
"propMissAct_0.51","MNAR","Data Deletion","sigma",0.436128387994755,"J",NA
"propMissAct_0.57","MNAR","Data Deletion","sigma",0.322887334324483,"K",NA
"propMissAct_0.62","MNAR","Data Deletion","sigma",0.257503674086746,"L",NA
"propMissAct_0.66","MNAR","Data Deletion","sigma",0.231229137330706,"M",NA
"propMissAct_0.68","MNAR","Data Deletion","sigma",0.226081765104347,"N",NA
"propMissAct_0.72","MNAR","Data Deletion","sigma",0.179481698758609,"O",NA
"propMissAct_0.76","MNAR","Data Deletion","sigma",0.158543889097247,"P",NA
"y","MNAR","Kalman filter","ar1",0.718629331628055,"A",0.038343203260028
"propMissAct_0.07","MNAR","Kalman filter","ar1",0.684218457914151,"B",0.0433901043258493
"propMissAct_0.1","MNAR","Kalman filter","ar1",0.639330167310364,"C",0.0480091116956692
"propMissAct_0.13","MNAR","Kalman filter","ar1",0.621552511437904,"D",0.0470145774124231
"propMissAct_0.2","MNAR","Kalman filter","ar1",0.747352682847594,"E",0.0427667174868171
"propMissAct_0.25","MNAR","Kalman filter","ar1",0.724608453884524,"F",0.0472320501826652
"propMissAct_0.35","MNAR","Kalman filter","ar1",0.718202680320735,"G",0.0522583503361122
"propMissAct_0.41","MNAR","Kalman filter","ar1",0.706053120361872,"H",0.0549765954580877
"propMissAct_0.46","MNAR","Kalman filter","ar1",0.641096638377028,"I",0.0642732707847666
"propMissAct_0.51","MNAR","Kalman filter","ar1",0.608913077915269,"J",0.0718518259223789
"propMissAct_0.57","MNAR","Kalman filter","ar1",0.601734403285093,"K",0.0751424838690422
"propMissAct_0.62","MNAR","Kalman filter","ar1",0.590358989370119,"L",0.0783747157158563
"propMissAct_0.66","MNAR","Kalman filter","ar1",0.587093746413159,"M",0.086245504918912
"propMissAct_0.68","MNAR","Kalman filter","ar1",0.562775591502494,"N",0.0937781692390835
"propMissAct_0.72","MNAR","Kalman filter","ar1",0.670311951009928,"O",0.0816706948616754
"propMissAct_0.76","MNAR","Kalman filter","ar1",0.58898637864826,"P",0.0997982505684236
"y","MNAR","Kalman filter","intercept",1.98737198053526,"A",0.391626836321886
"propMissAct_0.07","MNAR","Kalman filter","intercept",1.79133173138601,"B",0.337931828376515
"propMissAct_0.1","MNAR","Kalman filter","intercept",1.69585462588162,"C",0.316073152922327
"propMissAct_0.13","MNAR","Kalman filter","intercept",1.62143633201769,"D",0.302977658244402
"propMissAct_0.2","MNAR","Kalman filter","intercept",3.15920193093056,"E",0.382142687626599
"propMissAct_0.25","MNAR","Kalman filter","intercept",2.86490527855616,"F",0.441189659048629
"propMissAct_0.35","MNAR","Kalman filter","intercept",2.74374436788433,"G",0.477104340660973
"propMissAct_0.41","MNAR","Kalman filter","intercept",2.66144800436844,"H",0.447495095246639
"propMissAct_0.46","MNAR","Kalman filter","intercept",2.36566922268235,"I",0.42376946349083
"propMissAct_0.51","MNAR","Kalman filter","intercept",2.49742329603223,"J",0.40181414092669
"propMissAct_0.57","MNAR","Kalman filter","intercept",1.53637191387758,"K",0.359557474059912
"propMissAct_0.62","MNAR","Kalman filter","intercept",1.81075017317966,"L",0.357825956694777
"propMissAct_0.66","MNAR","Kalman filter","intercept",2.19829948027708,"M",0.344218389329394
"propMissAct_0.68","MNAR","Kalman filter","intercept",2.39020033506227,"N",0.349021727632536
"propMissAct_0.72","MNAR","Kalman filter","intercept",2.99498573484341,"O",0.344387778325419
"propMissAct_0.76","MNAR","Kalman filter","intercept",3.3954137558549,"P",0.357437678631254
"y","MNAR","Kalman filter","light",0.0157964090086485,"A",0.00140478652416111
"propMissAct_0.07","MNAR","Kalman filter","light",0.0158004460489086,"B",0.00125288577784101
"propMissAct_0.1","MNAR","Kalman filter","light",0.015583034826389,"C",0.00120627390467832
"propMissAct_0.13","MNAR","Kalman filter","light",0.0147102720325838,"D",0.00116183900540591
"propMissAct_0.2","MNAR","Kalman filter","light",0.0133713335711454,"E",0.001091939365467
"propMissAct_0.25","MNAR","Kalman filter","light",0.0126867968224548,"F",0.00108341934066317
"propMissAct_0.35","MNAR","Kalman filter","light",0.0121171013388874,"G",0.00111952298639556
"propMissAct_0.41","MNAR","Kalman filter","light",0.0107611494721038,"H",0.0010662702275588
"propMissAct_0.46","MNAR","Kalman filter","light",0.0100028300440043,"I",0.00104881267514227
"propMissAct_0.51","MNAR","Kalman filter","light",0.00951999000202701,"J",0.00100020009365826
"propMissAct_0.57","MNAR","Kalman filter","light",0.00944941814639014,"K",0.000949082157896304
"propMissAct_0.62","MNAR","Kalman filter","light",0.00862693052648336,"L",0.000981610247817418
"propMissAct_0.66","MNAR","Kalman filter","light",0.00713397319403172,"M",0.00102109326518989
"propMissAct_0.68","MNAR","Kalman filter","light",0.00616564617766419,"N",0.0010725415557553
"propMissAct_0.72","MNAR","Kalman filter","light",0.00462945539470945,"O",0.00108137547407619
"propMissAct_0.76","MNAR","Kalman filter","light",0.00278177187622842,"P",0.00109011973097354
"y","MNAR","Kalman filter","discharge",-1.64415428414994,"A",0.518931770378043
"propMissAct_0.07","MNAR","Kalman filter","discharge",-1.45278073897673,"B",0.464153954906626
"propMissAct_0.1","MNAR","Kalman filter","discharge",-1.29672278500557,"C",0.45230217502679
"propMissAct_0.13","MNAR","Kalman filter","discharge",-0.875505447014913,"D",0.469514984803652
"propMissAct_0.2","MNAR","Kalman filter","discharge",-5.12100386703837,"E",0.780713867906962
"propMissAct_0.25","MNAR","Kalman filter","discharge",-3.7304926378219,"F",1.03349999813295
"propMissAct_0.35","MNAR","Kalman filter","discharge",-2.80381810430909,"G",1.15963358185565
"propMissAct_0.41","MNAR","Kalman filter","discharge",-1.80104624717197,"H",1.08781645869
"propMissAct_0.46","MNAR","Kalman filter","discharge",-0.501341712333454,"I",1.07279433751479
"propMissAct_0.51","MNAR","Kalman filter","discharge",-0.678530702185225,"J",1.05002613360891
"propMissAct_0.57","MNAR","Kalman filter","discharge",2.55422474558594,"K",0.971228437082002
"propMissAct_0.62","MNAR","Kalman filter","discharge",2.21845868986195,"L",0.916795128932791
"propMissAct_0.66","MNAR","Kalman filter","discharge",2.00968580044933,"M",0.847444452788547
"propMissAct_0.68","MNAR","Kalman filter","discharge",1.95610774262237,"N",0.830163212799535
"propMissAct_0.72","MNAR","Kalman filter","discharge",1.03557599766211,"O",0.808859626125981
"propMissAct_0.76","MNAR","Kalman filter","discharge",0.989835101479127,"P",0.725223628088058
"y","MNAR","Kalman filter","sigma",1.41367638328014,"A",NA
"propMissAct_0.07","MNAR","Kalman filter","sigma",1.10027729922182,"B",NA
"propMissAct_0.1","MNAR","Kalman filter","sigma",1.01599215841877,"C",NA
