"","CurSim","missingprop_autocor","parameters","param_value","param_se","missingness","type","run_no"
"1",1,"propMissAct_0.11","ar1",0.803483703037706,0.024584807169552,"MNAR","dropNA_simple",1
"2",1,"propMissAct_0.11","intercept",-0.0429382363694052,0.115592524782021,"MNAR","dropNA_simple",1
"3",1,"propMissAct_0.11","xreg1",0.963732418946482,0.114645963371064,"MNAR","dropNA_simple",1
"4",1,"propMissAct_0.11","xreg2",-0.426857403413183,0.0573716788336647,"MNAR","dropNA_simple",1
"5",1,"propMissAct_0.11","sigma",0.197978749537992,NA,"MNAR","dropNA_simple",1
"6",1,"propMissAct_0.16","ar1",0.792180058181191,0.0257837524556149,"MNAR","dropNA_simple",1
"7",1,"propMissAct_0.16","intercept",0.213621107731692,0.103702647049642,"MNAR","dropNA_simple",1
"8",1,"propMissAct_0.16","xreg1",0.806696179564485,0.105364508987691,"MNAR","dropNA_simple",1
"9",1,"propMissAct_0.16","xreg2",-0.290333415327209,0.0528435367809784,"MNAR","dropNA_simple",1
"10",1,"propMissAct_0.16","sigma",0.158584604854755,NA,"MNAR","dropNA_simple",1
"11",1,"propMissAct_0.19","ar1",0.779647208721789,0.026980876715541,"MNAR","dropNA_simple",1
"12",1,"propMissAct_0.19","intercept",0.21228117628024,0.0966499303356775,"MNAR","dropNA_simple",1
"13",1,"propMissAct_0.19","xreg1",0.859191121654652,0.103078642131973,"MNAR","dropNA_simple",1
"14",1,"propMissAct_0.19","xreg2",-0.275574035363492,0.05059352908573,"MNAR","dropNA_simple",1
"15",1,"propMissAct_0.19","sigma",0.143264148252471,NA,"MNAR","dropNA_simple",1
"16",1,"propMissAct_0.23","ar1",0.766784930491262,0.0281249994710858,"MNAR","dropNA_simple",1
"17",1,"propMissAct_0.23","intercept",0.256005174613739,0.0940106927196414,"MNAR","dropNA_simple",1
"18",1,"propMissAct_0.23","xreg1",0.804290910713708,0.1052270441648,"MNAR","dropNA_simple",1
"19",1,"propMissAct_0.23","xreg2",-0.259449917680537,0.0491868778716916,"MNAR","dropNA_simple",1
"20",1,"propMissAct_0.23","sigma",0.138747650306649,NA,"MNAR","dropNA_simple",1
"21",1,"propMissAct_0.27","ar1",0.772202273304362,0.0284338369356713,"MNAR","dropNA_simple",1
"22",1,"propMissAct_0.27","intercept",0.372574957279268,0.0917000465489891,"MNAR","dropNA_simple",1
"23",1,"propMissAct_0.27","xreg1",0.620313759375182,0.102123294421592,"MNAR","dropNA_simple",1
"24",1,"propMissAct_0.27","xreg2",-0.245730044119641,0.0462879308047228,"MNAR","dropNA_simple",1
"25",1,"propMissAct_0.27","sigma",0.123461936110926,NA,"MNAR","dropNA_simple",1
"26",1,"propMissAct_0.32","ar1",0.759990330969003,0.0303622407858516,"MNAR","dropNA_simple",1
"27",1,"propMissAct_0.32","intercept",0.421238797570354,0.0868643935355619,"MNAR","dropNA_simple",1
"28",1,"propMissAct_0.32","xreg1",0.515410895778301,0.0993129108810583,"MNAR","dropNA_simple",1
"29",1,"propMissAct_0.32","xreg2",-0.253140024021936,0.0439925858763229,"MNAR","dropNA_simple",1
"30",1,"propMissAct_0.32","sigma",0.11055639969704,NA,"MNAR","dropNA_simple",1
"31",1,"propMissAct_0.37","ar1",0.738380317758274,0.0329849747706551,"MNAR","dropNA_simple",1
"32",1,"propMissAct_0.37","intercept",0.46571154746194,0.0787598835191772,"MNAR","dropNA_simple",1
"33",1,"propMissAct_0.37","xreg1",0.423999113688843,0.0944414320586671,"MNAR","dropNA_simple",1
"34",1,"propMissAct_0.37","xreg2",-0.248503928544744,0.0399000821945779,"MNAR","dropNA_simple",1
"35",1,"propMissAct_0.37","sigma",0.0926979820262953,NA,"MNAR","dropNA_simple",1
"36",1,"propMissAct_0.42","ar1",0.677313405239737,0.0374583938913041,"MNAR","dropNA_simple",1
"37",1,"propMissAct_0.42","intercept",0.530359875086059,0.0758155960384963,"MNAR","dropNA_simple",1
"38",1,"propMissAct_0.42","xreg1",0.350651795329736,0.100218356653672,"MNAR","dropNA_simple",1
"39",1,"propMissAct_0.42","xreg2",-0.214611675316932,0.0412729020299363,"MNAR","dropNA_simple",1
"40",1,"propMissAct_0.42","sigma",0.0925648261310143,NA,"MNAR","dropNA_simple",1
