missingprop_autocor,Estimate,Est.Error,Q2.5,Q97.5,date,GPP,missingness,type,run_no
y,0.9644686596508285,0.6341303257616739,-0.2643154532167236,2.213863533305739,2016-11-30T00:00:00Z,0.0210691950931066,MAR,brms,1
y,0.9556529446749044,0.7934549808298522,-0.6368764624607801,2.507358355328797,2016-12-01T00:00:00Z,0.378646182477892,MAR,brms,1
y,1.0792417489327457,0.8829326446813918,-0.6429371793030492,2.8005871886533376,2016-12-02T00:00:00Z,0.704274591016821,MAR,brms,1
y,1.1975657721723325,0.9224478631915828,-0.6226825416977113,2.987316948704247,2016-12-03T00:00:00Z,0.465486802605711,MAR,brms,1
y,1.2761263958127913,0.9532367429684804,-0.5993650699032341,3.17156593742503,2016-12-04T00:00:00Z,0.399462914168786,MAR,brms,1
y,1.4729855267199194,0.9647762409742091,-0.4367947183594939,3.322814169730922,2016-12-05T00:00:00Z,0.707736309903312,MAR,brms,1
y,1.4448009416354977,0.9734170022134929,-0.4804780980242005,3.3765660875122188,2016-12-06T00:00:00Z,0.676981656015052,MAR,brms,1
y,1.4277803997003415,0.9814099692481173,-0.4727393056329617,3.3641762241528372,2016-12-07T00:00:00Z,0.651421657701972,MAR,brms,1
y,1.2739842241374268,0.9832664925553642,-0.6475040962310666,3.2269381341758065,2016-12-08T00:00:00Z,0.452620201394598,MAR,brms,1
y,1.3044653986461425,1.002480727341887,-0.6836281586938981,3.2278739090220503,2016-12-09T00:00:00Z,0.713630219522972,MAR,brms,1
y,1.3894023905912387,1.0068453997507234,-0.5823346151395472,3.351157459897212,2016-12-10T00:00:00Z,0.685235312064148,MAR,brms,1
y,1.367367195233887,0.9963503539312659,-0.6096195309498301,3.289875306983304,2016-12-11T00:00:00Z,0.399202048988361,MAR,brms,1
y,1.347897986925193,1.0079521471561248,-0.6067335645310887,3.3286486242094284,2016-12-12T00:00:00Z,0.450831021651176,MAR,brms,1
y,1.549655586254332,1.0044429026423725,-0.4268466461435787,3.5170445789170675,2016-12-13T00:00:00Z,0.653991463731387,MAR,brms,1
y,1.494912124901968,1.0034959732043247,-0.4913292124869605,3.4544700670099155,2016-12-14T00:00:00Z,0.589519727153451,MAR,brms,1
y,1.5997029743623932,1.0141002991299928,-0.39908709280393084,3.606405725705375,2016-12-15T00:00:00Z,0.403866696016504,MAR,brms,1
y,1.3174446549229377,1.0122423099275695,-0.6098036855318707,3.2973613160819464,2016-12-16T00:00:00Z,0.269401760261086,MAR,brms,1
y,1.2842332071846736,1.0006559774819874,-0.6440578007642789,3.2884105752114614,2016-12-17T00:00:00Z,0.316764261250687,MAR,brms,1
y,1.5207152386238914,0.9955229029587614,-0.4169282434062293,3.507904838454324,2016-12-18T00:00:00Z,0.503715978970523,MAR,brms,1
y,1.5881838900202192,0.994900645780848,-0.36247627515757364,3.5090446409899925,2016-12-19T00:00:00Z,0.391838911292807,MAR,brms,1
y,1.5494251869569238,0.9914040782142872,-0.372889366614955,3.4811397534049995,2016-12-20T00:00:00Z,0.364620582783133,MAR,brms,1
y,1.49296319219755,1.0077947020083668,-0.47081096427725255,3.468968513931216,2016-12-21T00:00:00Z,0.584347525364993,MAR,brms,1
y,1.5646463441464935,0.9892499263417284,-0.3485633822351688,3.4939805715069836,2016-12-22T00:00:00Z,0.523494209635502,MAR,brms,1
y,1.5088264674869818,1.000797298447621,-0.5130131842261264,3.475890018058114,2016-12-23T00:00:00Z,0.590600885709447,MAR,brms,1
y,1.5428715149183236,1.0038404816237274,-0.42308246832101154,3.48673132452858,2016-12-24T00:00:00Z,0.352856725125781,MAR,brms,1
y,1.5470191007144296,0.9811690222735412,-0.41505661291973645,3.4815861533813925,2016-12-25T00:00:00Z,0.638796268228445,MAR,brms,1
y,1.3665700004239332,1.013474220034272,-0.6401868656853592,3.3476415668075705,2016-12-26T00:00:00Z,0.382867072316656,MAR,brms,1
y,0.874401247628607,1.007097197708841,-1.1324810285306752,2.847648567382478,2016-12-27T00:00:00Z,0.0373816518772108,MAR,brms,1
y,1.116529453970308,1.0094978347916113,-0.9147558787359864,3.0695475560508907,2016-12-28T00:00:00Z,0.380477405644794,MAR,brms,1
y,1.2210099107322547,0.9936103376892018,-0.7703591709673413,3.156803441176508,2016-12-29T00:00:00Z,0.0899376035704571,MAR,brms,1
y,1.3258024422243653,1.0094144996820447,-0.6599676561292398,3.2713712416874,2016-12-30T00:00:00Z,0.459958607719185,MAR,brms,1
y,NA,NA,NA,NA,2016-12-31T00:00:00Z,NA,MAR,brms,1
propMissAct_0.04,0.9082730215617915,0.6051334046671836,-0.25829951185308464,2.1128504747508994,2016-11-30T00:00:00Z,0.0210691950931066,MAR,brms,1
propMissAct_0.04,0.9038308868073596,0.7605168664606731,-0.5545589551078101,2.4174421438119333,2016-12-01T00:00:00Z,0.378646182477892,MAR,brms,1
propMissAct_0.04,1.0176333491335297,0.8299132018842251,-0.6079747245878474,2.651610534054964,2016-12-02T00:00:00Z,0.704274591016821,MAR,brms,1
propMissAct_0.04,1.1339820866846848,0.873451558140483,-0.5881287795226767,2.8244012447436395,2016-12-03T00:00:00Z,0.465486802605711,MAR,brms,1
propMissAct_0.04,1.1991593390784292,0.8932831425955734,-0.6015906987802744,2.955121061729727,2016-12-04T00:00:00Z,0.399462914168786,MAR,brms,1
propMissAct_0.04,1.439168820751954,0.9032269264462899,-0.3488459017850015,3.242412878921216,2016-12-05T00:00:00Z,0.707736309903312,MAR,brms,1
propMissAct_0.04,1.408400082168596,0.9163610392309764,-0.3727620054712439,3.2181225961813866,2016-12-06T00:00:00Z,0.676981656015052,MAR,brms,1
propMissAct_0.04,1.3868380355649832,0.918999098464972,-0.4187058990085633,3.1693193275559173,2016-12-07T00:00:00Z,0.651421657701972,MAR,brms,1
propMissAct_0.04,1.2108653902725233,0.9285350026699167,-0.5830114728227656,3.0643975661161873,2016-12-08T00:00:00Z,0.452620201394598,MAR,brms,1
propMissAct_0.04,1.2624729084887039,0.9395571222409478,-0.5728844225519844,3.1149994680834,2016-12-09T00:00:00Z,0.713630219522972,MAR,brms,1
propMissAct_0.04,1.336218399602041,0.941016195742411,-0.5325137914845687,3.204210596067773,2016-12-10T00:00:00Z,0.685235312064148,MAR,brms,1
propMissAct_0.04,1.2996284403471563,0.9465835769498472,-0.5593134739742677,3.14526000621795,2016-12-11T00:00:00Z,0.399202048988361,MAR,brms,1
propMissAct_0.04,1.281214922950813,0.9418163120876681,-0.5875021124229682,3.1230393509471113,2016-12-12T00:00:00Z,0.450831021651176,MAR,brms,1
propMissAct_0.04,1.5124052565284238,0.9310359960394687,-0.33356601450257706,3.3159186504344613,2016-12-13T00:00:00Z,0.653991463731387,MAR,brms,1
propMissAct_0.04,1.421140561382814,0.9404466133646373,-0.417480428954703,3.2686725614762757,2016-12-14T00:00:00Z,0.589519727153451,MAR,brms,1
propMissAct_0.04,1.561095316265403,0.9259859848206954,-0.2841191580292995,3.3790885831013844,2016-12-15T00:00:00Z,0.403866696016504,MAR,brms,1
