missingprop_autocor,Estimate,Est.Error,Q2.5,Q97.5,date,GPP,missingness,type,run_no
y,0.9764041648662539,0.6269076977748863,-0.25077466447145935,2.208510712900777,2016-11-30T00:00:00Z,0.0210691950931066,MAR,brms,1
y,0.9496911952014033,0.789784610709248,-0.596431179974696,2.500493117279624,2016-12-01T00:00:00Z,0.378646182477892,MAR,brms,1
y,1.0640570883903009,0.8767875486213174,-0.6305750530028271,2.7684249341219695,2016-12-02T00:00:00Z,0.704274591016821,MAR,brms,1
y,1.1839928176499468,0.9274293087610472,-0.6095890278240486,2.9894528348452387,2016-12-03T00:00:00Z,0.465486802605711,MAR,brms,1
y,1.2824238106970192,0.945462110883122,-0.6124121196249396,3.140504702957523,2016-12-04T00:00:00Z,0.399462914168786,MAR,brms,1
y,1.486667896852196,0.9710416963185021,-0.43487938690706374,3.4029445682246013,2016-12-05T00:00:00Z,0.707736309903312,MAR,brms,1
y,1.436148943468622,0.9746105534745673,-0.5025356090895722,3.365983973443647,2016-12-06T00:00:00Z,0.676981656015052,MAR,brms,1
y,1.4369248145560938,0.9719889633187424,-0.48174972327700766,3.36094372380057,2016-12-07T00:00:00Z,0.651421657701972,MAR,brms,1
y,1.255830921724056,0.9799867057044894,-0.673399609144953,3.1809497218527287,2016-12-08T00:00:00Z,0.452620201394598,MAR,brms,1
y,1.2998083965203822,0.9854936404265587,-0.6537855593273109,3.1997062024806695,2016-12-09T00:00:00Z,0.713630219522972,MAR,brms,1
y,1.385061713314411,0.9827326197036598,-0.5411689993477152,3.3147699001029824,2016-12-10T00:00:00Z,0.685235312064148,MAR,brms,1
y,1.3442445669772893,0.9979012164684681,-0.6370259116859631,3.306312661880418,2016-12-11T00:00:00Z,0.399202048988361,MAR,brms,1
y,1.348331524919095,0.9864535315236116,-0.5748560124967046,3.308147418382637,2016-12-12T00:00:00Z,0.450831021651176,MAR,brms,1
y,1.5545788258761037,0.9963009803952851,-0.35194509850199057,3.504481607246635,2016-12-13T00:00:00Z,0.653991463731387,MAR,brms,1
y,1.4652120435914762,0.9912594078021825,-0.5157715110695327,3.405892922594348,2016-12-14T00:00:00Z,0.589519727153451,MAR,brms,1
y,1.5890485637220684,0.9907383777253473,-0.36364954853321807,3.520567721370136,2016-12-15T00:00:00Z,0.403866696016504,MAR,brms,1
y,1.3167469908563287,1.001484868141423,-0.6572449019873441,3.292445854701829,2016-12-16T00:00:00Z,0.269401760261086,MAR,brms,1
y,1.290254474782555,0.9995759308043292,-0.6726943722684271,3.277488457281942,2016-12-17T00:00:00Z,0.316764261250687,MAR,brms,1
y,1.517359900964313,1.0023444420434695,-0.4253633612596248,3.5065991093210096,2016-12-18T00:00:00Z,0.503715978970523,MAR,brms,1
y,1.5735059315714652,0.9996076204436403,-0.4051108162162979,3.526852235642823,2016-12-19T00:00:00Z,0.391838911292807,MAR,brms,1
y,1.5579834125011962,0.995876382512435,-0.4233730302363699,3.5062973418907983,2016-12-20T00:00:00Z,0.364620582783133,MAR,brms,1
y,1.5212690299025176,0.9948637231252626,-0.4514124447515289,3.4883224473906695,2016-12-21T00:00:00Z,0.584347525364993,MAR,brms,1
y,1.5735028174453873,0.9940338269409635,-0.3701686439891264,3.5413813014800155,2016-12-22T00:00:00Z,0.523494209635502,MAR,brms,1
y,1.5096220474968134,1.0031187930093692,-0.44624901651866516,3.4839799679601757,2016-12-23T00:00:00Z,0.590600885709447,MAR,brms,1
y,1.5492386600323427,0.9980250159679909,-0.47615825634097614,3.506327564633453,2016-12-24T00:00:00Z,0.352856725125781,MAR,brms,1
y,1.5564616114664607,1.0016481614342225,-0.3984659397903455,3.524717774643633,2016-12-25T00:00:00Z,0.638796268228445,MAR,brms,1
y,1.3961972726227572,1.0076983211976205,-0.6078516270037096,3.3419620437795645,2016-12-26T00:00:00Z,0.382867072316656,MAR,brms,1
y,0.9093502341487133,1.0030455712663184,-1.0638159660950721,2.883125626029698,2016-12-27T00:00:00Z,0.0373816518772108,MAR,brms,1
y,1.1205086502986985,1.0064585229140088,-0.8432518755744806,3.107665415751488,2016-12-28T00:00:00Z,0.380477405644794,MAR,brms,1
y,1.234272976442359,1.004616420722259,-0.7790350457927444,3.1965351652452565,2016-12-29T00:00:00Z,0.0899376035704571,MAR,brms,1
y,1.3301106534183202,1.0002174686538425,-0.6635948244832315,3.2821212096007755,2016-12-30T00:00:00Z,0.459958607719185,MAR,brms,1
y,NA,NA,NA,NA,2016-12-31T00:00:00Z,NA,MAR,brms,1
propMissAct_0.04,0.9183255905817989,0.6070326988673187,-0.252389499146772,2.1182742088072426,2016-11-30T00:00:00Z,0.0210691950931066,MAR,brms,1
propMissAct_0.04,0.8901115126486984,0.7493278138558636,-0.5673797634938784,2.388680787985441,2016-12-01T00:00:00Z,0.378646182477892,MAR,brms,1
propMissAct_0.04,1.0164024974751056,0.8264707820591728,-0.5782357017980595,2.641147475715727,2016-12-02T00:00:00Z,0.704274591016821,MAR,brms,1
propMissAct_0.04,1.1583956303806846,0.8564166762846833,-0.5409918023783284,2.8060798912162737,2016-12-03T00:00:00Z,0.465486802605711,MAR,brms,1
propMissAct_0.04,1.237470652309877,0.8991426576259873,-0.5147707708797862,3.0198131796377923,2016-12-04T00:00:00Z,0.399462914168786,MAR,brms,1
propMissAct_0.04,1.4646822916583977,0.8994965276215515,-0.3203296774208998,3.295023321169494,2016-12-05T00:00:00Z,0.707736309903312,MAR,brms,1
propMissAct_0.04,1.4134193022209924,0.9146434972333238,-0.42598593956017844,3.2189436715406785,2016-12-06T00:00:00Z,0.676981656015052,MAR,brms,1
propMissAct_0.04,1.3902465567624618,0.9154388475376671,-0.4525800274608163,3.1867975731337403,2016-12-07T00:00:00Z,0.651421657701972,MAR,brms,1
propMissAct_0.04,1.2130889087366157,0.9446014492696573,-0.622406703099019,3.0559920381410146,2016-12-08T00:00:00Z,0.452620201394598,MAR,brms,1
propMissAct_0.04,1.2613820486123022,0.9352624841104624,-0.609374963729185,3.124587720642835,2016-12-09T00:00:00Z,0.713630219522972,MAR,brms,1
propMissAct_0.04,1.3310723894198135,0.934186270855951,-0.5221737671766922,3.1773704846426685,2016-12-10T00:00:00Z,0.685235312064148,MAR,brms,1
propMissAct_0.04,1.2943765402068717,0.9415211609733316,-0.5345404672628655,3.1355042018449284,2016-12-11T00:00:00Z,0.399202048988361,MAR,brms,1
propMissAct_0.04,1.2729936821624652,0.9425038934370564,-0.5620041039248912,3.122643865665433,2016-12-12T00:00:00Z,0.450831021651176,MAR,brms,1
propMissAct_0.04,1.5015629496560907,0.9354635846659003,-0.3102415802057064,3.348434243096974,2016-12-13T00:00:00Z,0.653991463731387,MAR,brms,1
propMissAct_0.04,1.4270076652041261,0.9402138334972553,-0.44012489960969653,3.2683884009531137,2016-12-14T00:00:00Z,0.589519727153451,MAR,brms,1
propMissAct_0.04,1.5528104113597556,0.9322736709196321,-0.28553348474830303,3.3925599442586005,2016-12-15T00:00:00Z,0.403866696016504,MAR,brms,1
propMissAct_0.04,1.2565385830674545,0.9317406643755487,-0.5748910262095641,3.0888959109938092,2016-12-16T00:00:00Z,0.269401760261086,MAR,brms,1
propMissAct_0.04,1.2370441429095136,0.9449293374088618,-0.6143718613254745,3.1198637937779017,2016-12-17T00:00:00Z,0.316764261250687,MAR,brms,1
propMissAct_0.04,1.4871760895010748,0.9373415157530628,-0.35619752189261056,3.3244048080900535,2016-12-18T00:00:00Z,0.503715978970523,MAR,brms,1
propMissAct_0.04,1.5350395835539479,0.9412883365616407,-0.297032068299957,3.4169797954537673,2016-12-19T00:00:00Z,0.391838911292807,MAR,brms,1
propMissAct_0.04,1.4936988890616714,0.9417715070898828,-0.34999180102973976,3.3359408784210753,2016-12-20T00:00:00Z,0.364620582783133,MAR,brms,1
