missingprop_autocor,parameter,mean,sd,2.5%,50%,97.5%,missingness,type,run_no
y,b_Intercept,1.9478726986305617,0.2799773846675937,1.3854798204916074,1.9506619227954867,2.496118620028493,MAR,brms,1
y,b_light,0.006354383438090859,7.141762552159394e-4,0.005007641228345633,0.0063371971187576245,0.007777497078915621,MAR,brms,1
y,b_discharge,-0.13216646728385575,0.025047952709063792,-0.18000964116879925,-0.13257333203225047,-0.08214660356698987,MAR,brms,1
y,phi,0.7774974854750621,0.0440801358982116,0.6860863987628961,0.7794688076612869,0.8594001059475698,MAR,brms,1
y,sigma,0.6062173068102615,0.024008101277029358,0.5608457569539566,0.6055464925819755,0.6546874300281484,MAR,brms,1
propMissAct_0.04,b_Intercept,1.87564711409655,0.2595959460587342,1.3558372701516628,1.8809387522026122,2.366940659557414,MAR,brms,1
propMissAct_0.04,b_light,0.006732524147765376,7.048810124074009e-4,0.005385394219486549,0.006710547682623167,0.008146859109182239,MAR,brms,1
propMissAct_0.04,b_discharge,-0.13261034501024566,0.02359576176833491,-0.17807995417983466,-0.1327392227687959,-0.08629707134556411,MAR,brms,1
propMissAct_0.04,phi,0.7631081736870894,0.046908207598031236,0.6648653876383686,0.7647996648566819,0.8503005735583732,MAR,brms,1
propMissAct_0.04,sigma,0.5855779853651046,0.023104122179712926,0.5422944635930779,0.5850108796454783,0.6320232382775584,MAR,brms,1
propMissAct_0.09,b_Intercept,1.8661710607121782,0.2660367869457282,1.3386927632847208,1.874898994570523,2.384150802809755,MAR,brms,1
propMissAct_0.09,b_light,0.0058607583780723544,6.786004285021095e-4,0.0045559971660498145,0.005848174589763154,0.007247593513744243,MAR,brms,1
propMissAct_0.09,b_discharge,-0.12346255324927968,0.024176978641037395,-0.17030244227161137,-0.12374071152150766,-0.07591858680042259,MAR,brms,1
propMissAct_0.09,phi,0.7774176135048851,0.047100169888773254,0.6793401677489332,0.7793762496523182,0.8655599595393136,MAR,brms,1
propMissAct_0.09,sigma,0.5541502929149655,0.022619207433603506,0.5123889243399372,0.5531500413943236,0.5997020744216789,MAR,brms,1
propMissAct_0.12,b_Intercept,1.8094392216942585,0.30645706443845216,1.1884803616307935,1.8157705885623225,2.3880898028857525,MAR,brms,1
propMissAct_0.12,b_light,0.005063421769337149,6.384328402255356e-4,0.003830640464307467,0.005052056044875061,0.006341246094834179,MAR,brms,1
propMissAct_0.12,b_discharge,-0.11076783839730606,0.02791749979688643,-0.16516191444047337,-0.11101802748166562,-0.05565450958538538,MAR,brms,1
propMissAct_0.12,phi,0.811309860931304,0.043797899351644014,0.7214073355962758,0.8139095444839143,0.8921925801088187,MAR,brms,1
propMissAct_0.12,sigma,0.5208061206027027,0.022280713550810943,0.47933836756101045,0.5202242109441706,0.5661433344367851,MAR,brms,1
propMissAct_0.17,b_Intercept,1.6917044543551718,0.29888854319652164,1.087242569268348,1.7014069628388941,2.2628818216921935,MAR,brms,1
propMissAct_0.17,b_light,0.004521030584161623,5.709428061313761e-4,0.0034178141129745996,0.0045109770058748486,0.005661709555703851,MAR,brms,1
propMissAct_0.17,b_discharge,-0.09769384384691406,0.026036004090810687,-0.1481389781937027,-0.09796846996322364,-0.04632643284364943,MAR,brms,1
propMissAct_0.17,phi,0.8380004158898605,0.038593686546234005,0.7592432000971185,0.8385770188681945,0.9123077545135472,MAR,brms,1
propMissAct_0.17,sigma,0.4673810546219495,0.020487162203628985,0.4293464105832956,0.4665894188455536,0.5099568740029206,MAR,brms,1
propMissAct_0.23,b_Intercept,1.9091540428889688,0.28555632347243337,1.3416704716076002,1.9144773734143214,2.4509511892431814,MAR,brms,1
propMissAct_0.23,b_light,0.0044819356431577,5.826168730912949e-4,0.0033377852602734367,0.004481430588803843,0.005654666710164544,MAR,brms,1
propMissAct_0.23,b_discharge,-0.12320729953427699,0.027337505420618285,-0.1766272663655278,-0.12349838072437981,-0.0696060226740126,MAR,brms,1
propMissAct_0.23,phi,0.8128631911231126,0.04175072637191063,0.7276056209628472,0.8144344554230565,0.8925089157568689,MAR,brms,1
propMissAct_0.23,sigma,0.4511080517837925,0.020487199852955416,0.41390840405309626,0.4502854073561783,0.4933984536691299,MAR,brms,1
propMissAct_0.34,b_Intercept,2.056185213651211,0.2884424277113151,1.4674608818700183,2.0616716867335088,2.615985316049194,MAR,brms,1
propMissAct_0.34,b_light,0.0048417596905163725,6.931312846463763e-4,0.0035014458126858858,0.004824592822314731,0.0062170085513977395,MAR,brms,1
propMissAct_0.34,b_discharge,-0.142878252430894,0.029894375851917405,-0.1987883665393875,-0.14397360253381122,-0.08139467450496708,MAR,brms,1
propMissAct_0.34,phi,0.7605435231665137,0.052169731416849954,0.6507933220794108,0.7639654579818406,0.8556942600691684,MAR,brms,1
propMissAct_0.34,sigma,0.46598743165717793,0.023446623578127518,0.4224480985150614,0.4646631792444893,0.5147049539889882,MAR,brms,1
propMissAct_0.5,b_Intercept,2.4217322674107087,0.25340792277949736,1.9354221411781836,2.4184358153095795,2.926756115458043,MAR,brms,1
propMissAct_0.5,b_light,0.00555561486331717,7.147465369975108e-4,0.004205110457975528,0.005554795068788609,0.006984458160310776,MAR,brms,1
propMissAct_0.5,b_discharge,-0.19794336124738593,0.02695671707419606,-0.25092800739845084,-0.19757324700000076,-0.1443726342049124,MAR,brms,1
propMissAct_0.5,phi,0.6441477412662179,0.0721672742072904,0.49330129631344993,0.6477352955140796,0.7734091258312817,MAR,brms,1
propMissAct_0.5,sigma,0.42155871233209846,0.02453049681834222,0.3770024739825204,0.42030734729416447,0.47246679517540346,MAR,brms,1
propMissAct_0.61,b_Intercept,2.347441713970835,0.3002442085305365,1.774132767114077,2.3386108584289502,2.9615550050173276,MAR,brms,1
propMissAct_0.61,b_light,0.005383100408626906,7.448695618161764e-4,0.003906531524476332,0.005386937538365964,0.006830829805278709,MAR,brms,1
propMissAct_0.61,b_discharge,-0.18263765953351033,0.03509631859679551,-0.25226449704727233,-0.18213386473695992,-0.11347764786689286,MAR,brms,1
propMissAct_0.61,phi,0.6180350247355647,0.08092832037375336,0.4476253391768526,0.6218568781696919,0.7638973801902983,MAR,brms,1
propMissAct_0.61,sigma,0.4064340940784562,0.026462320428215096,0.35957341533007986,0.40488297618230473,0.46186159905154756,MAR,brms,1
propMissAct_0.66,b_Intercept,2.1347033289249038,0.3009272797416426,1.5760206639196779,2.11963999345753,2.7667020096253316,MAR,brms,1
propMissAct_0.66,b_light,0.0045544878386408584,7.382422178388638e-4,0.003083546408403772,0.004554998966382458,0.006012651607030616,MAR,brms,1
propMissAct_0.66,b_discharge,-0.13981481370144333,0.03599807258530878,-0.21565648923790898,-0.13926607551018294,-0.07125357286966479,MAR,brms,1
propMissAct_0.66,phi,0.556386515833132,0.09933770147880278,0.343254369606642,0.5622832866709141,0.7320231145030511,MAR,brms,1
propMissAct_0.66,sigma,0.38435708172712635,0.02567122318555864,0.33777726299664,0.38268482650615965,0.43890325732022034,MAR,brms,1
propMissAct_0.69,b_Intercept,1.905977460520193,0.27710298777364745,1.3996373814902894,1.8935336617592307,2.476480676478146,MAR,brms,1
propMissAct_0.69,b_light,0.004657190697429959,6.956784538229024e-4,0.0033172119427325006,0.0046617026528576536,0.006018570260292143,MAR,brms,1
propMissAct_0.69,b_discharge,-0.1099704156887984,0.03477725433371393,-0.18060983294154884,-0.10955662555263157,-0.04382087294346042,MAR,brms,1
propMissAct_0.69,phi,0.48119922652585917,0.11218281212145935,0.24349955120991204,0.48829765591862984,0.6820425869346228,MAR,brms,1
propMissAct_0.69,sigma,0.37187344885860835,0.02516545086909076,0.32747445424632476,0.37058752666343997,0.42490625653349184,MAR,brms,1
propMissAct_0.71,b_Intercept,1.9204370741440842,0.2444485432701743,1.4637960756533726,1.9112473518429582,2.4367450917691222,MAR,brms,1
propMissAct_0.71,b_light,0.005072812015786029,6.77088934803684e-4,0.00372648856003645,0.005074896217747385,0.006397826765036867,MAR,brms,1
propMissAct_0.71,b_discharge,-0.12228852301156742,0.03355460291484825,-0.1928109961784277,-0.12104268602643063,-0.0596444200040053,MAR,brms,1
propMissAct_0.71,phi,0.41024594153749405,0.11373638349971685,0.17644972710774476,0.4136523113753593,0.6231276199521356,MAR,brms,1
propMissAct_0.71,sigma,0.34660803183886535,0.024720884783079558,0.30164241937776254,0.34530573453875213,0.3985537150116068,MAR,brms,1
propMissAct_0.73,b_Intercept,1.7936246823723,0.22586859091680672,1.3697076113173519,1.785389176539792,2.257231231853122,MAR,brms,1
propMissAct_0.73,b_light,0.004788064216202761,6.33828746736055e-4,0.0035260963167157424,0.0047914673519570804,0.006014226687455096,MAR,brms,1
propMissAct_0.73,b_discharge,-0.10199090859297935,0.03142563660444521,-0.16476121910462457,-0.1011481488989798,-0.04152520100390994,MAR,brms,1
propMissAct_0.73,phi,0.32874919797441904,0.14058459334260523,0.05471564372603934,0.33355973829062924,0.5926041395486911,MAR,brms,1
propMissAct_0.73,sigma,0.32716533401160613,0.02394250957396301,0.28512433785437746,0.3254769273102375,0.3791674275022928,MAR,brms,1
propMissAct_0.75,b_Intercept,1.656164102344291,0.1920375799497254,1.2936028368713393,1.6516056392549527,2.057028613938195,MAR,brms,1
propMissAct_0.75,b_light,0.00430968346383,6.413048012660556e-4,0.00305521020748611,0.004311003755235776,0.005586613283710861,MAR,brms,1
propMissAct_0.75,b_discharge,-0.07800502103300778,0.02774562631819186,-0.1332151743168441,-0.07765358512834208,-0.02451911940355689,MAR,brms,1
propMissAct_0.75,phi,0.18626377054542823,0.12500913513491776,0.007665145632586917,0.16930301554039978,0.4574892532575454,MAR,brms,1
propMissAct_0.75,sigma,0.3107468805831457,0.02449093878539974,0.267867866215609,0.30918528955742797,0.3630915125579532,MAR,brms,1
propMissAct_0.78,b_Intercept,1.623316243700604,0.20008115756603115,1.2531179316528696,1.6126238883495783,2.0452756978772633,MAR,brms,1
propMissAct_0.78,b_light,0.0036722206517618046,6.480916684997197e-4,0.0024175204130266925,0.0036719159654628945,0.0049630369362753885,MAR,brms,1
propMissAct_0.78,b_discharge,-0.06068661458955148,0.0293607609547857,-0.11976248131605162,-0.0598192394551334,-0.002621501530404995,MAR,brms,1
propMissAct_0.78,phi,0.20722895691636117,0.13836402983831325,0.009290997734517758,0.18923976526857444,0.5064334016408824,MAR,brms,1
propMissAct_0.78,sigma,0.2876734543242318,0.023269378036613626,0.24615879381795125,0.286018656030666,0.3378099458174463,MAR,brms,1
propMissAct_0.83,b_Intercept,1.6359858464513857,0.1684786150999833,1.31124170887622,1.6331976924799163,1.9812849160800508,MAR,brms,1
propMissAct_0.83,b_light,0.002688544587592257,6.508094078987324e-4,0.0013650665741878904,0.0026945354932806395,0.003958626442904435,MAR,brms,1
propMissAct_0.83,b_discharge,-0.0429839405791972,0.025708358566192448,-0.09493853755164007,-0.04283323558526826,0.0060788732190832535,MAR,brms,1
propMissAct_0.83,phi,0.1365344316398767,0.10841617277764563,0.004430045602434935,0.11058453693850868,0.4071319556762835,MAR,brms,1
propMissAct_0.83,sigma,0.2617951619025348,0.02460281564287208,0.21842308542291552,0.259754473708291,0.3148434764211743,MAR,brms,1
