missingprop_autocor,parameter,mean,sd,2.5%,50%,97.5%,missingness,type,run_no
propMissAct_0.11,b_Intercept,-0.07163374534190545,0.12739347294012657,-0.32751650658339815,-0.07130591144371107,0.1723971015289217,MNAR,brms,1
propMissAct_0.11,b_light,0.9285585037450698,0.1124623160526969,0.7072137936050068,0.9284740272368996,1.148234703595462,MNAR,brms,1
propMissAct_0.11,b_discharge,-0.4134286604672836,0.05895606819780592,-0.5275832013181163,-0.41334422425160045,-0.29669220871250607,MNAR,brms,1
propMissAct_0.11,phi,0.8355658855490021,0.02347480260980627,0.7887395255981259,0.8356889556413212,0.8807867887593546,MNAR,brms,1
propMissAct_0.11,sigma,0.4310351990807203,0.012410905864673496,0.4078307122741193,0.4307393527401763,0.4564025866632856,MNAR,brms,1
propMissAct_0.11,Intercept,0.7586973562151111,0.10275545531238592,0.5504206034327971,0.7622696414152177,0.9537178133408887,MNAR,brms,1
propMissAct_0.16,b_Intercept,0.16837542666028782,0.11527643352229767,-0.06915736640891539,0.17013058924333224,0.3921710284108162,MNAR,brms,1
propMissAct_0.16,b_light,0.8051834136165347,0.10096333746708527,0.6081586778953426,0.8062314760818478,1.0007380758195297,MNAR,brms,1
propMissAct_0.16,b_discharge,-0.277657668531379,0.054309051083372785,-0.3841331409708561,-0.2773316875663403,-0.17080062111418437,MNAR,brms,1
propMissAct_0.16,phi,0.8373106332393752,0.02357632228906979,0.7902933722369456,0.837306984143722,0.8839845296536548,MNAR,brms,1
propMissAct_0.16,sigma,0.3777122881215001,0.01095951649358778,0.35684111619907605,0.37749510475423637,0.39997351338464443,MNAR,brms,1
propMissAct_0.16,Intercept,0.8152577002645579,0.0935970752315089,0.619092470701269,0.818157821674083,0.9914248981066767,MNAR,brms,1
propMissAct_0.19,b_Intercept,0.17450876976580296,0.10481599401198101,-0.03288545571753652,0.1728029884943934,0.37670555880779183,MNAR,brms,1
propMissAct_0.19,b_light,0.830630793994776,0.10163088688187359,0.6310965693240442,0.8304946705623077,1.0318608731591754,MNAR,brms,1
propMissAct_0.19,b_discharge,-0.280989133919667,0.05292824271463832,-0.3840152256714111,-0.28161857870217216,-0.17633181885213772,MNAR,brms,1
propMissAct_0.19,phi,0.8244862825164805,0.024554156435589447,0.7764479464273225,0.8244973561671332,0.8723674712084969,MNAR,brms,1
propMissAct_0.19,sigma,0.3629234587852381,0.010901140094110326,0.3421003587977171,0.36267655447373703,0.38489732098660967,MNAR,brms,1
propMissAct_0.19,Intercept,0.8369111698132291,0.08268707597611001,0.6682413252445566,0.8387784179010276,0.9930406971579627,MNAR,brms,1
propMissAct_0.23,b_Intercept,0.21404904546587017,0.10067832952527016,0.01352201798298442,0.21413304791536475,0.4121813039191671,MNAR,brms,1
propMissAct_0.23,b_light,0.7869843544291866,0.10505292962391752,0.5845764414512064,0.787960500638748,0.989321108118469,MNAR,brms,1
propMissAct_0.23,b_discharge,-0.279114639579973,0.05206161175420955,-0.3803707521256083,-0.27987877423064744,-0.17818286732076652,MNAR,brms,1
propMissAct_0.23,phi,0.8133378918937142,0.02555082341770328,0.7633982547556201,0.8133275100521729,0.8629471183228699,MNAR,brms,1
propMissAct_0.23,sigma,0.3600868618604203,0.010795540375784573,0.3398158985232946,0.35979758111630833,0.3822113618799662,MNAR,brms,1
propMissAct_0.23,Intercept,0.8533049733933111,0.07651682903624714,0.6976004281671551,0.8549032443342983,0.9977152901054431,MNAR,brms,1
propMissAct_0.27,b_Intercept,0.32809180521584436,0.09967923336891515,0.13057317302490884,0.32945661848696894,0.5184751673194237,MNAR,brms,1
propMissAct_0.27,b_light,0.5930992224352589,0.09998288321385222,0.3989474573788756,0.5913644616605729,0.7897555870407529,MNAR,brms,1
propMissAct_0.27,b_discharge,-0.25556247628432976,0.04845037301366099,-0.35014125421811654,-0.2561802582397147,-0.16088060255215778,MNAR,brms,1
