"CurSim","simName","missingprop_autocor","missingness","type","param","value","missingnessVersion","SE"
39,"39","propMissAct_0.06_autoCorr_0.52","MAR","Data Deletion Simple","ar1",0.480984423648428,"A",0.0479169320165358
39,"39","propMissAct_0.07_autoCorr_0.48","MAR","Data Deletion Simple","ar1",0.513174665407179,"B",0.0470463507628481
39,"39","propMissAct_0.15_autoCorr_0.58","MAR","Data Deletion Simple","ar1",0.482511616213957,"C",0.0508029075054579
39,"39","propMissAct_0.2_autoCorr_0.47","MAR","Data Deletion Simple","ar1",0.451551274286145,"D",0.0530514922860019
39,"39","propMissAct_0.24_autoCorr_0.46","MAR","Data Deletion Simple","ar1",0.460593202542687,"E",0.0541123041861353
39,"39","propMissAct_0.27_autoCorr_0.47","MAR","Data Deletion Simple","ar1",0.495216823340322,"F",0.0542134365198846
39,"39","propMissAct_0.3_autoCorr_0.49","MAR","Data Deletion Simple","ar1",0.429239083923381,"G",0.0576448738620858
39,"39","propMissAct_0.41_autoCorr_0.42","MAR","Data Deletion Simple","ar1",0.434149280643689,"H",0.0621962467900087
39,"39","propMissAct_0.47_autoCorr_0.4","MAR","Data Deletion Simple","ar1",0.367306524814415,"I",0.0675222541526797
39,"39","propMissAct_0.56_autoCorr_0.51","MAR","Data Deletion Simple","ar1",0.385658070807915,"J",0.0740607522951982
39,"39","propMissAct_0.45_autoCorr_0.48","MAR","Data Deletion Simple","ar1",0.4622396493231,"K",0.0637173692362475
39,"39","propMissAct_0.55_autoCorr_0.54","MAR","Data Deletion Simple","ar1",0.391133327016987,"L",0.0725532086026709
39,"39","propMissAct_0.71_autoCorr_0.49","MAR","Data Deletion Simple","ar1",0.307189191879124,"M",0.0946172421028052
39,"39","propMissAct_0.67_autoCorr_0.49","MAR","Data Deletion Simple","ar1",0.229144287827056,"N",0.0922487444346992
39,"39","propMissAct_0.73_autoCorr_0.54","MAR","Data Deletion Simple","ar1",0.295504714472942,"O",0.0993222963151304
39,"39","propMissAct_0.06_autoCorr_0.52","MAR","Data Deletion Simple","intercept",1.06044853805903,"A",0.105782146929043
39,"39","propMissAct_0.07_autoCorr_0.48","MAR","Data Deletion Simple","intercept",1.02695652038767,"B",0.109957740341588
39,"39","propMissAct_0.15_autoCorr_0.58","MAR","Data Deletion Simple","intercept",1.07806039396664,"C",0.109156291141348
39,"39","propMissAct_0.2_autoCorr_0.47","MAR","Data Deletion Simple","intercept",1.00702717390913,"D",0.109357990354837
39,"39","propMissAct_0.24_autoCorr_0.46","MAR","Data Deletion Simple","intercept",1.04095155231031,"E",0.113783932000959
39,"39","propMissAct_0.27_autoCorr_0.47","MAR","Data Deletion Simple","intercept",1.07821415880465,"F",0.11902610023366
39,"39","propMissAct_0.3_autoCorr_0.49","MAR","Data Deletion Simple","intercept",1.07733624802302,"G",0.108232799963504
39,"39","propMissAct_0.41_autoCorr_0.42","MAR","Data Deletion Simple","intercept",0.996795602809328,"H",0.120930064113617
39,"39","propMissAct_0.47_autoCorr_0.4","MAR","Data Deletion Simple","intercept",1.05629452617043,"I",0.122147030789034
39,"39","propMissAct_0.56_autoCorr_0.51","MAR","Data Deletion Simple","intercept",1.11133737601034,"J",0.132369848257087
39,"39","propMissAct_0.45_autoCorr_0.48","MAR","Data Deletion Simple","intercept",1.05005627072504,"K",0.134712190641865
39,"39","propMissAct_0.55_autoCorr_0.54","MAR","Data Deletion Simple","intercept",1.10577029537736,"L",0.138202987593515
39,"39","propMissAct_0.71_autoCorr_0.49","MAR","Data Deletion Simple","intercept",1.13099194237634,"M",0.161178900028632
39,"39","propMissAct_0.67_autoCorr_0.49","MAR","Data Deletion Simple","intercept",1.05495118837059,"N",0.125132942298641
39,"39","propMissAct_0.73_autoCorr_0.54","MAR","Data Deletion Simple","intercept",0.829055954283136,"O",0.150831759926339
39,"39","propMissAct_0.06_autoCorr_0.52","MAR","Data Deletion Simple","light",-0.363752697828053,"A",0.0538309462327796
39,"39","propMissAct_0.07_autoCorr_0.48","MAR","Data Deletion Simple","light",-0.354260099834028,"B",0.052562365693107
39,"39","propMissAct_0.15_autoCorr_0.58","MAR","Data Deletion Simple","light",-0.362147417538474,"C",0.0554548338185164
39,"39","propMissAct_0.2_autoCorr_0.47","MAR","Data Deletion Simple","light",-0.351297715375408,"D",0.0585723009592375
39,"39","propMissAct_0.24_autoCorr_0.46","MAR","Data Deletion Simple","light",-0.441820440619099,"E",0.0615208407698481
39,"39","propMissAct_0.27_autoCorr_0.47","MAR","Data Deletion Simple","light",-0.339245677882221,"F",0.0599764016219209
39,"39","propMissAct_0.3_autoCorr_0.49","MAR","Data Deletion Simple","light",-0.303900065569652,"G",0.0605645055688929
39,"39","propMissAct_0.41_autoCorr_0.42","MAR","Data Deletion Simple","light",-0.310340268104892,"H",0.0665244086499639
39,"39","propMissAct_0.47_autoCorr_0.4","MAR","Data Deletion Simple","light",-0.364544760893053,"I",0.0809392509844402
39,"39","propMissAct_0.56_autoCorr_0.51","MAR","Data Deletion Simple","light",-0.341973677264439,"J",0.0803307662342463
39,"39","propMissAct_0.45_autoCorr_0.48","MAR","Data Deletion Simple","light",-0.367390315500291,"K",0.0723437833555094
39,"39","propMissAct_0.55_autoCorr_0.54","MAR","Data Deletion Simple","light",-0.337871646981146,"L",0.0909812548805593
39,"39","propMissAct_0.71_autoCorr_0.49","MAR","Data Deletion Simple","light",-0.379429945301188,"M",0.112499957523633
39,"39","propMissAct_0.67_autoCorr_0.49","MAR","Data Deletion Simple","light",-0.357631568067792,"N",0.102500698214582
39,"39","propMissAct_0.73_autoCorr_0.54","MAR","Data Deletion Simple","light",-0.199146903649929,"O",0.118906603468473
39,"39","propMissAct_0.06_autoCorr_0.52","MAR","Data Deletion Simple","discharge",0.161467121421712,"A",0.049383437450891
39,"39","propMissAct_0.07_autoCorr_0.48","MAR","Data Deletion Simple","discharge",0.16004708867185,"B",0.0460508249013285
39,"39","propMissAct_0.15_autoCorr_0.58","MAR","Data Deletion Simple","discharge",0.169009437887922,"C",0.0493324176548138
39,"39","propMissAct_0.2_autoCorr_0.47","MAR","Data Deletion Simple","discharge",0.192238367742432,"D",0.0519991216493972
39,"39","propMissAct_0.24_autoCorr_0.46","MAR","Data Deletion Simple","discharge",0.15305296845723,"E",0.0532942022622857
39,"39","propMissAct_0.27_autoCorr_0.47","MAR","Data Deletion Simple","discharge",0.182220394373173,"F",0.0534390992669263
39,"39","propMissAct_0.3_autoCorr_0.49","MAR","Data Deletion Simple","discharge",0.180182491893734,"G",0.0577395335170813
39,"39","propMissAct_0.41_autoCorr_0.42","MAR","Data Deletion Simple","discharge",0.102957363175267,"H",0.0625387471382275
39,"39","propMissAct_0.47_autoCorr_0.4","MAR","Data Deletion Simple","discharge",0.15623896798297,"I",0.0744949965062466
39,"39","propMissAct_0.56_autoCorr_0.51","MAR","Data Deletion Simple","discharge",0.0423767476270115,"J",0.0726251014040477
39,"39","propMissAct_0.45_autoCorr_0.48","MAR","Data Deletion Simple","discharge",0.140878755090579,"K",0.0680564628137523
39,"39","propMissAct_0.55_autoCorr_0.54","MAR","Data Deletion Simple","discharge",0.147465215159651,"L",0.0766792680002103
39,"39","propMissAct_0.71_autoCorr_0.49","MAR","Data Deletion Simple","discharge",0.056989297721213,"M",0.100787147753962
39,"39","propMissAct_0.67_autoCorr_0.49","MAR","Data Deletion Simple","discharge",0.0130457797998094,"N",0.0925836697138269
39,"39","propMissAct_0.73_autoCorr_0.54","MAR","Data Deletion Simple","discharge",0.256691361800744,"O",0.0989559654189211
39,"39","propMissAct_0.06_autoCorr_0.52","MAR","Data Deletion Simple","sigma",1.03840960641314,"A",NA
39,"39","propMissAct_0.07_autoCorr_0.48","MAR","Data Deletion Simple","sigma",0.979532943494317,"B",NA
39,"39","propMissAct_0.15_autoCorr_0.58","MAR","Data Deletion Simple","sigma",0.99129388628078,"C",NA
39,"39","propMissAct_0.2_autoCorr_0.47","MAR","Data Deletion Simple","sigma",1.05112358520792,"D",NA
39,"39","propMissAct_0.24_autoCorr_0.46","MAR","Data Deletion Simple","sigma",1.05114115274603,"E",NA
39,"39","propMissAct_0.27_autoCorr_0.47","MAR","Data Deletion Simple","sigma",0.965642614558734,"F",NA
39,"39","propMissAct_0.3_autoCorr_0.49","MAR","Data Deletion Simple","sigma",0.973707809977549,"G",NA
39,"39","propMissAct_0.41_autoCorr_0.42","MAR","Data Deletion Simple","sigma",1.02195571062815,"H",NA
39,"39","propMissAct_0.47_autoCorr_0.4","MAR","Data Deletion Simple","sigma",1.16206442742833,"I",NA
39,"39","propMissAct_0.56_autoCorr_0.51","MAR","Data Deletion Simple","sigma",1.07946270438419,"J",NA
39,"39","propMissAct_0.45_autoCorr_0.48","MAR","Data Deletion Simple","sigma",1.04833956891472,"K",NA
39,"39","propMissAct_0.55_autoCorr_0.54","MAR","Data Deletion Simple","sigma",1.17416491956896,"L",NA
39,"39","propMissAct_0.71_autoCorr_0.49","MAR","Data Deletion Simple","sigma",1.31935286066022,"M",NA
39,"39","propMissAct_0.67_autoCorr_0.49","MAR","Data Deletion Simple","sigma",1.11953053119847,"N",NA
39,"39","propMissAct_0.73_autoCorr_0.54","MAR","Data Deletion Simple","sigma",1.09995425345605,"O",NA
39,"39","propMissAct_0.06_autoCorr_0.52","MAR","Kalman filter","ar1",0.495432231197279,"A",0.0475567763638566
39,"39","propMissAct_0.07_autoCorr_0.48","MAR","Kalman filter","ar1",0.52449549070467,"B",0.0462340727660731
39,"39","propMissAct_0.15_autoCorr_0.58","MAR","Kalman filter","ar1",0.48839905866993,"C",0.0508460986377195
39,"39","propMissAct_0.2_autoCorr_0.47","MAR","Kalman filter","ar1",0.480298653637849,"D",0.0537378551168614
39,"39","propMissAct_0.24_autoCorr_0.46","MAR","Kalman filter","ar1",0.48227382945923,"E",0.0530635441918622
39,"39","propMissAct_0.27_autoCorr_0.47","MAR","Kalman filter","ar1",0.516023292477996,"F",0.053632641853214
39,"39","propMissAct_0.3_autoCorr_0.49","MAR","Kalman filter","ar1",0.499725270565957,"G",0.0580254653321958
39,"39","propMissAct_0.41_autoCorr_0.42","MAR","Kalman filter","ar1",0.510017900663363,"H",0.0610024215675514
39,"39","propMissAct_0.47_autoCorr_0.4","MAR","Kalman filter","ar1",0.522755935198711,"I",0.0648329147571138
39,"39","propMissAct_0.56_autoCorr_0.51","MAR","Kalman filter","ar1",0.428727259783674,"J",0.0794090591869285
39,"39","propMissAct_0.45_autoCorr_0.48","MAR","Kalman filter","ar1",0.503303207410332,"K",0.0629024898818429
39,"39","propMissAct_0.55_autoCorr_0.54","MAR","Kalman filter","ar1",0.472038559100055,"L",0.0700239404690208
39,"39","propMissAct_0.71_autoCorr_0.49","MAR","Kalman filter","ar1",0.346683248196306,"M",0.108616552388126
39,"39","propMissAct_0.67_autoCorr_0.49","MAR","Kalman filter","ar1",0.458517799407298,"N",0.0978043116150851
39,"39","propMissAct_0.73_autoCorr_0.54","MAR","Kalman filter","ar1",0.465179378554893,"O",0.108336162886006
39,"39","propMissAct_0.06_autoCorr_0.52","MAR","Kalman filter","intercept",1.05274073150279,"A",0.105941049429229
39,"39","propMissAct_0.07_autoCorr_0.48","MAR","Kalman filter","intercept",1.03862386807361,"B",0.108893003612039
39,"39","propMissAct_0.15_autoCorr_0.58","MAR","Kalman filter","intercept",1.05835053377975,"C",0.105630085402191
39,"39","propMissAct_0.2_autoCorr_0.47","MAR","Kalman filter","intercept",1.03198776922801,"D",0.107251109131741
39,"39","propMissAct_0.24_autoCorr_0.46","MAR","Kalman filter","intercept",1.0243118154976,"E",0.108821217996923
39,"39","propMissAct_0.27_autoCorr_0.47","MAR","Kalman filter","intercept",1.08757079777369,"F",0.111998068367205
39,"39","propMissAct_0.3_autoCorr_0.49","MAR","Kalman filter","intercept",1.07987540466283,"G",0.108567387979254
39,"39","propMissAct_0.41_autoCorr_0.42","MAR","Kalman filter","intercept",0.963157673534237,"H",0.115214631868572
39,"39","propMissAct_0.47_autoCorr_0.4","MAR","Kalman filter","intercept",1.05775503645837,"I",0.126313850481619
39,"39","propMissAct_0.56_autoCorr_0.51","MAR","Kalman filter","intercept",1.12312383951813,"J",0.121615102121362
39,"39","propMissAct_0.45_autoCorr_0.48","MAR","Kalman filter","intercept",0.994938247128001,"K",0.122318832877133
39,"39","propMissAct_0.55_autoCorr_0.54","MAR","Kalman filter","intercept",1.08721833616321,"L",0.131402011375337
39,"39","propMissAct_0.71_autoCorr_0.49","MAR","Kalman filter","intercept",1.11481414351848,"M",0.144862176330825
39,"39","propMissAct_0.67_autoCorr_0.49","MAR","Kalman filter","intercept",1.06151649592246,"N",0.134606066062254
39,"39","propMissAct_0.73_autoCorr_0.54","MAR","Kalman filter","intercept",0.831098235645404,"O",0.150301094823529
39,"39","propMissAct_0.06_autoCorr_0.52","MAR","Kalman filter","light",-0.361315789537481,"A",0.0529772145799186
39,"39","propMissAct_0.07_autoCorr_0.48","MAR","Kalman filter","light",-0.361022805203729,"B",0.0519662226431396
39,"39","propMissAct_0.15_autoCorr_0.58","MAR","Kalman filter","light",-0.354691728333633,"C",0.0557927021554709
39,"39","propMissAct_0.2_autoCorr_0.47","MAR","Kalman filter","light",-0.347405272646888,"D",0.0578850372393018
39,"39","propMissAct_0.24_autoCorr_0.46","MAR","Kalman filter","light",-0.442556382413933,"E",0.0608935352864513
39,"39","propMissAct_0.27_autoCorr_0.47","MAR","Kalman filter","light",-0.360413335394439,"F",0.0596340139908214
39,"39","propMissAct_0.3_autoCorr_0.49","MAR","Kalman filter","light",-0.3171204083689,"G",0.0584511937049693
39,"39","propMissAct_0.41_autoCorr_0.42","MAR","Kalman filter","light",-0.333474736110097,"H",0.0658064992179363
39,"39","propMissAct_0.47_autoCorr_0.4","MAR","Kalman filter","light",-0.395579911586646,"I",0.0755697161165665
39,"39","propMissAct_0.56_autoCorr_0.51","MAR","Kalman filter","light",-0.345975140515868,"J",0.0793617733421815
39,"39","propMissAct_0.45_autoCorr_0.48","MAR","Kalman filter","light",-0.356277407356452,"K",0.0721768197028522
39,"39","propMissAct_0.55_autoCorr_0.54","MAR","Kalman filter","light",-0.316060906034053,"L",0.0873382523575927
39,"39","propMissAct_0.71_autoCorr_0.49","MAR","Kalman filter","light",-0.368750564816976,"M",0.11451292337214
39,"39","propMissAct_0.67_autoCorr_0.49","MAR","Kalman filter","light",-0.338898369406417,"N",0.0956608624858422
39,"39","propMissAct_0.73_autoCorr_0.54","MAR","Kalman filter","light",-0.198569293622188,"O",0.114074384476699
39,"39","propMissAct_0.06_autoCorr_0.52","MAR","Kalman filter","discharge",0.157970836192217,"A",0.0488594324806043
39,"39","propMissAct_0.07_autoCorr_0.48","MAR","Kalman filter","discharge",0.160971300889021,"B",0.0455985320584812
39,"39","propMissAct_0.15_autoCorr_0.58","MAR","Kalman filter","discharge",0.16003634310436,"C",0.0492857481838999
39,"39","propMissAct_0.2_autoCorr_0.47","MAR","Kalman filter","discharge",0.199810071118321,"D",0.0519470352187015
39,"39","propMissAct_0.24_autoCorr_0.46","MAR","Kalman filter","discharge",0.162349179189286,"E",0.0537921521863647
39,"39","propMissAct_0.27_autoCorr_0.47","MAR","Kalman filter","discharge",0.169208845229539,"F",0.0524904044879579
39,"39","propMissAct_0.3_autoCorr_0.49","MAR","Kalman filter","discharge",0.187650725920392,"G",0.0563692009632777
39,"39","propMissAct_0.41_autoCorr_0.42","MAR","Kalman filter","discharge",0.130914208315084,"H",0.0613528506135126
39,"39","propMissAct_0.47_autoCorr_0.4","MAR","Kalman filter","discharge",0.187848901507062,"I",0.0682048628253789
39,"39","propMissAct_0.56_autoCorr_0.51","MAR","Kalman filter","discharge",0.0590877872449444,"J",0.0726771786504621
39,"39","propMissAct_0.45_autoCorr_0.48","MAR","Kalman filter","discharge",0.139495836879957,"K",0.0687090628232241
39,"39","propMissAct_0.55_autoCorr_0.54","MAR","Kalman filter","discharge",0.151006013988796,"L",0.0765115970730227
39,"39","propMissAct_0.71_autoCorr_0.49","MAR","Kalman filter","discharge",0.0686646762376984,"M",0.103747722309277
39,"39","propMissAct_0.67_autoCorr_0.49","MAR","Kalman filter","discharge",0.0506934662740989,"N",0.0875524362853695
39,"39","propMissAct_0.73_autoCorr_0.54","MAR","Kalman filter","discharge",0.281811794551398,"O",0.0930167885426109
39,"39","propMissAct_0.06_autoCorr_0.52","MAR","Kalman filter","sigma",1.0199642661079,"A",NA
39,"39","propMissAct_0.07_autoCorr_0.48","MAR","Kalman filter","sigma",0.958771037677113,"B",NA
39,"39","propMissAct_0.15_autoCorr_0.58","MAR","Kalman filter","sigma",0.980826724951049,"C",NA
39,"39","propMissAct_0.2_autoCorr_0.47","MAR","Kalman filter","sigma",1.02433169571821,"D",NA
39,"39","propMissAct_0.24_autoCorr_0.46","MAR","Kalman filter","sigma",1.01315966342406,"E",NA
39,"39","propMissAct_0.27_autoCorr_0.47","MAR","Kalman filter","sigma",0.930610601569139,"F",NA
39,"39","propMissAct_0.3_autoCorr_0.49","MAR","Kalman filter","sigma",0.914371069064457,"G",NA
39,"39","propMissAct_0.41_autoCorr_0.42","MAR","Kalman filter","sigma",0.928165137430127,"H",NA
39,"39","propMissAct_0.47_autoCorr_0.4","MAR","Kalman filter","sigma",1.00173077177245,"I",NA
39,"39","propMissAct_0.56_autoCorr_0.51","MAR","Kalman filter","sigma",1.04341200882168,"J",NA
39,"39","propMissAct_0.45_autoCorr_0.48","MAR","Kalman filter","sigma",0.976964770010857,"K",NA
