"","X","SimNumber","r","alpha","N0","id","autoCorr","propMiss","actAutoCorr","actPropMiss","estim_r","estim_alpha","se_r","se_alpha","lower_r","lower_alpha","upper_r","upper_alpha"
"1","1.3",1,0.35270129008626,0.00529518827353604,19,45001,0.3,0.05,0.34,0.08,"0.299857052502404",0.00506087332435053,0.0768234402820981,0.00132205061676877,0.148241948764001,0.00246126476665838,0.449392850689741,0.00764375260201016
"2","1.3.1",1,0.35270129008626,0.00529518827353604,19,45002,0.3,0.1,0.13,0.08,"0.263009171806961",0.0042813689127579,0.0747219904093707,0.00124413211416029,0.115549747562544,0.00183510350282167,0.408462712900662,0.00671214495996202
"3","1.3.2",1,0.35270129008626,0.00529518827353604,19,45003,0.3,0.15,0.4,0.17,"0.308570164138868",0.00518756815893792,0.0769665699495108,0.00131880768721872,0.156708649900536,0.00259495365073528,0.458419204887679,0.00776470376512809
"4","1.3.3",1,0.35270129008626,0.00529518827353604,19,45004,0.3,0.2,0.31,0.22,"0.342315989185353",0.00580969696249152,0.0767022936065397,0.0013224111708311,0.191054674254283,0.00321151963735195,0.491727865989394,0.00839537136696435
"5","1.3.4",1,0.35270129008626,0.00529518827353604,19,45005,0.3,0.25,0.3,0.17,"0.32003952641734",0.00538308146621699,0.0755940120487167,0.00129490099483066,0.17084596295994,0.00283687854211732,0.467177588189666,0.00791294111534569
"6","1.3.5",1,0.35270129008626,0.00529518827353604,19,45006,0.3,0.3,0.16,0.2,"0.344589314642664",0.00576316650140478,0.0745495051721221,0.00126362942795941,0.197492091520746,0.00327910711938576,0.489730340119822,0.00823260700634216
"7","1.3.6",1,0.35270129008626,0.00529518827353604,19,45007,0.3,0.35,0.52,0.3,"0.332273577768284",0.00548685291780067,0.0719015668667021,0.00120381766646133,0.190424959499951,0.00312106407015186,0.472279664758107,0.00784003375761647
"8","1.3.7",1,0.35270129008626,0.00529518827353604,19,45008,0.3,0.4,0.36,0.3,"0.299864417717268",0.00506715817179244,0.0744181231068574,0.00128219299551132,0.153010365199838,0.002546545598395,0.444732965190597,0.00757280279661809
"9","1.3.8",1,0.35270129008626,0.00529518827353604,19,45009,0.3,0.45,0.12,0.33,"0.334500281725199",0.00561422886748192,0.0778500163882238,0.0013201301682902,0.180866119705961,0.00301823460607531,0.486039961217111,0.00819317098846876
"10","1.3.9",1,0.35270129008626,0.00529518827353604,19,45010,0.3,0.5,0.28,0.48,"0.450517159728738",0.0077212520789893,0.0821061530105716,0.00142106272310055,0.288463085148131,0.00492591810569106,0.610324467765601,0.0104965757149871
"11","1.3.10",1,0.35270129008626,0.00529518827353604,19,45011,0.3,0.55,0.16,0.73,"0.564786741919626",0.0097377657054146,0.0743729355381683,0.0012960098923141,0.418070833681643,0.00719100719205605,0.709613018704636,0.0122713730283592
"12","1.3.11",1,0.35270129008626,0.00529518827353604,19,45012,0.3,0.6,0.19,0.67,"0.86046168322356",0.0152053170868634,0.0825147554973148,0.00144903363500589,0.698055421762714,0.0123633419667406,1.02150129947431,0.0180433290986416
"13","1.3.12",1,0.35270129008626,0.00529518827353604,19,45013,0.3,0.65,0.31,0.65,"1.0549925339443",0.0176085698960358,0.066910830807669,0.00110051334374914,0.923445687791026,0.0154539271903766,1.18572734905106,0.0197677586931671
"14","1.3.13",1,0.35270129008626,0.00529518827353604,19,45014,0.3,0.7,0.57,0.75,"0.357495366225794",0.00619645984683463,0.0661451649080007,0.00112733972679951,0.2270846428311,0.0039834214328029,0.486371970870377,0.00840255458513757
"15","1.3.14",1,0.35270129008626,0.00529518827353604,19,45015,0.3,0.75,0.51,0.75,"0.303767614196705",0.0044641874088032,0.0768151585150725,0.00124652189142612,0.151812616039631,0.0020051258995865,0.452934983459216,0.00689160288414728
"16","2.3",2,0.567149080775463,0.00124966957885772,26,45016,0.3,0.05,0.13,0.08,"0.585221330366004",0.00126849043918252,0.0449151909850549,0.000100021133374221,0.496469123982198,0.00107097383986322,0.672540670702976,0.00146306511457736
"17","2.3.1",2,0.567149080775463,0.00124966957885772,26,45017,0.3,0.1,0.35,0.12,"0.444555274802986",0.000967912454616762,0.0501155375890821,0.000112009681104439,0.345757399590738,0.000747235128223074,0.542210261124169,0.00118631273918509
"18","2.3.2",2,0.567149080775463,0.00124966957885772,26,45018,0.3,0.15,0.26,0.1,"0.780284772656407",0.00169544630242977,0.0466556097327768,0.000103453330617137,0.688066583089612,0.00149108578632474,0.870959875692914,0.00189662960069468
"19","2.3.3",2,0.567149080775463,0.00124966957885772,26,45019,0.3,0.2,0.28,0.13,"0.530735319545795",0.00114806409225944,0.0447738182303911,9.9483429442239e-05,0.442267876894355,0.000951621471466235,0.617785428022905,0.00134160542412972
