"","X","SimNumber","r","alpha","N0","id","autoCorr","propMiss","actAutoCorr","actPropMiss","estim_r","estim_alpha","se_r","se_alpha","lower_r","lower_alpha","upper_r","upper_alpha"
"1",501,501,0.189801032715993,0.00815105531015433,22,7501,0.5,0.05,0.3,0.05,"0.212812355573549",0.00840056262182008,0.0876487864773169,0.00349775565916329,0.0398202582625633,0.00155643164927398,0.383416184070227,0.0152682538358302
"2",501.5,501,0.189801032715993,0.00815105531015433,22,7502,0.5,0.1,0.5,0.22,"0.218013902029302",0.00848494306900626,0.0871196511110864,0.00341890153286263,0.0458910920958603,0.00178674830802035,0.387413115014566,0.0151894315820225
"3",501.6,501,0.189801032715993,0.00815105531015433,22,7503,0.5,0.15,0.63,0.1,"0.249395741799505",0.00988777580819686,0.0883472036146926,0.00352264262253195,0.0750523393322624,0.00299500651113407,0.421386991244158,0.0168044317758494
"4",501.7,501,0.189801032715993,0.00815105531015433,22,7504,0.5,0.2,0.4,0.17,"0.202603437533604",0.00815685105908244,0.0857888145805513,0.00348357519989502,0.0334397860786598,0.00135121301825179,0.369746861424855,0.0150076110488655
"5",501.8,501,0.189801032715993,0.00815105531015433,22,7505,0.5,0.25,0.37,0.2,"0.207681635964778",0.00819192884206636,0.0863695522739017,0.00343715715653138,0.0371774031525698,0.00146611125784232,0.375760340749529,0.0149404657759108
"6",501.9,501,0.189801032715993,0.00815105531015433,22,7506,0.5,0.3,0.07,0.1,"0.235435457928577",0.00926597704951526,0.0887912024029519,0.00351605907415281,0.0603220123135416,0.00239026155151553,0.40838747486952,0.0161734104876908
"7",501.1,501,0.189801032715993,0.00815105531015433,22,7507,0.5,0.35,0.6,0.2,"0.136149433195239",0.0059711527371587,0.085107752898297,0.00342478368464949,-0.0318727317418679,-0.00072663854972745,0.301768692372561,0.0126994795035033
"8",501.11,501,0.189801032715993,0.00815105531015433,22,7508,0.5,0.4,0.5,0.28,"0.22797230517933",0.00890882293175604,0.08447097456709,0.00332151874833134,0.0613495756116224,0.00241602991793916,0.392493526581904,0.0154372641086014
"9",501.12,501,0.189801032715993,0.00815105531015433,22,7509,0.5,0.45,0.51,0.43,"0.331263448165431",0.0129654842366066,0.0878614664908708,0.00344389386845662,0.157775427198189,0.00622073795628474,0.50221348688029,0.0197217785392587
"10",501.13,501,0.189801032715993,0.00815105531015433,22,7510,0.5,0.5,0.34,0.45,"0.345986948295595",0.0143693188557151,0.0956042623168954,0.00386130895915792,0.156871727181529,0.00678768506777988,0.531671685207441,0.0219254266012391
"11",501.14,501,0.189801032715993,0.00815105531015433,22,7511,0.5,0.55,0.48,0.48,"0.344680369496767",0.0130749374068093,0.0884007255359679,0.00327421386915329,0.169923621820554,0.00665100272616369,0.516472374313445,0.0194866559763691
"12",501.15,501,0.189801032715993,0.00815105531015433,22,7512,0.5,0.6,0.56,0.7,"0.506760376450551",0.0193744074632715,0.0865219681564251,0.00327149623026351,0.33604398160021,0.0129706953415468,0.675226765641504,0.0257956983790521
"13",501.16,501,0.189801032715993,0.00815105531015433,22,7513,0.5,0.65,0.3,0.63,"0.349199920254194",0.0142753258992313,0.0835508157497424,0.00333773162792306,0.184410584154189,0.00775366801690319,0.511951658131623,0.0208386738157411
"14",501.17,501,0.189801032715993,0.00815105531015433,22,7514,0.5,0.7,0.54,0.63,"0.379413242415474",0.0142965690445531,0.085874025196248,0.00321683759508339,0.209899787912261,0.00799694384931667,0.546538805693132,0.020607523813116
"15",501.18,501,0.189801032715993,0.00815105531015433,22,7515,0.5,0.75,0.37,0.63,"0.408536410854619",0.0183288180930926,0.0935170032864793,0.00405580893978745,0.223317354684781,0.0103622585831467,0.589936357515977,0.026262538815934
"16",502,502,0.103537859529358,0.00757361032441259,27,7516,0.5,0.05,0.46,0.1,"population extinction",NA,NA,NA,NA,NA,NA,NA
"17",502.5,502,0.103537859529358,0.00757361032441259,27,7517,0.5,0.1,0.7,0.22,"population extinction",NA,NA,NA,NA,NA,NA,NA
"18",502.6,502,0.103537859529358,0.00757361032441259,27,7518,0.5,0.15,0.67,0.12,"population extinction",NA,NA,NA,NA,NA,NA,NA
"19",502.7,502,0.103537859529358,0.00757361032441259,27,7519,0.5,0.2,0.44,0.1,"population extinction",NA,NA,NA,NA,NA,NA,NA
"20",502.8,502,0.103537859529358,0.00757361032441259,27,7520,0.5,0.25,0.51,0.42,"population extinction",NA,NA,NA,NA,NA,NA,NA
"21",502.9,502,0.103537859529358,0.00757361032441259,27,7521,0.5,0.3,0.52,0.17,"population extinction",NA,NA,NA,NA,NA,NA,NA
"22",502.1,502,0.103537859529358,0.00757361032441259,27,7522,0.5,0.35,0.53,0.4,"population extinction",NA,NA,NA,NA,NA,NA,NA
"23",502.11,502,0.103537859529358,0.00757361032441259,27,7523,0.5,0.4,0.67,0.4,"population extinction",NA,NA,NA,NA,NA,NA,NA
"24",502.12,502,0.103537859529358,0.00757361032441259,27,7524,0.5,0.45,0.36,0.4,"population extinction",NA,NA,NA,NA,NA,NA,NA
"25",502.13,502,0.103537859529358,0.00757361032441259,27,7525,0.5,0.5,0.51,0.53,"population extinction",NA,NA,NA,NA,NA,NA,NA
"26",502.14,502,0.103537859529358,0.00757361032441259,27,7526,0.5,0.55,0.31,0.38,"population extinction",NA,NA,NA,NA,NA,NA,NA
"27",502.15,502,0.103537859529358,0.00757361032441259,27,7527,0.5,0.6,0.35,0.52,"population extinction",NA,NA,NA,NA,NA,NA,NA
"28",502.16,502,0.103537859529358,0.00757361032441259,27,7528,0.5,0.65,0.4,0.58,"population extinction",NA,NA,NA,NA,NA,NA,NA
"29",502.17,502,0.103537859529358,0.00757361032441259,27,7529,0.5,0.7,0.59,0.73,"population extinction",NA,NA,NA,NA,NA,NA,NA
"30",502.18,502,0.103537859529358,0.00757361032441259,27,7530,0.5,0.75,0.31,0.75,"population extinction",NA,NA,NA,NA,NA,NA,NA
"31",503,503,0.127530578209012,0.00875568771339022,17,7531,0.5,0.05,0.65,0.05,"0.266589092943974",0.0164669661080913,0.0990393224443998,0.00567700671446811,0.0712175675919106,0.00540020203345023,0.45948950313893,0.0276569036528479
"32",503.5,503,0.127530578209012,0.00875568771339022,17,7532,0.5,0.1,0.56,0.13,"0.282328737875711",0.0173690480328466,0.104377908409863,0.00599490124207371,0.0757131611772543,0.0056248846407377,0.484931734919832,0.02912884327392
"33",503.6,503,0.127530578209012,0.00875568771339022,17,7533,0.5,0.15,0.84,0.12,"0.274261827760388",0.0162946135606707,0.095108598734736,0.00522365038623386,0.0863869464764903,0.00609654161638828,0.459252824700234,0.0265760860432612
"34",503.7,503,0.127530578209012,0.00875568771339022,17,7534,0.5,0.2,0.51,0.12,"0.303364380052427",0.0182446021627275,0.100631221531367,0.00565906646448526,0.104647970894466,0.00719280428316292,0.499152368286269,0.0293784679902369
"35",503.8,503,0.127530578209012,0.00875568771339022,17,7535,0.5,0.25,0.3,0.13,"0.350696842562934",0.0215149758825388,0.100013273466969,0.00562964563986988,0.153061792838751,0.0105129326917608,0.545147584917925,0.0325835040186826
"36",503.9,503,0.127530578209012,0.00875568771339022,17,7536,0.5,0.3,0.5,0.28,"0.440433511732897",0.0271898359384987,0.101954383335585,0.00598797423363241,0.239452312324134,0.0155223796232797,0.639127473782451,0.0389962704812663
"37",503.1,503,0.127530578209012,0.00875568771339022,17,7537,0.5,0.35,0.55,0.5,"0.227162117839641",0.0125047223656739,0.0933094551791007,0.00460985274460377,0.0429162139713671,0.00350017390394256,0.408710100891407,0.0215720678995382
"38",503.11,503,0.127530578209012,0.00875568771339022,17,7538,0.5,0.4,0.41,0.43,"0.452758373974921",0.0266509256324543,0.1049571741344,0.00589084477295412,0.245282334076568,0.0151234460947752,0.65672643147089,0.0382162657821818
"39",503.12,503,0.127530578209012,0.00875568771339022,17,7539,0.5,0.45,0.28,0.35,"0.354240767811861",0.0214567936016768,0.112195563608894,0.00664579014527207,0.132129615560726,0.00842395776480384,0.57199741491451,0.034479676580095
"40",503.13,503,0.127530578209012,0.00875568771339022,17,7540,0.5,0.5,0.45,0.47,"0.188578608466491",0.0117157295104566,0.105108442753486,0.00598547978221402,-0.0193189947923947,2.12775695432085e-06,0.392752748973535,0.0234684082084064
"41",503.14,503,0.127530578209012,0.00875568771339022,17,7541,0.5,0.55,0.49,0.67,"0.460359774887121",0.0258457424919868,0.10945762827159,0.00596184501221316,0.243532443554785,0.0141398092312848,0.672627091381658,0.0375113757552812
"42",503.15,503,0.127530578209012,0.00875568771339022,17,7542,0.5,0.6,0.55,0.52,"0.466641509467893",0.0304644210021603,0.104495982084854,0.00650703267662067,0.260678458646904,0.0177920392997557,0.6703518892748,0.0433035910595745
"43",503.16,503,0.127530578209012,0.00875568771339022,17,7543,0.5,0.65,0.55,0.77,"0.421490357189099",0.0229152030573075,0.133009435708506,0.00711464912682582,0.158329341188465,0.00893654788778638,0.679740549752712,0.0368267685570699
"44",503.17,503,0.127530578209012,0.00875568771339022,17,7544,0.5,0.7,0.3,0.57,"0.395399433096783",0.0240843060095116,0.099241476182316,0.00570570992364718,0.19887712567844,0.0129112609591737,0.587948987454216,0.0352807455850335
"45",503.18,503,0.127530578209012,0.00875568771339022,17,7545,0.5,0.75,0.43,0.65,"0.122323221458268",0.00778908644747759,0.101260344648578,0.00535911505867047,-0.0777502753131251,-0.00268933217497462,0.319229750277019,0.0183209863387937
"46",504,504,0.322937022371118,0.00120192271075211,21,7546,0.5,0.05,0.48,0.07,"0.437659415196878",0.00161777654761781,0.0541650865977428,0.000206402208127822,0.330366345048412,0.00120928527510683,0.542707877598801,0.00201843533528085
"47",504.5,504,0.322937022371118,0.00120192271075211,21,7547,0.5,0.1,0.4,0.17,"0.444692895763005",0.00165099163908105,0.0537109382289058,0.000205254150603556,0.338319607517004,0.00124485566885031,0.548879459950777,0.00204950021296309
"48",504.6,504,0.322937022371118,0.00120192271075211,21,7548,0.5,0.15,0.42,0.13,"0.449106358485958",0.0016698283191388,0.0535241356847021,0.000204873144045833,0.343112332496916,0.00126448415901423,0.552938767865595,0.00206763107900853
"49",504.7,504,0.322937022371118,0.00120192271075211,21,7549,0.5,0.2,0.58,0.2,"0.521449362828676",0.0019394549556135,0.05603034616021,0.000213614032165894,0.410492452251325,0.00151680204365076,0.630140467649565,0.00235420203771786
"50",504.8,504,0.322937022371118,0.00120192271075211,21,7550,0.5,0.25,0.28,0.13,"0.429910002703785",0.00159100787009728,0.053424140061205,0.000203769361694452,0.324121810998598,0.00118787806368072,0.533556259793677,0.00198669774291376
"51",504.9,504,0.322937022371118,0.00120192271075211,21,7551,0.5,0.3,0.13,0.13,"0.438288597980571",0.00163185119673299,0.0543350171185166,0.000208427009351539,0.330661770144348,0.00121936576075374,0.543669092810145,0.00203645204466702
"52",504.1,504,0.322937022371118,0.00120192271075211,21,7552,0.5,0.35,0.3,0.32,"0.435107026476852",0.00161913439764628,0.0531732438401415,0.000203864723515173,0.329844537363633,0.00121593597749055,0.538293787431205,0.00201512317068758
"53",504.11,504,0.322937022371118,0.00120192271075211,21,7553,0.5,0.4,0.44,0.23,"0.428008039858487",0.0015789249377546,0.0534122866635918,0.000203056363831425,0.322257301166924,0.00117725965750986,0.531644796819192,0.00197328216045813
"54",504.12,504,0.322937022371118,0.00120192271075211,21,7554,0.5,0.45,0.23,0.27,"0.446903123456003",0.00166638227300112,0.053249898329467,0.000204419719766377,0.341487430363267,0.00126207796115519,0.550237102300882,0.00206344042332435
"55",504.13,504,0.322937022371118,0.00120192271075211,21,7555,0.5,0.5,0.57,0.67,"0.515536818337544",0.00200159139502224,0.0555690517787195,0.000218679196190322,0.405981296338215,0.00157090186760288,0.62381131492019,0.00242812095094721
"56",504.14,504,0.322937022371118,0.00120192271075211,21,7556,0.5,0.55,0.63,0.58,"0.572292642244638",0.00224498342589466,0.0422304606894143,0.000167831127554459,0.489061885309994,0.00191464073892277,0.654605005274743,0.00257253697638487
"57",504.15,504,0.322937022371118,0.00120192271075211,21,7557,0.5,0.6,0.45,0.45,"0.484183099493031",0.0018132382928446,0.0488844658502085,0.00018789562695632,0.387662981480772,0.00144265458783639,0.579290882085914,0.00217920712947678
"58",504.16,504,0.322937022371118,0.00120192271075211,21,7558,0.5,0.65,0.48,0.53,"0.529565787430785",0.00191427340046488,0.0516440808697652,0.000190541053982726,0.427581851576278,0.00153836922836751,0.630023504880464,0.00228527684471761
"59",504.17,504,0.322937022371118,0.00120192271075211,21,7559,0.5,0.7,0.49,0.67,"0.314916693340335",0.00108582731529224,0.0369369857489072,0.000132594944968984,0.242203326229003,0.000825189675841765,0.386993650961245,0.00134495143074483
"60",504.18,504,0.322937022371118,0.00120192271075211,21,7560,0.5,0.75,0.49,0.85,"2.16442622055011",0.00737166338571205,0.027279725096814,0.000104098927271325,2.11088693642515,0.00716778043714644,2.21781985636772,0.00757583239515822
