"","missingprop_autocor","parameters","param_value","param_se","missingness","type","curSim","sim_no","simParams","missingnessName"
"1","1","phi",-0.266426762261282,0.154409457431426,"MAR","Kalman Filter",1001,"N_200_sim_1",0.223471871763468,"propMissAct_0.5_autoCorr_0.03"
"2","1","intercept",1.53166401254941,0.0954557396459266,"MAR","Kalman Filter",1001,"N_200_sim_1",1.39096619869527,"propMissAct_0.5_autoCorr_0.03"
"3","1","xreg1",0.609558161642696,0.105385389096608,"MAR","Kalman Filter",1001,"N_200_sim_1",0.66049146571173,"propMissAct_0.5_autoCorr_0.03"
"4","1","xreg2",0.200674443608297,0.10598714256514,"MAR","Kalman Filter",1001,"N_200_sim_1",0.186660491713719,"propMissAct_0.5_autoCorr_0.03"
"5","1","sigma",1.01831845590884,NA,"MAR","Kalman Filter",1001,"N_200_sim_1",NA,"propMissAct_0.5_autoCorr_0.03"
"6","1","phi",0.110362858771649,0.103842046897516,"MAR","simple drop NA",1001,"N_200_sim_1",0.223471871763468,"propMissAct_0.5_autoCorr_0.03"
"7","1","intercept",1.48257402035013,0.115763005859067,"MAR","simple drop NA",1001,"N_200_sim_1",1.39096619869527,"propMissAct_0.5_autoCorr_0.03"
"8","1","xreg1",0.669395271005501,0.103937261731682,"MAR","simple drop NA",1001,"N_200_sim_1",0.66049146571173,"propMissAct_0.5_autoCorr_0.03"
"9","1","xreg2",0.215681399739759,0.107743453205897,"MAR","simple drop NA",1001,"N_200_sim_1",0.186660491713719,"propMissAct_0.5_autoCorr_0.03"
"10","1","sigma",1.06187993073402,NA,"MAR","simple drop NA",1001,"N_200_sim_1",NA,"propMissAct_0.5_autoCorr_0.03"
"11","1","phi",-0.0677398348239607,0.145019696419326,"MAR","comple case drop NA",1001,"N_200_sim_1",0.223471871763468,"propMissAct_0.5_autoCorr_0.03"
"12","1","intercept",1.57385030407802,0.136442849897194,"MAR","comple case drop NA",1001,"N_200_sim_1",1.39096619869527,"propMissAct_0.5_autoCorr_0.03"
"13","1","xreg1",0.7010580838222,0.143804024547475,"MAR","comple case drop NA",1001,"N_200_sim_1",0.66049146571173,"propMissAct_0.5_autoCorr_0.03"
"14","1","xreg2",0.263642230233238,0.152943760299331,"MAR","comple case drop NA",1001,"N_200_sim_1",0.186660491713719,"propMissAct_0.5_autoCorr_0.03"
"15","1","sigma",1.04846168182815,NA,"MAR","comple case drop NA",1001,"N_200_sim_1",NA,"propMissAct_0.5_autoCorr_0.03"
"16",NA,"phi",-0.070565738214843,0.150040328628613,"MAR","Multiple Imputation",1001,"N_200_sim_1",0.223471871763468,"propMissAct_0.5_autoCorr_0.03"
"17",NA,"intercept",1.5275913712253,0.0985986513028965,"MAR","Multiple Imputation",1001,"N_200_sim_1",1.39096619869527,"propMissAct_0.5_autoCorr_0.03"
"18",NA,"xreg1",0.619811891922148,0.0853338322890124,"MAR","Multiple Imputation",1001,"N_200_sim_1",0.66049146571173,"propMissAct_0.5_autoCorr_0.03"
"19",NA,"xreg2",0.102277252259383,0.108545741724938,"MAR","Multiple Imputation",1001,"N_200_sim_1",0.186660491713719,"propMissAct_0.5_autoCorr_0.03"
"20",NA,"sigma",1.07988699004922,NA,"MAR","Multiple Imputation",1001,"N_200_sim_1",NA,"propMissAct_0.5_autoCorr_0.03"
"21",NA,"intercept",1.51179401488952,0.102879855056182,"MAR","data augmentation",1001,"N_200_sim_1",1.39096619869527,"propMissAct_0.5_autoCorr_0.03"
"22",NA,"xreg1",0.620839122377747,0.111980231383546,"MAR","data augmentation",1001,"N_200_sim_1",0.66049146571173,"propMissAct_0.5_autoCorr_0.03"
"23",NA,"xreg2",0.202250801177516,0.109576646641464,"MAR","data augmentation",1001,"N_200_sim_1",0.186660491713719,"propMissAct_0.5_autoCorr_0.03"
"24",NA,"phi",-0.181292195937283,0.175396583463199,"MAR","data augmentation",1001,"N_200_sim_1",0.223471871763468,"propMissAct_0.5_autoCorr_0.03"
"25",NA,"sigma",1.04665627758524,0.0772726024725278,"MAR","data augmentation",1001,"N_200_sim_1",NA,"propMissAct_0.5_autoCorr_0.03"
"26","1","phi",0.780086866628554,0.0556682750487011,"MAR","Kalman Filter",1002,"N_200_sim_2",0.793780166096985,"propMissAct_0.5_autoCorr_0.12"
"27","1","intercept",-0.197730449552437,0.327684998520458,"MAR","Kalman Filter",1002,"N_200_sim_2",-0.325369754349729,"propMissAct_0.5_autoCorr_0.12"
"28","1","xreg1",-0.685895047283668,0.0921420603280836,"MAR","Kalman Filter",1002,"N_200_sim_2",-0.818698064145673,"propMissAct_0.5_autoCorr_0.12"
"29","1","xreg2",0.171165998357252,0.111810296611832,"MAR","Kalman Filter",1002,"N_200_sim_2",0.238157971073709,"propMissAct_0.5_autoCorr_0.12"
"30","1","sigma",1.01516457292833,NA,"MAR","Kalman Filter",1002,"N_200_sim_2",NA,"propMissAct_0.5_autoCorr_0.12"
"31","1","phi",0.618557364087192,0.0841139058480424,"MAR","simple drop NA",1002,"N_200_sim_2",0.793780166096985,"propMissAct_0.5_autoCorr_0.12"
"32","1","intercept",-0.185703133830054,0.312534724576561,"MAR","simple drop NA",1002,"N_200_sim_2",-0.325369754349729,"propMissAct_0.5_autoCorr_0.12"
"33","1","xreg1",-0.69704279796519,0.100017110172751,"MAR","simple drop NA",1002,"N_200_sim_2",-0.818698064145673,"propMissAct_0.5_autoCorr_0.12"
"34","1","xreg2",0.239806893204187,0.12617706821867,"MAR","simple drop NA",1002,"N_200_sim_2",0.238157971073709,"propMissAct_0.5_autoCorr_0.12"
"35","1","sigma",1.46265971248253,NA,"MAR","simple drop NA",1002,"N_200_sim_2",NA,"propMissAct_0.5_autoCorr_0.12"
"36","1","phi",0.504678104866946,0.119075066051011,"MAR","comple case drop NA",1002,"N_200_sim_2",0.793780166096985,"propMissAct_0.5_autoCorr_0.12"
"37","1","intercept",-0.0327567263688272,0.32886607928309,"MAR","comple case drop NA",1002,"N_200_sim_2",-0.325369754349729,"propMissAct_0.5_autoCorr_0.12"
"38","1","xreg1",-0.796223282827976,0.150652413316404,"MAR","comple case drop NA",1002,"N_200_sim_2",-0.818698064145673,"propMissAct_0.5_autoCorr_0.12"
"39","1","xreg2",-0.0948372829430727,0.17981082815879,"MAR","comple case drop NA",1002,"N_200_sim_2",0.238157971073709,"propMissAct_0.5_autoCorr_0.12"
"40","1","sigma",1.5266519580019,NA,"MAR","comple case drop NA",1002,"N_200_sim_2",NA,"propMissAct_0.5_autoCorr_0.12"
"41",NA,"phi",0.316673506962701,0.100920191796945,"MAR","Multiple Imputation",1002,"N_200_sim_2",0.793780166096985,"propMissAct_0.5_autoCorr_0.12"
"42",NA,"intercept",-0.302768411040846,0.200491145129779,"MAR","Multiple Imputation",1002,"N_200_sim_2",-0.325369754349729,"propMissAct_0.5_autoCorr_0.12"
"43",NA,"xreg1",-0.576869178385855,0.156918451877232,"MAR","Multiple Imputation",1002,"N_200_sim_2",-0.818698064145673,"propMissAct_0.5_autoCorr_0.12"
"44",NA,"xreg2",0.436818744243095,0.132372674639773,"MAR","Multiple Imputation",1002,"N_200_sim_2",0.238157971073709,"propMissAct_0.5_autoCorr_0.12"
"45",NA,"sigma",2.05469640809034,NA,"MAR","Multiple Imputation",1002,"N_200_sim_2",NA,"propMissAct_0.5_autoCorr_0.12"
"46",NA,"intercept",-0.406676163184762,0.424216290194533,"MAR","data augmentation",1002,"N_200_sim_2",-0.325369754349729,"propMissAct_0.5_autoCorr_0.12"
"47",NA,"xreg1",-0.665520481511058,0.101924105670856,"MAR","data augmentation",1002,"N_200_sim_2",-0.818698064145673,"propMissAct_0.5_autoCorr_0.12"
"48",NA,"xreg2",0.195746346698933,0.125111752870843,"MAR","data augmentation",1002,"N_200_sim_2",0.238157971073709,"propMissAct_0.5_autoCorr_0.12"
"49",NA,"phi",0.735432829694895,0.0746384541398015,"MAR","data augmentation",1002,"N_200_sim_2",0.793780166096985,"propMissAct_0.5_autoCorr_0.12"
"50",NA,"sigma",1.10787483623023,0.0859792901131639,"MAR","data augmentation",1002,"N_200_sim_2",NA,"propMissAct_0.5_autoCorr_0.12"
"51","1","phi",0.793515507193802,0.0502151907297351,"MAR","Kalman Filter",1003,"N_200_sim_3",0.693771563656628,"propMissAct_0.5_autoCorr_0.1"
"52","1","intercept",-0.331115356808605,0.326991207262454,"MAR","Kalman Filter",1003,"N_200_sim_3",-0.393912618707443,"propMissAct_0.5_autoCorr_0.1"
"53","1","xreg1",0.894438729568726,0.0864542083021188,"MAR","Kalman Filter",1003,"N_200_sim_3",0.944433918990424,"propMissAct_0.5_autoCorr_0.1"
"54","1","xreg2",-1.87622763034959,0.0937845449135461,"MAR","Kalman Filter",1003,"N_200_sim_3",-1.89316582504094,"propMissAct_0.5_autoCorr_0.1"
"55","1","sigma",0.905972411944594,NA,"MAR","Kalman Filter",1003,"N_200_sim_3",NA,"propMissAct_0.5_autoCorr_0.1"
"56","1","phi",0.618687606571636,0.0777282828184438,"MAR","simple drop NA",1003,"N_200_sim_3",0.693771563656628,"propMissAct_0.5_autoCorr_0.1"
"57","1","intercept",-0.317304641230374,0.321968537506212,"MAR","simple drop NA",1003,"N_200_sim_3",-0.393912618707443,"propMissAct_0.5_autoCorr_0.1"
"58","1","xreg1",0.924799889418116,0.103774684957975,"MAR","simple drop NA",1003,"N_200_sim_3",0.944433918990424,"propMissAct_0.5_autoCorr_0.1"
"59","1","xreg2",-1.88399972614854,0.116837412133081,"MAR","simple drop NA",1003,"N_200_sim_3",-1.89316582504094,"propMissAct_0.5_autoCorr_0.1"
"60","1","sigma",1.55201823364208,NA,"MAR","simple drop NA",1003,"N_200_sim_3",NA,"propMissAct_0.5_autoCorr_0.1"
"61","1","phi",0.581698293204448,0.108372821828099,"MAR","comple case drop NA",1003,"N_200_sim_3",0.693771563656628,"propMissAct_0.5_autoCorr_0.1"
"62","1","intercept",-0.398391702611566,0.396625641029291,"MAR","comple case drop NA",1003,"N_200_sim_3",-0.393912618707443,"propMissAct_0.5_autoCorr_0.1"
"63","1","xreg1",0.702800562594324,0.155077740110912,"MAR","comple case drop NA",1003,"N_200_sim_3",0.944433918990424,"propMissAct_0.5_autoCorr_0.1"
"64","1","xreg2",-1.85074951667283,0.161224247285499,"MAR","comple case drop NA",1003,"N_200_sim_3",-1.89316582504094,"propMissAct_0.5_autoCorr_0.1"
"65","1","sigma",1.57337904386947,NA,"MAR","comple case drop NA",1003,"N_200_sim_3",NA,"propMissAct_0.5_autoCorr_0.1"
"66",NA,"phi",0.360462377213534,0.0782455700628697,"MAR","Multiple Imputation",1003,"N_200_sim_3",0.693771563656628,"propMissAct_0.5_autoCorr_0.1"
"67",NA,"intercept",-0.318136231192518,0.195129725801545,"MAR","Multiple Imputation",1003,"N_200_sim_3",-0.393912618707443,"propMissAct_0.5_autoCorr_0.1"
