date,turb,Q
11/27/2013,6.3,1331.338542
11/28/2013,5.451041667,1198.777813
11/29/2013,4.541666667,1144.577604
11/30/2013,4.100625,1119.948021
12/1/2013,4.759375,1199.744479
12/2/2013,65.01875,3701.656771
12/3/2013,97.19270833,4952.644792
12/4/2013,,4021.367292
12/5/2013,27.19791667,2770.924271
12/6/2013,18.41666667,2054.784167
12/7/2013,12.32083333,1717.560313
12/8/2013,9.313541667,1502.470417
12/9/2013,7.48125,1293.593542
12/10/2013,7.263541667,1345.583958
12/11/2013,6.185416667,1238.102708
12/12/2013,6.925,1163.409792
12/13/2013,7.610416667,1157.537088
12/14/2013,11.5,1215.790729
12/15/2013,10.52395833,1204.121146
12/16/2013,10.25416667,1257.24
12/17/2013,7.782291667,1356.939167
12/18/2013,5.767708333,1303.861875
12/19/2013,11.01041667,1473.349896
12/20/2013,7.338541667,1260.83125
12/21/2013,15.71458333,1588.771563
12/22/2013,42.38541667,3095.695
12/23/2013,25.69791667,3594.723958
12/24/2013,61.26041667,5054.093958
12/25/2013,37.51041667,4655.558958
12/26/2013,23.64583333,4142.372604
12/27/2013,19.78125,2624.946042
12/28/2013,10.284375,2158.947708
12/29/2013,7.967708333,2055.448542
12/30/2013,6.7375,1997.911354
12/31/2013,6.21875,1946.399167
1/1/2014,5.825,1756.135417
1/2/2014,5.895833333,1663.096771
1/3/2014,9.119791667,1741.408438
1/4/2014,8.220833333,1782.153125
1/5/2014,5.284375,1689.515521
1/6/2014,4.610416667,1657.614375
1/7/2014,6.191666667,1792.366354
1/8/2014,7.467708333,1852.783333
1/9/2014,10.58020833,1901.139792
1/10/2014,12,2194.118333
1/11/2014,28.48958333,3417.81875
1/12/2014,35.86979167,3851.729792
1/13/2014,23.11458333,3936.901354
1/14/2014,47.80208333,5079.471354
1/15/2014,31.73958333,5042.883542
1/16/2014,21.34375,4247.965313
1/17/2014,14.36458333,3204.452292
1/18/2014,10.10833333,2510.485
1/19/2014,7.404166667,2342.579583
1/20/2014,6.432291667,2244.325313
1/21/2014,6.210416667,2088.470417
1/22/2014,7.51875,1803.693438
1/23/2014,7.721354167,1657.660208
1/24/2014,7.05,1542.878125
1/25/2014,5.890625,1422.262396
1/26/2014,5.146875,1397.878958
1/27/2014,4.55,1353.110938
1/28/2014,4.291666667,1307.767083
1/29/2014,15.35,1673.808438
1/30/2014,20.73958333,2249.228229
1/31/2014,10.77708333,2289.270938
2/1/2014,8.490625,1966.367396
2/2/2014,5.272916667,1841.467188
2/3/2014,4.636458333,1754.533438
2/4/2014,4.296875,1661.793021
2/5/2014,4.583333333,1489.754375
2/6/2014,5.504166667,1268.581146
2/7/2014,5.605208333,1121.130208
2/8/2014,6.021875,1182.5
2/9/2014,5.280208333,1186.093542
2/10/2014,10.39895833,1327.764896
2/11/2014,22.75,1543.451146
2/12/2014,20.4375,1770.335521
2/13/2014,22.25,2290.024063
2/14/2014,22.79166667,2797.232917
2/15/2014,14.5,2805.408958
2/16/2014,16.20833333,2686.600417
2/17/2014,72.66666667,3622.728021
2/18/2014,45.38541667,4175.891875
2/19/2014,34.46875,4305.439375
2/20/2014,20.1875,3915.356146
2/21/2014,14.58333333,3245.981875
2/22/2014,11.52083333,2649.799167
2/23/2014,9.348958333,2473.01875
2/24/2014,11.83541667,2480.031146
2/25/2014,11.69375,2506.799583
2/26/2014,8.94375,2216.961771
2/27/2014,7.955208333,2101.750729
2/28/2014,6.364583333,1932.640833
3/1/2014,5.647916667,1735.952813
3/2/2014,6.227083333,1758.734479
3/3/2014,11.196875,2092.296146
3/4/2014,21.796875,2969.775521
3/5/2014,54.55208333,5358.573542
3/6/2014,71.17708333,7154.285938
3/7/2014,56.84375,7686.028125
3/8/2014,37.9375,6637.458958
3/9/2014,41.6875,6778.97625
3/10/2014,71.625,8135.713021
3/11/2014,60.94791667,8369.448646
3/12/2014,46.25,6940.587083
3/13/2014,41,5164.540729
3/14/2014,34.44791667,4256.247188
3/15/2014,24.3125,4192.597396
3/16/2014,26.86458333,4483.779792
3/17/2014,39.03125,5283.471458
3/18/2014,24.52083333,4978.99375
3/19/2014,18.375,4210.571354
3/20/2014,18.48958333,3816.180313
3/21/2014,14.45833333,3390.085729
3/22/2014,13.85416667,2951.288125
3/23/2014,12.01041667,2762.559688
3/24/2014,11.125,2639.371354
3/25/2014,10.803125,2372.111146
3/26/2014,9.270833333,2280.769479
3/27/2014,11.53333333,2216.436563
3/28/2014,10.51875,2313.977083
3/29/2014,13.39583333,2745.213333
3/30/2014,13.01041667,2845.422188
3/31/2014,9.71875,2658.896563
4/1/2014,9.71875,2507.022396
4/2/2014,7.35,2219.764792
4/3/2014,7.280833333,1995.138542
4/4/2014,6.259375,1883.640208
4/5/2014,6.310416667,1928.503438
4/6/2014,6.242708333,1996.285938
4/7/2014,9.251041667,2457.714063
4/8/2014,9.79375,2692.438333
4/9/2014,15.08333333,3000.921667
4/10/2014,13.54166667,3036.994896
4/11/2014,8.776041667,2617.236354
4/12/2014,8.082291667,2186.661979
4/13/2014,7.230208333,2063.234271
4/14/2014,7.326041667,2062.24
4/15/2014,6.539583333,1809.585938
4/16/2014,6.173958333,1791.702396
4/17/2014,7.885416667,2091.603958
4/18/2014,15.07916667,2960.21
4/19/2014,11.65104167,2938.501354
4/20/2014,18.79166667,2994.509792
4/21/2014,12.646875,2724.013854
4/22/2014,11.309375,2521.880313
4/23/2014,11.75833333,2618.691146
4/24/2014,12.92083333,2894.764167
4/25/2014,20.55208333,3565.496875
4/26/2014,12.53125,3228.440625
4/27/2014,9.526041667,3091.647917
4/28/2014,12.3875,2935.455208
4/29/2014,8.469791667,2529.310208
4/30/2014,7.158333333,2364.167708
5/1/2014,6.710416667,2284.978021
5/2/2014,6.60625,2334.167813
5/3/2014,9.576041667,2852.504167
5/4/2014,10.13541667,3195.494583
5/5/2014,9.840625,3137.39375
5/6/2014,7.65,2690.902813
5/7/2014,8.802083333,2606.189167
5/8/2014,7.189583333,2423.808542
5/9/2014,7.758333333,2532.853333
5/10/2014,7.526041667,2742.650938
5/11/2014,6.1125,2609.390521
5/12/2014,6.853125,2499.919583
5/13/2014,5.56875,2233.504688
5/14/2014,9.671875,2049.58375
5/15/2014,8.153125,2058.951042
5/16/2014,6.017708333,2132.487708
5/17/2014,5.019791667,2105.952188
