date,water.year,year,month,class,day,crop.season,season,treatment,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,NEP,K600,K600.lower,K600.upper,precip.inch,precip.mm,precip.cat,Q,exceedprob,exceedence.category,exceedence.category.alt,turb,water.temp,light
1/8/2008,2008,2008,1,Early CC,8,cc,Winter,Pre,-0.659153086,-1.023687815,-0.259804206,-5.538702974,-12.39544738,-0.8307065,-6.19785606,1.940046588,1.157304908,2.620509321,2.58,65.53,High,1958.42,99.75429975,90-100,High,183.2162,9.905416667,120.7712464
1/9/2008,2008,2008,1,Early CC,9,cc,Winter,Pre,-0.311051914,-0.702385805,0.067542815,-6.689557329,-13.57537626,-0.815503161,-7.000609243,2.68033268,1.7822106,3.4899892,1.06,26.92,High,1477.64,99.58230958,90-100,High,69.2922,8.467708333,121.4515526
1/10/2008,2008,2008,1,Early CC,10,cc,Winter,Pre,0.044336932,-0.29061808,0.37616725,-3.280946565,-6.934730834,-0.331378517,-3.236609633,1.645896561,1.104687107,2.172430846,0,0,Zero,1157.12,98.96805897,90-100,High,50.3489,5.898958333,122.1706613
1/11/2008,2008,2008,1,Early CC,11,cc,Winter,Pre,-0.070566787,-0.364231488,0.200591233,-3.180274326,-6.769376933,-0.211334409,-3.250841113,2.466138928,1.700687246,3.162869959,0.11,2.79,Elevated,858.34,97.78869779,90-100,High,40.977,5.62625,122.9283085
1/12/2008,2008,2008,1,Early CC,12,cc,Winter,Pre,-0.1126807,-0.347426396,0.139227059,-5.752744043,-9.558750848,-2.03024057,-5.865424743,5.11126398,4.043854353,6.208188084,0.02,0.51,Elevated,613.87,95.66339066,90-100,High,34.7892,4.646666667,123.7242144
1/13/2008,2008,2008,1,Early CC,13,cc,Winter,Pre,-0.086124252,-0.338152748,0.16140189,-3.005420508,-6.341116066,-0.225738245,-3.09154476,3.732032628,2.498590828,4.884194844,0,0,Zero,467.2,93.36609337,90-100,High,NA,4.878541667,124.558084
1/14/2008,2008,2008,1,Early CC,14,cc,Winter,Pre,-0.130773599,-0.382093123,0.117955022,-3.728872738,-6.327345066,-1.184603375,-3.859646337,5.976498746,4.664287492,7.224988357,0.03,0.76,Elevated,374.84,90.97051597,90-100,High,NA,3.684166667,125.4511165
1/15/2008,2008,2008,1,Early CC,15,cc,Winter,Pre,-0.114681935,-0.352182328,0.10933984,-4.143384794,-6.44785396,-2.190593604,-4.258066729,7.762683088,6.459361099,9.002475469,0.02,0.51,Elevated,315.09,88.78378378,60-90,High,NA,2.43,126.4269565
1/16/2008,2008,2008,1,Early CC,16,cc,Winter,Pre,-0.089445928,-0.325435973,0.165290185,-4.407764243,-6.458779582,-2.443001559,-4.497210171,9.172831158,7.832733981,10.52285816,0,0,Zero,271.63,86.41277641,60-90,High,NA,2.77875,127.4410188
1/17/2008,2008,2008,1,Early CC,17,cc,Winter,Pre,-0.257656206,-0.488082534,-0.03848126,-2.984691462,-4.898412854,-1.005759608,-3.242347668,7.70901215,6.233980457,9.15538275,0,0,Zero,235.23,84.47174447,60-90,High,NA,3.720208333,128.4929127
1/18/2008,2008,2008,1,Early CC,18,cc,Winter,Pre,-0.149499949,-0.371879505,0.075582642,-3.047749642,-4.5582422,-1.596372071,-3.197249591,8.898380921,7.525482293,10.23706895,0.02,0.51,Elevated,196.11,81.52334152,60-90,High,NA,1.574791667,129.5822311
1/19/2008,2008,2008,1,Early CC,19,cc,Winter,Pre,0.025395071,-0.19757352,0.233678052,-2.659614837,-4.029272531,-1.283565472,-2.634219766,8.725665362,7.335967953,10.15328666,0.01,0.25,Elevated,156.18,76.4987715,60-90,Elevated,NA,0.999375,130.7085508
1/20/2008,2008,2008,1,Early CC,20,cc,Winter,Pre,-0.178002704,-0.425982393,0.04692824,-2.567792264,-3.874544445,-1.099590083,-2.745794968,8.059134826,6.830047931,9.412435778,0,0,Zero,143.15,74.66830467,60-90,Elevated,NA,0.119583333,131.8714319
1/31/2008,2008,2008,1,Early CC,31,cc,Winter,Pre,0.035201412,-0.195707739,0.264087403,-1.525525601,-2.378318412,-0.739540768,-1.490324189,9.227545776,7.769946364,10.73909887,0,0,Zero,92.9,61.67076167,60-90,Elevated,23.5101,0.46,146.9339154
2/1/2008,2008,2008,2,Early CC,1,cc,Winter,Pre,0.019923082,-0.200025691,0.240360247,-1.746083478,-2.562416511,-0.839986629,-1.726160396,9.40578347,7.992537806,10.85154563,0.22,5.59,Elevated,91.81,61.27764128,60-90,Elevated,23.1125,0.66625,148.4952423
2/2/2008,2008,2008,2,Early CC,2,cc,Winter,Pre,0.049810115,-0.182671729,0.289515597,-1.701029133,-2.565647648,-0.926754846,-1.651219018,9.661363807,8.258638355,11.01758433,0.06,1.52,Elevated,89.36,60.18427518,60-90,Elevated,18.9206,1.983958333,150.0859211
2/3/2008,2008,2008,2,Early CC,3,cc,Winter,Pre,-0.062663675,-0.30644652,0.162941791,-0.059744867,-0.594345837,0.394477809,-0.122408542,0.696433622,0.303120994,0.99641401,0,0,Zero,92.35,61.48648649,60-90,Elevated,14.0967,2.867083333,151.7052849
2/4/2008,2008,2008,2,Early CC,4,cc,Winter,Pre,-0.334788938,-0.80236533,0.201222133,-14.06047037,-17.62792796,-10.65180488,-14.39525931,16.7580616,15.64016396,17.88882378,0.36,9.14,Elevated,1135.39,98.85749386,90-100,High,18.6849,2.497916667,153.3526516
2/5/2008,2008,2008,2,Early CC,5,cc,Winter,Pre,-3.333405229,-3.806029162,-2.895507313,-10.00290209,-13.03029118,-7.319498137,-13.33630732,9.997520394,9.233733638,10.73894498,1.38,35.05,High,2080.65,99.85257985,90-100,High,154.326,1.591458333,155.0723217
2/6/2008,2008,2008,2,Early CC,6,cc,Winter,Pre,-0.11787617,-0.463494699,0.207253041,-12.3304302,-16.77779683,-8.269143289,-12.44830637,7.129863552,6.169110066,8.015494887,1.38,35.05,High,1751.98,99.72972973,90-100,High,90.7772,0.903125,156.843851
2/7/2008,2008,2008,2,Early CC,7,cc,Winter,Pre,0.277751037,-0.026693922,0.596636794,-7.057945799,-12.85623045,-1.993509843,-6.780194762,4.180680699,2.888498266,5.438209493,0.28,7.11,Elevated,1311.95,99.28746929,90-100,High,52.678,1.017708333,158.6434884
2/8/2008,2008,2008,2,Early CC,8,cc,Winter,Pre,-0.354611413,-0.635365964,-0.041985489,-6.439364888,-11.36074006,-1.59703258,-6.793976301,4.596579757,3.323806487,5.759234971,0.01,0.25,Elevated,1070.2,98.5995086,90-100,High,NA,1.452708333,160.4704729
2/9/2008,2008,2008,2,Early CC,9,cc,Winter,Pre,-0.3247347,-0.607933168,-0.058265445,-1.816094357,-5.785749239,0.253198092,-2.140829057,1.948867989,0.913131597,2.781176894,0.17,4.32,Elevated,793.15,97.24815725,90-100,High,NA,1.820625,162.3431672
2/10/2008,2008,2008,2,Early CC,10,cc,Winter,Pre,0.332322444,0.045819759,0.617798645,-2.808546663,-5.343800792,-0.65538582,-2.476224219,2.83062013,1.746802192,3.824719029,0,0,Zero,510.66,94.2997543,90-100,High,NA,0.642708333,164.308087
2/26/2008,2008,2008,2,Early CC,26,cc,Winter,Pre,0.063206068,-0.203157805,0.340005673,-1.651387768,-2.642793119,-0.654998523,-1.5881817,9.031890133,7.60262338,10.43267935,0.6,15.24,Elevated,111.64,67.7027027,60-90,Elevated,24.4645,1.278541667,198.5874972
2/27/2008,2008,2008,2,Early CC,27,cc,Winter,Pre,0.199937968,-0.046307833,0.438065601,-1.61618112,-2.381391405,-0.812075863,-1.416243152,8.102584525,6.783651697,9.392938366,0.07,1.78,Elevated,101.32,64.70515971,60-90,Elevated,22.263,0.446041667,200.8601654
2/28/2008,2008,2008,2,Early CC,28,cc,Winter,Pre,0.237927194,-0.00866544,0.49543256,-1.50371347,-2.270125646,-0.784140343,-1.265786276,7.786428078,6.565056647,9.018511867,0,0,Zero,92.62,61.60933661,60-90,Elevated,20.9058,0.264166667,203.14426
2/29/2008,2008,2008,2,Early CC,29,cc,Winter,Pre,0.092099554,-0.165621094,0.356555867,-1.689189332,-2.53033529,-0.819448679,-1.597089778,9.093542251,7.764808345,10.46047736,0.07,1.78,Elevated,94.53,62.42014742,60-90,Elevated,16.2581,1.009791667,205.546832
3/1/2008,2008,2008,3,Late CC,1,cc,Winter,Pre,-0.155058947,-0.439065751,0.145498703,-0.432377603,-1.1942075,0.250535046,-0.58743655,2.021197347,1.38842864,2.625485704,0.06,1.52,Elevated,110.01,67.2972973,60-90,Elevated,13.9789,2.167708333,207.9584325
3/2/2008,2008,2008,3,Late CC,2,cc,Winter,Pre,-0.779619902,-1.149219467,-0.404039913,-0.188232408,-2.17173383,1.627337076,-0.96785231,3.245903307,2.134422757,4.296894201,0,0,Zero,613.87,95.66339066,90-100,High,34.7458,3.063333333,210.3780221
3/3/2008,2008,2008,3,Late CC,3,cc,Winter,Pre,-0.25078642,-0.51628349,0.052292944,-6.411099318,-8.653347357,-4.321031932,-6.661885738,7.468204466,6.572213927,8.339637099,0.01,0.25,Elevated,698.08,96.53562654,90-100,High,57.104,1.66375,212.8045608
3/4/2008,2008,2008,3,Late CC,4,cc,Winter,Pre,0.044006969,-0.242250817,0.304102247,-3.997061447,-6.317244032,-1.931403138,-3.953054478,6.423325857,5.255821693,7.509182687,0.23,5.84,Elevated,399.29,91.91646192,90-100,High,26.9198,0.999375,215.237009
3/5/2008,2008,2008,3,Late CC,5,cc,Winter,Pre,-0.172318451,-0.447884786,0.097436349,-2.463157671,-3.776529748,-1.147776144,-2.635476122,6.44080363,5.448144063,7.499420134,0.54,13.72,Elevated,249.9,85.5036855,60-90,High,18.1759,1.182291667,217.6793815
3/6/2008,2008,2008,3,Late CC,6,cc,Winter,Pre,0.003869261,-0.27387868,0.287538334,-2.454025227,-3.717362218,-1.211709659,-2.450155966,8.213149231,7.01549317,9.435590443,0,0,Zero,183.62,80.08599509,60-90,High,15.2622,2.573958333,220.2057286
3/7/2008,2008,2008,3,Late CC,7,cc,Winter,Pre,0.12861204,-0.170370815,0.412788731,-2.387699922,-3.580989364,-1.152801409,-2.259087882,9.352407288,8.027836471,10.69277546,0,0,Zero,152.38,76.01965602,60-90,Elevated,13.1384,2.13625,222.7347893
3/8/2008,2008,2008,3,Late CC,8,cc,Winter,Pre,0.179860054,-0.12200693,0.492587188,-2.151976024,-3.258627022,-1.090842247,-1.97211597,8.946355507,7.656937057,10.23175766,0,0,Zero,134.45,72.997543,60-90,Elevated,11.9081,1.458333333,225.2655254
3/9/2008,2008,2008,3,Late CC,9,cc,Winter,Pre,0.404719143,0.054101611,0.767531245,-2.569810529,-3.613972813,-1.535702569,-2.165091386,8.164638264,7.122705325,9.192006535,0,0,Zero,126.58,71.47420147,60-90,Elevated,11.2684,2.157083333,227.7969044
3/11/2008,2008,2008,3,Late CC,11,cc,Winter,Pre,0.231457319,-0.131657443,0.586310781,-1.920060345,-2.950614114,-0.883658428,-1.688603026,2.971393411,2.463688971,3.453667226,0,0,Zero,282.49,87.26044226,60-90,High,13.9479,2.6325,232.8574959
3/12/2008,2008,2008,3,Late CC,12,cc,Winter,Pre,-0.036787173,-0.43909912,0.361331217,-4.683357872,-6.352873181,-3.074506968,-4.720145045,5.47027218,4.933662249,6.006914758,0,0,Zero,643.75,95.98280098,90-100,High,10.3771,3.433333333,235.3846807
3/13/2008,2008,2008,3,Late CC,13,cc,Winter,Pre,0.970663798,0.540044429,1.408267899,-5.962883852,-7.336132525,-4.747641738,-4.992220054,7.415689619,6.894372534,7.911544649,0,0,Zero,632.89,95.83538084,90-100,High,5.4917,5.002708333,237.9084549
3/14/2008,2008,2008,3,Late CC,14,cc,Winter,Pre,1.66167627,1.260734406,2.089003921,-5.538395179,-6.639875867,-4.508777823,-3.876718909,9.017261904,8.459393143,9.562743953,0,0,Zero,399.29,91.91646192,90-100,High,2.1688,5.829375,240.4278289
3/15/2008,2008,2008,3,Late CC,15,cc,Winter,Pre,1.199027411,0.904284181,1.50308829,-3.643871547,-4.57914369,-2.696671806,-2.444844136,6.779671971,6.133280607,7.400439682,0,0,Zero,285.21,87.45700246,60-90,High,1.2938,4.515,242.941824
3/16/2008,2008,2008,3,Late CC,16,cc,Winter,Pre,2.061364219,1.613193062,2.511424959,-4.543310177,-5.425151536,-3.679014851,-2.481945958,10.01998662,9.397903301,10.60037765,0,0,Zero,232.51,84.17690418,60-90,High,1.6255,4.455625,245.4494741
3/17/2008,2008,2008,3,Late CC,17,cc,Winter,Pre,2.166551247,1.607606355,2.735168494,-8.371951288,-10.50647673,-6.333707218,-6.205400041,10.26332266,9.380924305,11.1919408,0,0,Zero,320.52,89.04176904,60-90,High,5.3578,3.99375,247.9498256
4/22/2008,2008,2008,4,Late CC,22,cc,Spring,Pre,3.987306867,3.558209757,4.457002859,-4.913856252,-5.579887754,-4.320937968,-0.926549385,8.371884532,7.996202573,8.731216614,0,0,Zero,109.19,67.03931204,60-90,Elevated,1.2667,14.43208333,334.7484957
4/23/2008,2008,2008,4,Late CC,23,cc,Spring,Pre,3.642749432,3.202463559,4.10670554,-4.992877576,-5.666125238,-4.348224513,-1.350128144,8.806435444,8.409294575,9.183549519,0,0,Zero,104.3,65.6019656,60-90,Elevated,1.4,14.93270833,336.8420779
4/24/2008,2008,2008,4,Late CC,24,cc,Spring,Pre,3.595606532,3.166377979,4.054920039,-5.325473917,-6.073983897,-4.649000626,-1.729867385,8.956091398,8.519524389,9.384971605,0,0,Zero,102.4,65.22113022,60-90,Elevated,2.1688,14.17625,338.9335553
4/25/2008,2008,2008,4,Late CC,25,cc,Spring,Pre,3.295834152,2.862439412,3.709422086,-4.937424217,-5.664786113,-4.244344287,-1.641590065,8.022322632,7.600503232,8.440642093,0.2,5.08,Elevated,99.14,64.14004914,60-90,Elevated,2.6458,15.36083333,340.9904019
4/26/2008,2008,2008,4,Late CC,26,cc,Spring,Pre,2.395724578,2.039275435,2.760055866,-3.47228656,-4.085030695,-2.855283117,-1.076561982,7.156331474,6.751828719,7.573605124,0.03,0.76,Elevated,92.35,61.48648649,60-90,Elevated,3.0875,15.128125,343.0123424
4/27/2008,2008,2008,4,Late CC,27,cc,Spring,Pre,2.660803262,2.219163629,3.102765595,-4.008050804,-4.673759143,-3.287818677,-1.347247542,8.253436738,7.747894267,8.742145744,0,0,Zero,89.64,60.27027027,60-90,Elevated,2.6125,12.230625,344.9991237
4/28/2008,2008,2008,4,Late CC,28,cc,Spring,Pre,2.143821698,1.669024805,2.601615107,-4.327226079,-5.294180551,-3.326121461,-2.183404381,10.73200178,9.891284863,11.51994249,0.03,0.76,Elevated,92.62,61.60933661,60-90,Elevated,2.4667,11.44916667,346.9505137
4/29/2008,2008,2008,4,Late CC,29,cc,Spring,Pre,2.278619514,1.90154719,2.655283388,-2.872107653,-3.438301893,-2.328875413,-0.593488139,7.33944431,6.868012704,7.792571522,0.37,9.4,Elevated,88.55,59.79115479,40-60,Elevated,2.9021,9.684166667,348.9173564
4/30/2008,2008,2008,4,Late CC,30,cc,Spring,Pre,2.401175835,2.016574937,2.811808572,-3.272100163,-3.863077088,-2.727017162,-0.870924328,6.920433421,6.484666386,7.34763241,0,0,Zero,85.29,58.7960688,40-60,Elevated,2.4938,10.54395833,350.8752335
5/1/2008,2008,2008,5,Late CC,1,nocc,Spring,Pre,3.616997976,3.088225726,4.126787916,-5.596267432,-6.412854716,-4.729082991,-1.979269456,9.978824739,9.461603047,10.50655994,0,0,Zero,87.19,59.26289926,40-60,Elevated,2.3542,13.17333333,352.7966952
5/2/2008,2008,2008,5,Late CC,2,nocc,Spring,Pre,1.964991364,1.610549622,2.30964078,-3.396301581,-4.05141385,-2.736595907,-1.431310217,5.540138321,5.072246579,6.018126926,0,0,Zero,92.35,61.48648649,60-90,Elevated,3.9271,15.00020833,354.6815647
5/6/2008,2008,2008,5,Late CC,6,nocc,Spring,Pre,3.605173141,3.16205474,4.059780266,-4.856095307,-5.508177646,-4.212392384,-1.250922166,8.034969286,7.639999792,8.415159502,0,0,Zero,76.33,54.69287469,40-60,Elevated,1.5479,15.00041667,361.8522085
5/7/2008,2008,2008,5,Late CC,7,nocc,Spring,Pre,1.323311541,0.917157261,1.755149723,-4.611562607,-6.068585953,-3.229536012,-3.288251066,9.841191874,8.859360279,10.78859538,0,0,Zero,90.72,60.82309582,60-90,Elevated,16.3854,15.25375,363.5520784
5/8/2008,2008,2008,5,Late CC,8,nocc,Spring,Pre,1.028002927,0.668716368,1.413230899,-3.24656617,-4.326781876,-2.211349774,-2.218563243,9.823233527,8.709848042,10.90084599,0.7,17.78,Elevated,93.71,62.14987715,60-90,Elevated,9.9104,12.22791667,365.2146539
5/9/2008,2008,2008,5,Late CC,9,nocc,Spring,Pre,1.542091889,1.083499377,1.991033842,-3.47172145,-4.431571098,-2.487945818,-1.929629561,9.776101819,8.83975597,10.70660781,0.01,0.25,Elevated,83.39,58.00982801,40-60,Elevated,2.3438,11.44583333,366.8398716
5/10/2008,2008,2008,5,Late CC,10,nocc,Spring,Pre,2.654893514,2.067067119,3.243149475,-5.287859266,-6.373605253,-4.209829446,-2.632965752,9.61291787,8.985812268,10.24773953,0,0,Zero,123.32,70.73710074,60-90,Elevated,23.2729,11.92666667,368.4276819
5/11/2008,2008,2008,5,Late CC,11,nocc,Spring,Pre,0.262087693,-0.047045002,0.581092459,-0.486731668,-0.987002177,-0.010794763,-0.224643975,0.116870268,0.03468226,0.162629056,0.3,7.62,Elevated,191.5,80.92137592,60-90,High,24.3646,11.85541667,369.9780482
5/12/2008,2008,2008,5,Late CC,12,nocc,Spring,Pre,1.237884279,0.791734071,1.672640682,-3.539734781,-4.517478312,-2.507688974,-2.301850502,8.183939481,7.491608723,8.886285387,0.71,18.03,High,125.49,71.24078624,60-90,Elevated,20.4229,11.20625,371.4909462
5/13/2008,2008,2008,5,Late CC,13,nocc,Spring,Pre,2.448015886,1.906347902,2.94314004,-5.771973251,-6.778901631,-4.660972804,-3.323957365,8.746735803,8.210834351,9.319820122,0,0,Zero,254.51,85.81081081,60-90,High,11.2417,12.88958333,372.9663634
5/14/2008,2008,2008,5,Late CC,14,nocc,Spring,Pre,0.587900424,0.280789836,0.906488391,-1.869443867,-3.088222816,-0.701476261,-1.281543443,3.137276272,2.425083203,3.816607082,0.17,4.32,Elevated,274.34,86.67076167,60-90,High,10.5458,13.011875,374.4042984
