County,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Adams,16443.78551,15230.10942,14570.13827,17007.90051,15202.80209,18353.26658,16349.59584,15219.34248,16768.60844,16221.79821,14077.72503,14246.21806,17595.95337,18450.73765,17954.84557,13427.58672,12701.59106,18747.0829,18312.51642,20519.12266,12404.99226,14455.85166,17163.13365,13561.4458,17415.04655,27064.91731,22810.58974,19070.85359,13705.85608,17578.06381,17537.6955,19125.5682,17216.91947,20306.55,21732.6867,24756
Ashland,9604.874045,8177.241276,6510.640798,7362.3882,8421.196946,9159.791083,13995.17561,16264.59366,18353.45077,17222.35976,16210.64734,13628.83875,15200.64362,23678.72992,28433.80139,18092.35701,15014.32889,18609.0638,22826.93843,24250.36055,21389.89861,15376.32879,20958.88469,18155.28102,17581.23089,18551.93194,20223.44965,14265.97562,12579.74717,16334.22224,15982.8302,15586.32342,11033.74979,7506.41,7369,11275
Barron,11466.62226,9977.808781,9053.361027,11627.13027,11872.76797,12526.92986,12771.46116,13931.52067,15509.38304,13791.7395,11858.14959,11084.54248,13360.16741,15240.99498,17422.66203,13613.61251,15387.22498,16798.69884,17819.10891,13535.18569,13420.42431,11030.37488,16469.30096,13415.82173,16697.32874,16526.94542,16045.3324,12498.93618,14583.08628,17291.72494,13419.54471,18465.04928,14048.56371,13663.39,14351.93623,19787
Bayfield,19561.50124,19893.13069,12748.38591,13767.26596,14307.66269,20410.59779,28351.27049,28688.28415,31303.63829,32178.46629,34320.26612,21013.02792,22020.37641,34693.21319,42524.2265,29436.4733,29906.96609,39016.16056,41939.57209,45776.83097,39514.20115,32047.72228,41200.71461,35358.27833,36240.96716,39800.54849,38549.66075,25214.90678,25263.72103,27047.10877,27734.34203,29140.50785,21535.46825,18033.5,18339.85351,29314
Brown,2126.984906,2251.576473,2333.400769,2516.016935,2426.465058,2516.409713,2412.307673,2564.803411,2770.596794,2456.464236,2547.194711,2695.799626,3397.055367,3015.46872,4109.633451,2996.21301,2448.398884,3046.741659,3609.236842,3195.383504,4175.381602,4136.121689,4496.407495,5832.337602,4074.746433,5098.615408,4500.882606,3377.303044,3939.063196,4524.20387,6228.013919,7643.421099,8128.418117,8562.75,9144.049483,10296
Buffalo,8606.958584,9307.419996,8323.399315,14182.56575,9166.963361,8902.005978,9284.71929,11328.67712,13191.65999,12692.86915,9400.796818,14792.7657,14099.26133,13390.84682,11696.86226,14502.27767,11720.7185,12285.38002,16160.47787,17259.98061,13913.75992,13366.99058,21152.97063,18389.30364,15665.14179,17911.98669,22302.34057,18850.62151,22829.06685,24474.85414,27420.20747,31161.81242,23217.16921,27627.01,25980.88595,27682
Burnett,19037.79479,15448.53558,12203.2985,16506.0254,16377.47907,21215.68677,22837.79745,23011.94692,24753.38006,25397.61401,22347.67182,15583.9031,19528.68647,24092.35824,24572.08429,20903.03412,23888.89213,25066.64588,27273.03291,21477.75132,19747.80135,16602.49292,21570.38325,17932.96854,21949.30426,24878.55183,22145.96569,19635.22368,21044.04617,27443.21414,20594.01777,27122.60897,19834.42398,18071.25,20191.68182,24124
Calumet,1072.928352,1196.225216,1348.79045,1344.633783,1192.422068,1403.15268,1204.538422,1268.558227,1437.879387,1312.988493,1432.053341,1457.484173,1914.286563,1756.220605,2364.016257,2098.576833,1651.326432,2064.065709,2114.249458,1645.034938,2162.57731,2392.169849,2290.441581,2643.817924,2206.867373,3391.021759,3121.626334,2715.819024,2829.798424,3101.044455,3694.248887,4699.846832,4660.840209,4213.87,4152.205652,4435
Chippewa,10871.46788,10605.10135,8492.707095,13158.1809,12171.81572,13241.71475,13551.11392,14089.6907,17070.04781,15167.03403,12843.65803,12597.3878,14822.73143,17260.61327,17320.7053,18863.9913,14777.26695,18385.1697,19166.87774,23004.8898,14958.19108,14515.18124,19200.56871,17697.43999,20317.02579,22181.31365,20059.35742,16398.80165,17585.38518,19884.05172,18322.04062,21415.97293,18227.85425,13324.53,13931.13863,19935
Clark,19005.47075,14771.44408,14988.09533,20705.70495,20161.80996,25063.80603,21523.88441,21889.83565,24160.12004,21169.26591,17337.47667,15200.44957,20668.72754,22422.81684,22451.7876,19500.29498,18059.80245,26450.07454,25507.39783,24281.95852,20057.81069,20662.1472,24133.25556,21944.78436,24197.33974,29414.50949,25203.47036,22917.85678,21422.39407,25594.64331,24116.2355,27979.40054,25769.3362,23254.65,25322.46629,31667
Columbia,14695.94305,12371.94689,19189.18242,13160.37466,11322.88505,12036.07561,11606.75314,10790.92925,11738.44995,12263.79719,10746.41023,12342.78467,16226.97802,14754.19568,18094.91035,14864.95607,12341.64658,14167.80659,16222.00148,16826.15646,12785.64453,13628.74016,16914.58271,15611.69636,17775.47178,16412.28982,16975.72061,18169.32985,14254.82471,15066.95859,16105.1827,16351.31627,16055.55714,20421.29,22663.49581,25370
Crawford,3934.983952,5883.189417,5014.490102,6820.914386,5547.799354,4867.021114,4360.625971,4101.046711,6647.854377,7250.422466,4129.930437,6090.128839,4778.202278,7692.84473,9910.858118,10186.33132,8654.300318,9846.606576,12013.34256,13545.35235,8769.69627,8201.311081,11320.88467,10981.17101,16162.56684,15729.18594,18777.26705,17448.95905,16084.38084,14792.76147,16098.10079,18205.68185,15954.54104,16600.53,20019.08506,16127
Dane,6308.015301,7220.751113,9362.76136,7740.270328,6412.286737,5773.805523,5603.498082,6672.366925,6862.480663,7812.054325,6835.746104,7389.421217,11227.45694,10746.19966,12086.99649,10682.46896,9186.154451,10121.04945,11685.1054,13492.49346,10418.73782,9518.287194,16311.77593,14294.62913,18089.82157,19763.20288,20131.43827,17539.68218,16847.0311,18941.53014,15358.36118,17070.41208,18872.61192,17426.69,17667.21964,18529
Dodge,5882.319447,6470.141703,9435.521597,7386.013771,6102.132411,5006.094279,5634.783042,6645.95467,8384.297085,6628.775626,7139.528867,5914.998447,9515.168207,7645.237024,10164.23492,9438.507007,7263.975013,10493.42815,9680.182649,9223.855427,6809.866748,7270.26296,10462.2063,12693.37368,10651.2155,11925.82984,12238.83205,10503.39797,10893.9672,11557.06682,12163.67201,13062.19523,11000.86742,13352.7,13712.7216,14103
Door,4466.595866,5626.115637,5156.684043,6091.954065,5467.350705,4077.687378,4375.435465,5346.798713,6780.407223,6146.51718,5480.249917,6059.206042,6369.676725,7094.137203,7490.429561,6087.881908,5524.200232,7060.124928,6535.108282,6895.00446,8750.590385,8501.337086,10520.99928,9633.003695,8951.581419,9571.51244,10395.87293,9695.050007,8551.678402,9047.718947,11828.01247,16167.82004,15370.03673,14610.26,18315.61492,18105
Douglas,24846.36502,23059.71882,14981.28657,18306.3324,17349.02531,22558.22827,30310.29775,32178.7595,37015.9375,38214.72657,37400.24551,22277.0008,20917.34935,30451.12009,31408.9522,29838.3352,31463.35814,36639.39776,35486.11146,37993.12963,31239.2138,23808.15506,34921.09804,27159.13121,32294.03887,36416.44727,36675.76185,24768.15034,25855.57958,32078.50481,26379.92456,32154.10758,23121.40872,21118.78,22780.23829,32688
Dunn,9720.944991,12183.83136,10056.79487,15386.22333,13581.37063,9710.380132,9310.101154,10680.06118,11731.20266,11122.68051,10341.68259,10484.88452,11965.44642,13211.79104,10836.3561,12886.32007,11129.0946,12756.18464,13797.53286,12300.57825,11422.09792,10868.82369,15782.56145,15326.95508,15759.05505,14739.99127,13655.34725,12492.66163,14123.60015,19220.51745,18904.20099,21412.17647,17497.47304,19120.73,20146.31728,25141
Eau Claire,8702.498293,8344.806009,6894.095418,10972.00432,10995.36782,10920.30746,10250.3449,10244.88594,12074.60835,10748.13329,8676.521981,8002.223852,10718.17979,11415.13682,9867.247679,11532.59488,9624.626551,12803.52017,12223.75797,15243.81392,9460.755416,10612.90479,12914.61697,11694.49201,13678.92779,16233.8147,13699.84709,11900.87665,12468.66682,14805.23309,13516.24016,15438.08947,13552.6605,11065.8,11092.90671,13115
Florence,9423.938332,8402.532733,10423.39102,14776.95177,12910.89498,10968.10768,16194.9575,15165.39118,12300.01393,17374.2967,13366.4206,9493.846535,13413.56318,19880.67399,21351.13954,8256.703991,6452.282418,12809.41451,12468.56042,11331.00592,8853.336744,8260.619853,9797.669053,6976.172576,8222.401012,10408.101,8706.818898,6450.308173,7836.565795,10021.78385,9606.280308,8433.500818,7616.724823,7462.61,7225.412144,9858
Fond Du Lac,3809.869647,4476.394148,6563.961845,5477.773966,4337.362786,4090.04213,4060.77907,4616.087809,5810.890138,4638.015617,4708.916762,6143.514037,7905.790927,7330.976069,8954.319985,7425.510334,6241.546164,8445.92246,8490.327703,10811.98299,7848.109759,8025.141589,9660.992853,8819.886968,7527.349452,10676.05709,12137.01245,10642.72672,9809.95159,10526.12956,11561.21653,12803.69789,11884.63692,13747.07,14858.59806,14575
Forest,16902.36196,14382.20768,15979.53312,23410.89274,21529.57174,18351.21118,26690.37543,29303.62042,30263.18533,31410.80299,21951.85965,17472.43031,23285.68807,29679.93969,36036.04364,18426.59628,15472.93271,23872.60645,26269.86725,26399.24669,22768.27095,17537.35937,17528.94238,15461.0343,15484.64429,17653.4962,16708.48571,10548.16723,10043.97791,14612.71872,17085.60694,14767.74451,14182.30128,8371.93,7323.039173,9980
Grant,7661.328493,11053.86702,9841.228603,12626.23946,9896.523537,6928.610238,8067.562982,7398.250761,8702.710443,9617.974368,8443.469597,9405.349606,12805.71592,12017.08806,14426.53957,16146.76881,12179.33893,15671.70403,15008.01232,15091.65483,12890.50076,12173.68276,13679.46697,13980.38013,17032.64648,16432.6629,25658.84235,23054.82727,21228.52399,21572.3669,18584.53048,20879.19197,20380.00158,20702.44,22977.85489,26254
Green,1912.390319,2809.003565,2668.293719,3759.57265,1964.174554,2042.193477,1671.033828,2171.074298,2074.932106,2730.213898,2109.339459,2137.540059,3933.540115,3093.300108,3469.019355,4130.20955,3079.764454,3780.383212,4322.250338,5211.693163,4828.620725,4610.21117,6157.939595,6918.357122,7993.292722,11137.62295,10273.41385,7872.972048,8505.431565,8196.434691,7714.287911,8307.459607,9210.45079,8382.5,9499.946976,10141
