County,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Adams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.28513825,104.56396,20.81333333,51.64170507,86.01929724,252.4410456,140.4654378,215.9887673,210.7396313,35.11846496,139.3649194,221.2275346,42.08525346,113.8134038
Ashland,199.0105607,420.6692108,384.9285138,368.596663,192.3947581,459.9426843,143.4917915,413.040559,394.162404,223.5754608,131.672235,379.8399611,196.8663594,189.4912154,116.2671371,539.0054227,600.5381624,165.1848598,235.0599558,192.3791713,426.9414843,217.2583765,107.0078245,276.9584029,212.3680876,201.6270161,120.172475,273.9417408,245.6213998,248.3936252,185.1794787,88.98492306,221.5767809,527.2704301,87.37407354,151.9261402
Barron,34.14953917,446.1118856,187.2494048,309.1345755,104.8591302,318.2803379,41.70036482,126.7765109,239.6188556,68.35215054,102.2856663,178.6531331,131.4482527,156.7087654,110.4874712,197.0069522,254.7398714,73.00921659,152.9273233,97.33412125,300.6610023,71.33160522,53.32219662,197.2880052,90.96735791,146.1044547,83.46841398,211.3702262,172.4809908,187.6666187,312.2386713,52.97797553,162.8505904,446.8285618,111.2819988,87.34190768
Bayfield,144.3649578,355.3951613,298.3408746,410.9770857,171.5274242,392.9304339,84.95146889,274.5962644,378.2459677,250.3564708,158.5532834,310.8396366,266.5661482,235.1175115,186.1104071,542.6591583,611.3193884,130.4756624,261.2134697,105.0959399,390.9748224,189.5927659,92.80395545,273.9684372,259.5893577,135.3750523,80.50245776,256.329127,288.3217646,273.7530722,277.8882008,145.3517566,232.6000864,569.622187,140.1624424,188.0380052
Brown,57.15,178.7144585,59.14717742,100.6605673,88.59274194,294.2081221,29.51929724,137.2194105,58.13421659,56.71658986,91.49567972,17.50278087,46.89573733,108.3294931,31.51670507,108.8292547,122.1601382,80.2468318,51.85368664,97.38195217,156.688076,40.80285138,51.07142857,87.05858361,67.72835061,76.42957949,72.33477343,193.6164488,190.6101478,154.3173723,230.7769585,30.61102879,151.4594227,238.6021129,63.45540789,113.6358494
Buffalo,17.47469278,90.01929724,65.44596774,149.7088432,67.33255057,217.0208525,13.23315092,79.63464034,89.39588134,40.97854263,140.6229839,70.15199428,172.3889689,99.26399105,52.03499424,244.4509177,254.859735,75.31000384,113.1194316,85.80441231,240.3666475,27.28072197,28.50144009,90.78531702,59.42151498,40.95982143,81.45852535,180.6387653,121.4513249,183.9504608,265.8724078,23.38473304,124.9133065,230.6738191,77.953197,70.73790323
Burnett,NA,445.29375,269.6633333,427.5666667,112.8597786,492.5111111,23.96486175,184.4591346,334.6666667,78.03,182.8666667,309.3918242,200.9353612,245.3263249,131.1205357,438.6675473,488.8677995,99.6108871,123.7479839,81.26830738,345.2712654,100.2475038,25.68154762,244.1391824,79.73243088,109.0872216,73.16215438,205.2093066,207.1800595,173.6082949,270.7947869,47.69159861,145.3207885,431.8039584,77.15553291,93.02717371
Calumet,51.88759601,181.4870968,39.47534562,108.2078142,80.6515841,218.7047235,45.63004032,67.02683537,54.46457373,45.12327189,86.1906682,22.86012236,52.16215438,109.4050979,45.57603687,98.85914905,83.53341014,72.29133065,71.88032834,76.74763626,126.9773906,30.97451037,37.10368664,65.99610679,53.87831221,39.99654378,67.35493472,124.5820356,129.9863191,113.6505376,143.9013537,19.98489062,130.2211982,162.9642377,49.16133833,96.03668428
Chippewa,43.406298,322.196659,126.4659562,202.8927419,113.2721486,341.3040803,22.43205165,82.05951057,131.9582373,61.47230223,110.1310964,90.50296626,154.813076,107.8212846,88.91081029,217.629403,266.46827,69.74522369,128.8421419,110.3394049,213.0561828,64.63463902,40.82015169,141.6543984,73.30768049,62.90059524,54.12274386,168.3177373,105.6176939,160.4758641,300.0624424,41.59903597,142.8505088,371.1971246,78.61726671,84.0191039
Clark,45.11166155,305.527909,145.6232527,235.1689655,98.41036866,378.3809908,65.21543779,178.9156007,155.7285426,98.27145737,189.7155818,176.5688265,217.1936924,168.4747984,80.90653802,264.6141546,308.1627304,112.1298963,129.3617512,130.1672692,273.3116359,42.18361175,44.77980991,132.4313126,85.45089286,70.03571429,81.99985599,299.5429644,166.6150634,141.7642569,284.2904666,39.39418799,135.8087558,306.8464862,91.50345622,79.41587875
