County,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Adams,0.0345,-0.10925,2.75725,-0.22325,-0.61675,-0.1905,1.33425,0.896,-1.1855,0.46475,0.34875,1.73275,0.82375,0.32875,1.07125,-0.496,-0.40775,2.60775,-1.0575,-1.16875,-0.57325,-0.07925,1.027,0.24275,0.71,-0.48875,0.666,-1.25875,-0.6685,1.28525,-1.55375,-0.73725,-0.02425,-0.18775,0.542,2.1015
Ashland,0.0345,-0.10925,2.75725,-0.22325,-0.61675,-0.1905,1.33425,0.896,-1.1855,0.46475,0.34875,1.73275,0.82375,0.32875,1.07125,-0.496,-0.40775,2.60775,-1.0575,-1.16875,-0.57325,-0.07925,1.027,0.24275,0.71,-0.48875,0.666,-1.25875,-0.6685,1.28525,-1.55375,-0.73725,-0.02425,-0.18775,0.542,2.1015
Barron,0.0345,-0.10925,2.75725,-0.22325,-0.61675,-0.1905,1.33425,0.896,-1.1855,0.46475,0.34875,1.73275,0.82375,0.32875,1.07125,-0.496,-0.40775,2.60775,-1.0575,-1.16875,-0.57325,-0.07925,1.027,0.24275,0.71,-0.48875,0.666,-1.25875,-0.6685,1.28525,-1.55375,-0.73725,-0.02425,-0.18775,0.542,2.1015
Bayfield,0.0345,-0.10925,2.75725,-0.22325,-0.61675,-0.1905,1.33425,0.896,-1.1855,0.46475,0.34875,1.73275,0.82375,0.32875,1.07125,-0.496,-0.40775,2.60775,-1.0575,-1.16875,-0.57325,-0.07925,1.027,0.24275,0.71,-0.48875,0.666,-1.25875,-0.6685,1.28525,-1.55375,-0.73725,-0.02425,-0.18775,0.542,2.1015
Brown,0.0345,-0.10925,2.75725,-0.22325,-0.61675,-0.1905,1.33425,0.896,-1.1855,0.46475,0.34875,1.73275,0.82375,0.32875,1.07125,-0.496,-0.40775,2.60775,-1.0575,-1.16875,-0.57325,-0.07925,1.027,0.24275,0.71,-0.48875,0.666,-1.25875,-0.6685,1.28525,-1.55375,-0.73725,-0.02425,-0.18775,0.542,2.1015
Buffalo,0.0345,-0.10925,2.75725,-0.22325,-0.61675,-0.1905,1.33425,0.896,-1.1855,0.46475,0.34875,1.73275,0.82375,0.32875,1.07125,-0.496,-0.40775,2.60775,-1.0575,-1.16875,-0.57325,-0.07925,1.027,0.24275,0.71,-0.48875,0.666,-1.25875,-0.6685,1.28525,-1.55375,-0.73725,-0.02425,-0.18775,0.542,2.1015
Burnett,0.0345,-0.10925,2.75725,-0.22325,-0.61675,-0.1905,1.33425,0.896,-1.1855,0.46475,0.34875,1.73275,0.82375,0.32875,1.07125,-0.496,-0.40775,2.60775,-1.0575,-1.16875,-0.57325,-0.07925,1.027,0.24275,0.71,-0.48875,0.666,-1.25875,-0.6685,1.28525,-1.55375,-0.73725,-0.02425,-0.18775,0.542,2.1015
Calumet,0.0345,-0.10925,2.75725,-0.22325,-0.61675,-0.1905,1.33425,0.896,-1.1855,0.46475,0.34875,1.73275,0.82375,0.32875,1.07125,-0.496,-0.40775,2.60775,-1.0575,-1.16875,-0.57325,-0.07925,1.027,0.24275,0.71,-0.48875,0.666,-1.25875,-0.6685,1.28525,-1.55375,-0.73725,-0.02425,-0.18775,0.542,2.1015
Chippewa,0.0345,-0.10925,2.75725,-0.22325,-0.61675,-0.1905,1.33425,0.896,-1.1855,0.46475,0.34875,1.73275,0.82375,0.32875,1.07125,-0.496,-0.40775,2.60775,-1.0575,-1.16875,-0.57325,-0.07925,1.027,0.24275,0.71,-0.48875,0.666,-1.25875,-0.6685,1.28525,-1.55375,-0.73725,-0.02425,-0.18775,0.542,2.1015
Clark,0.0345,-0.10925,2.75725,-0.22325,-0.61675,-0.1905,1.33425,0.896,-1.1855,0.46475,0.34875,1.73275,0.82375,0.32875,1.07125,-0.496,-0.40775,2.60775,-1.0575,-1.16875,-0.57325,-0.07925,1.027,0.24275,0.71,-0.48875,0.666,-1.25875,-0.6685,1.28525,-1.55375,-0.73725,-0.02425,-0.18775,0.542,2.1015
Columbia,0.0345,-0.10925,2.75725,-0.22325,-0.61675,-0.1905,1.33425,0.896,-1.1855,0.46475,0.34875,1.73275,0.82375,0.32875,1.07125,-0.496,-0.40775,2.60775,-1.0575,-1.16875,-0.57325,-0.07925,1.027,0.24275,0.71,-0.48875,0.666,-1.25875,-0.6685,1.28525,-1.55375,-0.73725,-0.02425,-0.18775,0.542,2.1015
Crawford,0.0345,-0.10925,2.75725,-0.22325,-0.61675,-0.1905,1.33425,0.896,-1.1855,0.46475,0.34875,1.73275,0.82375,0.32875,1.07125,-0.496,-0.40775,2.60775,-1.0575,-1.16875,-0.57325,-0.07925,1.027,0.24275,0.71,-0.48875,0.666,-1.25875,-0.6685,1.28525,-1.55375,-0.73725,-0.02425,-0.18775,0.542,2.1015
Dane,0.0345,-0.10925,2.75725,-0.22325,-0.61675,-0.1905,1.33425,0.896,-1.1855,0.46475,0.34875,1.73275,0.82375,0.32875,1.07125,-0.496,-0.40775,2.60775,-1.0575,-1.16875,-0.57325,-0.07925,1.027,0.24275,0.71,-0.48875,0.666,-1.25875,-0.6685,1.28525,-1.55375,-0.73725,-0.02425,-0.18775,0.542,2.1015
Dodge,0.0345,-0.10925,2.75725,-0.22325,-0.61675,-0.1905,1.33425,0.896,-1.1855,0.46475,0.34875,1.73275,0.82375,0.32875,1.07125,-0.496,-0.40775,2.60775,-1.0575,-1.16875,-0.57325,-0.07925,1.027,0.24275,0.71,-0.48875,0.666,-1.25875,-0.6685,1.28525,-1.55375,-0.73725,-0.02425,-0.18775,0.542,2.1015
Door,0.0345,-0.10925,2.75725,-0.22325,-0.61675,-0.1905,1.33425,0.896,-1.1855,0.46475,0.34875,1.73275,0.82375,0.32875,1.07125,-0.496,-0.40775,2.60775,-1.0575,-1.16875,-0.57325,-0.07925,1.027,0.24275,0.71,-0.48875,0.666,-1.25875,-0.6685,1.28525,-1.55375,-0.73725,-0.02425,-0.18775,0.542,2.1015
Douglas,0.0345,-0.10925,2.75725,-0.22325,-0.61675,-0.1905,1.33425,0.896,-1.1855,0.46475,0.34875,1.73275,0.82375,0.32875,1.07125,-0.496,-0.40775,2.60775,-1.0575,-1.16875,-0.57325,-0.07925,1.027,0.24275,0.71,-0.48875,0.666,-1.25875,-0.6685,1.28525,-1.55375,-0.73725,-0.02425,-0.18775,0.542,2.1015
Dunn,0.0345,-0.10925,2.75725,-0.22325,-0.61675,-0.1905,1.33425,0.896,-1.1855,0.46475,0.34875,1.73275,0.82375,0.32875,1.07125,-0.496,-0.40775,2.60775,-1.0575,-1.16875,-0.57325,-0.07925,1.027,0.24275,0.71,-0.48875,0.666,-1.25875,-0.6685,1.28525,-1.55375,-0.73725,-0.02425,-0.18775,0.542,2.1015
Eau Claire,0.0345,-0.10925,2.75725,-0.22325,-0.61675,-0.1905,1.33425,0.896,-1.1855,0.46475,0.34875,1.73275,0.82375,0.32875,1.07125,-0.496,-0.40775,2.60775,-1.0575,-1.16875,-0.57325,-0.07925,1.027,0.24275,0.71,-0.48875,0.666,-1.25875,-0.6685,1.28525,-1.55375,-0.73725,-0.02425,-0.18775,0.542,2.1015
Florence,0.0345,-0.10925,2.75725,-0.22325,-0.61675,-0.1905,1.33425,0.896,-1.1855,0.46475,0.34875,1.73275,0.82375,0.32875,1.07125,-0.496,-0.40775,2.60775,-1.0575,-1.16875,-0.57325,-0.07925,1.027,0.24275,0.71,-0.48875,0.666,-1.25875,-0.6685,1.28525,-1.55375,-0.73725,-0.02425,-0.18775,0.542,2.1015
